Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
29000	-318.3248	-384.1573	65.83254	10	0.5688787	0.121517	0.0137497	0.0428535	0.1995	0.128394	0.0487862	0.0242468	0.00290621	0.00716799	0.0169865	0.0249136	0.00447235	0.108247	0.103522	0.090574	0.00733772	0.0136533	0.00374938	0.0548409	0.00870806	0.407848	0.127307	0.0466741	0.00234949	0.0949317	0.00826856	0.0551491	0.114302	0.126548	0.0132293	0.103131	0.0259309	0.0318409	0.0467595	0.294524	0.864571	2.79415	5	2.183636
30000	-327.2916	-385.4106	58.11899	10	0.8057117	0.182677	0.0323072	0.00253779	0.27989	0.121412	0.207859	0.00568341	0.00828424	0.0356254	0.0379609	0.0322221	0.141256	0.0218337	0.033879	0.0405643	0.00230998	0.0502354	0.0132474	0.0679536	0.776802	0.0277071	0.0153158	0.0232869	0.0598355	0.139377	0.0334505	0.0256934	0.0127627	0.129683	0.01314	0.0659121	0.11752	0.0666036	0.0967736	0.409423	0.958525	2.53528	5	2.824828
31000	-327.558	-379.813	52.25499	10	2.186453	0.260233	0.0620922	0.0306565	0.00549455	0.0772982	0.121767	0.0185392	0.0151011	0.0231067	0.0240011	0.0960081	0.0369615	0.0697492	0.180823	0.107757	0.00201685	0.16094	0.00768959	0.0355793	0.0896226	0.034428	0.0635422	0.0595668	0.353408	0.053318	0.0144196	0.157099	0.0569455	0.0178946	0.0825363	0.153767	0.115874	0.0370794	0.31456	0.673481	1.07402	1.93793	5	2.625315
32000	-350.2184	-388.3217	38.10334	2	1.151183	0.25875	0.00205444	0.196509	0.162209	0.0134539	0.0761994	0.0373126	0.0250215	0.046587	0.0019422	0.0256313	0.126426	0.0418035	0.00683399	0.0233592	0.0366958	0.0585292	0.00317116	0.0635248	0.139403	0.0273432	0.00997564	0.0743048	0.0095852	0.128466	0.0306132	0.010318	0.0332916	0.04204	0.0237368	0.0649106	0.496645	0.132662	0.166095	0.517912	1.02114	2.29485	4	2.42931
33000	-325.9626	-379.7757	53.81313	10	1.249664	0.255535	0.0260362	0.0233629	0.000957981	0.0178682	0.423555	0.0298322	0.0271109	0.0114532	0.00992764	0.0426378	0.0273302	0.0443208	0.05349	0.0755133	0.00242138	0.0196078	0.00489468	0.0889203	0.00837578	0.0287632	0.0894921	0.00427356	0.0260433	0.0883199	0.0459796	0.0683607	0.189367	0.0876475	0.186735	0.15055	0.62948	0.0337268	0.183938	0.540788	1.03158	2.24369	5	2.821891
34000	-326.5283	-389.6952	63.1669	10	1.033182	0.0894245	0.0369349	0.015133	0.119301	0.110855	0.0623586	0.0249643	0.00576074	0.0580066	0.00999283	0.0136117	0.0491654	0.0142782	0.0382249	0.0179457	0.0545438	0.00210237	0.013484	0.0230946	0.0999968	0.0728598	0.0682899	0.107584	0.0796015	0.011115	0.119152	0.00669635	0.159738	0.147721	0.0624276	0.12431	0.0652624	0.17638	0.143527	0.486503	1.00529	2.36468	5	2.060317
35000	-319.967	-379.3849	59.41788	10	0.8761881	0.159434	0.0210964	0.152172	0.000503761	0.00144236	0.101143	0.0263237	0.000774038	0.00561056	0.00219973	0.0473131	0.00708815	0.0361129	0.0710239	0.0700427	0.0347482	0.0399807	0.0213795	0.0670639	0.13192	0.0487943	0.0499886	0.0137443	0.0367993	0.0144134	0.194533	0.461895	0.104828	0.105842	0.175838	0.197854	0.00702867	0.0795053	0.111638	0.436091	0.976019	2.47625	5	2.488436
36000	-328.506	-382.4957	53.98976	10	1.112411	0.10441	0.0802851	0.0219976	0.116374	0.103734	0.0835118	0.033018	0.00257417	0.0947004	0.0353946	0.023309	0.00902061	0.0311788	0.0880157	0.0407527	0.0018875	0.000573125	0.00714145	0.0850507	0.11073	0.070724	0.00488101	0.0180678	0.311821	0.0131922	0.218473	0.446724	0.0381229	0.0903249	0.0634644	0.0929998	0.114234	0.146815	0.158821	0.508115	1.01639	2.31668	5	2.703503
37000	-327.5727	-381.624	54.05129	10	2.367388	0.123956	0.0465299	0.0648417	0.167654	0.0235401	0.119257	0.0382958	0.0137558	0.00325627	0.0199093	0.0271536	0.0438795	0.0428131	0.036658	0.0515169	0.00717236	0.0921717	0.000347377	0.00581014	0.120193	0.0782003	0.0690457	0.0282515	0.18222	0.0203603	0.145573	0.0856316	0.505919	0.0393381	0.0330424	0.0697615	0.000189291	0.00314908	0.333512	0.689145	1.07695	1.90039	5	2.309395
38000	-321.4086	-381.3455	59.93693	10	1.142269	0.0909578	0.0584777	0.044221	0.0911373	0.00887051	0.233727	0.0234181	0.0058119	0.0182214	0.0163711	0.0233654	0.112028	0.0143477	0.17059	0.0461117	0.0016398	0.0273509	0.00330124	0.0404076	0.0212321	0.128313	0.00416903	0.067897	0.10659	0.288955	0.0847852	0.288943	0.0314276	0.049864	0.142737	0.108187	0.0707246	0.0010826	0.164435	0.515702	1.02008	2.29978	5	2.425265
39000	-321.5957	-381.0722	59.47647	10	1.89817	0.0907529	0.0135759	0.0543425	0.240618	0.0443969	0.141639	0.0371137	0.0120114	0.0209355	0.00666123	0.0170762	0.017981	0.031354	0.171382	0.043182	0.0234315	0.0174063	0.00158853	0.069846	0.0381538	0.0163839	0.0919159	0.0326891	0.0699105	0.00914413	0.0675064	0.185758	0.0363179	0.0584852	0.0243189	0.177246	0.404943	0.0264131	0.280808	0.643729	1.06722	2.00824	5	2.29448
40000	-328.6953	-382.8685	54.17327	10	2.659226	0.273476	0.00116459	0.115305	0.0225241	0.10175	0.185642	0.0236113	0.00712595	0.00843683	0.0074922	0.0346637	0.0380451	0.0464301	0.151111	0.0471638	0.0144432	0.000803227	0.116462	0.0145126	0.0376385	0.0837304	0.0793871	0.132217	0.118719	0.128525	0.259445	0.0269322	0.179884	0.0767722	0.0250136	0.199578	0.0651165	0.297083	0.361051	0.710725	1.08023	1.848	5	2.920206
41000	-328.09	-382.3675	54.27756	10	4.250102	0.203735	0.0082237	0.017769	0.0145357	0.00766343	0.125746	0.00534835	0.016104	0.00766897	0.00269155	0.04559	0.00902106	0.0621668	0.217546	0.093234	0.0170203	0.0208858	0.0663859	0.0015339	0.181765	0.104831	0.17143	0.427853	0.0839282	0.0597722	0.11721	0.0248375	0.0952332	0.00189793	0.05581	0.198125	0.0614415	0.216231	0.467595	0.783437	1.08429	1.66468	5	2.743235
42000	-339.8315	-395.8297	55.99813	10	1.871045	0.1639	0.0280174	0.196417	0.00788492	0.0576157	0.233358	0.142078	0.00788696	0.0269811	0.0618658	0.03139	0.179848	0.128237	0.152274	0.0475891	0.0474202	0.130293	0.0230748	0.0450892	0.0926428	0.0467223	0.0389511	0.256557	0.0585978	0.0660345	0.0239577	0.21798	0.0325566	0.1048	0.00622171	0.0691769	0.0816883	0.291881	0.27738	0.640561	1.0664	2.01566	5	3.098987
43000	-328.5932	-382.9865	54.39336	10	2.10079	0.0853921	0.000856112	0.0531434	0.0580234	0.138034	0.0825532	0.0442321	0.040265	0.0130601	0.0289063	0.055077	0.0424353	0.0668914	0.0834438	0.0314819	0.0308765	0.00387693	0.00975043	0.0235022	0.0614108	0.0649799	0.0201882	0.0453886	0.11142	0.0050284	0.32455	0.0651292	0.0238195	0.0547044	0.0988635	0.0943422	0.0311283	0.0918957	0.305016	0.665321	1.07232	1.95734	5	1.98465
