Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
26000	-88.88182	-141.5462	52.66438	10	3.03715	0.00982217	0.0938367	0.0977287	0.10503	0.174637	0.102989	0.0342608	0.180561	0.00565588	0.0651421	0.00910529	0.0145798	0.101567	0.0208297	0.353576	0.248599	0.0761436	0.00496547	0.060711	0.11272	0.164884	0.0977599	0.105399	0.392116	0.733564	1.08269	1.79163	5	2.240503
27000	-107.0394	-150.3699	43.33047	10	1.426536	0.0885995	0.0552541	0.0433021	0.0540747	0.11605	0.182649	0.197613	0.148695	0.078379	0.019708	0.0627519	0.0107669	0.195691	0.136945	0.258891	0.048635	0.305431	0.0656015	0.0664502	0.186071	0.297252	0.153693	0.611527	0.213748	0.575853	1.0458	2.1646	5	3.384032
28000	-92.60092	-146.8259	54.22499	10	0.2771781	0.0458846	0.0357093	0.0791667	0.348679	0.0376579	0.0786138	0.317725	0.0199621	0.0356022	0.00958254	0.109956	0.00528895	0.140818	0.0178138	0.164377	0.287341	0.0134083	0.010771	0.304173	0.134003	0.00949536	0.0319768	0.0479337	0.00362703	0.0869045	0.55541	3.35406	5	2.285937
29000	-97.88134	-145.9665	48.08516	10	0.3955674	0.027631	0.0165663	0.0456165	0.351987	0.0708358	0.0382894	0.204727	0.0605967	0.0169698	0.00371086	0.057077	0.00336629	0.0659584	0.352622	0.167796	0.00254985	0.231488	0.0191292	0.188446	0.00666859	0.0284024	0.157046	0.0506261	0.0160802	0.178437	0.726439	3.07904	5	2.168107
30000	-98.91817	-151.9109	52.99278	10	1.834751	0.0214313	0.000451232	0.144907	0.114899	0.134186	0.0898359	0.0976643	0.133967	0.0598722	0.0468231	0.0769477	0.0276413	0.147721	0.0863542	0.285002	0.0536054	0.0739581	0.0693961	0.0126027	0.0529928	0.445845	0.0045647	0.142433	0.272718	0.636206	1.06525	2.02583	5	2.323101
31000	-85.74713	-143.1894	57.44224	10	0.6375429	0.0209835	0.108383	0.0365898	0.0923411	0.0350603	0.0706258	0.0603966	0.0411626	0.0191353	0.0220125	0.0192327	0.00318131	0.212573	0.0985146	0.512699	0.0578719	0.0581453	0.0746037	0.043522	0.0211171	0.0196061	0.184745	0.376314	0.0609321	0.332509	0.899327	2.70723	5	2.188816
32000	-104.3242	-152.0663	47.7421	10	2.531199	0.0179967	0.0517533	0.00948241	0.242332	0.230364	0.151802	0.195616	0.271271	0.0458013	0.0942453	0.228304	0.0564515	0.033839	0.0397608	0.296389	0.0204536	0.065801	0.0166806	0.0189059	0.248027	0.0114052	0.231298	0.349124	0.349395	0.701753	1.07897	1.86988	5	2.927101
33000	-102.4085	-147.6727	45.26421	10	1.952897	0.00807156	0.00860613	0.0780704	0.00659269	0.0310382	0.117033	0.134713	0.25978	0.0211214	0.0470528	0.0661934	0.0199308	0.103726	0.0639188	0.345689	0.225015	0.15431	0.221211	0.030452	0.199358	0.00800565	0.0564842	0.191421	0.287586	0.64991	1.06877	1.99374	5	2.397795
34000	-95.91346	-145.3315	49.41807	10	2.887826	0.0371547	0.0246874	0.0355843	0.151366	0.177551	0.0523854	0.145651	0.63035	0.00722139	0.0255111	0.0883849	0.00189073	0.101186	0.183137	0.528478	0.0992338	0.0660298	0.000127843	0.147201	0.0864269	0.0350844	0.291483	0.00397544	0.380393	0.725122	1.0819	1.81258	5	2.9201
35000	-115.51	-146.7773	31.26727	2	2.223144	0.0021891	0.24404	0.0428738	0.294292	0.014308	0.0224181	0.162299	0.123366	0.0142886	0.0123939	0.04177	0.0171061	0.0305267	0.0788073	0.046318	0.0340725	0.00199486	0.0507914	0.0493203	0.710461	0.0240261	0.0266932	0.249205	0.318532	0.676822	1.07469	1.92996	4	2.293562
36000	-89.71031	-143.1437	53.43335	10	0.3820415	0.0143553	0.120477	0.0270615	0.0529704	0.047185	0.0438782	0.339901	0.109629	0.0395495	0.0133511	0.0510214	0.0288845	0.150884	0.0827157	0.00929848	0.449779	0.243769	0.150872	0.192838	0.0579892	0.0915686	0.0651242	0.0171102	0.0142111	0.168219	0.711092	3.10648	5	2.400211
37000	-86.83291	-140.875	54.04207	10	0.7447148	0.000172764	0.00126005	0.00703055	0.158871	0.00274531	0.103179	0.14147	0.0833616	0.0806427	0.0130455	0.0558287	0.0190643	0.096575	0.0638404	0.0199187	0.208419	0.0242872	0.00629825	0.157453	0.0765277	0.516118	0.338203	0.0400832	0.0837536	0.383886	0.940375	2.59199	5	2.214395
38000	-99.76783	-145.7267	45.95888	10	2.60462	0.0634825	0.00346521	0.111521	0.152093	0.117078	0.202499	0.00974363	0.0765325	0.021259	0.0733989	0.0378571	0.017478	0.129002	0.127757	0.393794	0.00606808	0.200284	0.0696281	0.125249	0.0849298	0.0889644	0.614127	0.0196452	0.356156	0.706986	1.07972	1.85714	5	2.745856
