Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
21000	-731.2845	-760.4177	29.13315	10	1.896643	0.0104976	0.201077	0.0446092	0.0161355	0.00786126	0.0207777	0.0374848	0.0292492	0.00332996	0.0453134	0.00955772	0.202474	0.0201663	0.0349266	0.0512825	0.110047	0.0190565	0.0554949	0.035276	0.146948	0.141997	0.00937876	0.0325128	0.179473	0.145276	0.135065	0.144511	0.0557084	0.0891125	0.0654763	0.135493	0.125715	0.0513866	0.0707851	0.0445193	0.280617	0.643553	1.06717	2.00866	5	2.527975
22000	-721.5909	-750.6088	29.0179	10	3.49447	0.0154172	0.00598771	0.0409768	0.114954	0.000941631	0.0248597	0.0083815	0.0329614	0.00949265	0.0571234	0.0169267	0.0558368	0.00972883	0.0311452	0.0249896	0.125092	0.0241367	0.0868273	0.0430254	0.307409	0.167503	0.0358045	0.00468802	0.121435	0.178809	0.114957	0.00451507	0.19158	0.237977	0.108607	0.0464079	0.132794	0.158532	0.104653	0.186896	0.424233	0.755687	1.08407	1.73601	5	2.831371
23000	-730.0416	-759.2715	29.22994	2	1.283071	0.0150074	0.0280844	0.0352224	0.0660098	0.00262361	0.0132852	0.00808717	0.0703574	0.0431173	0.0373634	0.0373844	0.0826661	0.00419901	0.0454414	0.0176031	0.023893	0.000377672	0.127404	0.00704597	0.173674	0.0967473	0.118253	0.142758	0.155813	0.0843731	0.114066	0.0530072	0.0543657	0.0316381	0.0247146	0.0586242	0.114025	0.0119095	0.208744	0.0511122	0.189785	0.547958	1.03466	2.22759	4	2.158997
24000	-727.4822	-757.7312	30.24901	10	1.041695	0.00663671	0.123472	0.00651937	0.00769212	0.0247643	0.0566645	0.0289891	0.00371711	0.0246638	0.026028	0.00359864	0.037586	0.00991399	0.0445199	0.0486817	0.0732359	0.000484046	0.0190371	0.100192	0.2885	0.0745236	0.123095	0.0533775	0.0234576	0.115929	0.157354	0.0420118	0.0923263	0.0165726	0.12248	0.0914767	0.243722	0.169332	0.241921	0.11597	0.145197	0.488935	1.00658	2.35929	5	2.618446
25000	-728.8887	-761.3905	32.50188	10	1.007925	0.012073	0.180175	0.0421275	0.00272701	0.00332099	0.0097049	0.0893153	0.0286777	0.0388516	0.0717083	0.0287529	0.138508	0.0155295	0.0148196	0.0260738	0.193788	0.00388792	0.0718632	0.0322203	0.26817	0.0987361	0.0233476	0.182392	0.0738023	0.123512	0.0810947	0.101036	0.117018	0.112954	0.0436293	0.24668	0.135932	0.0617574	0.120029	0.0228191	0.138532	0.479121	1.0013	2.38105	5	2.817034
26000	-731.3831	-757.4363	26.05319	2	1.530081	0.0271292	0.0217427	0.0660789	0.0601447	0.00739104	0.0131504	0.0770208	0.0394352	0.058372	0.0564974	0.00682757	0.0931118	0.00676471	0.028189	0.0160945	0.149032	0.0290161	0.073299	0.00823544	0.21176	0.0495956	0.254145	0.0725474	0.163767	0.148035	0.0436794	0.0233326	0.0709804	0.104967	0.102847	0.0212604	0.110932	0.0671417	0.159009	0.00141508	0.229932	0.593488	1.05214	2.12444	4	2.442948
27000	-724.2706	-758.3931	34.12252	10	0.9901951	0.00254552	0.0775533	0.0732887	0.00919946	0.0012809	0.00435646	0.0442343	0.0777957	0.07574	0.06948	0.0135934	0.017353	0.00620647	0.080165	0.028831	0.184113	0.0117208	0.0425275	0.0496822	0.245508	0.0596921	0.229528	0.127823	0.0259057	0.0711771	0.201004	0.0612954	0.0784711	0.208525	0.0807948	0.0757203	0.157477	0.0622373	0.0282873	0.00343402	0.134993	0.473785	0.998356	2.39287	5	2.586547
28000	-728.634	-757.2561	28.6221	10	2.751772	0.0550441	0.0158719	0.0640907	0.161288	0.00596818	0.02429	0.0314553	0.0272403	0.00943802	0.053083	0.0194787	0.0864749	0.0296369	0.126758	0.0120468	0.125659	0.00120931	0.0900247	0.0370147	0.301317	0.207639	0.0835486	0.0599027	0.0431064	0.18998	0.0876508	0.00239504	0.0449209	0.0669211	0.104824	0.208682	0.15349	0.196383	0.0812076	0.0075287	0.369098	0.716787	1.08098	1.83313	5	2.815569
29000	-731.4958	-760.9977	29.50189	10	2.043204	0.0300065	0.164304	0.0179146	0.0826912	0.0201027	0.0501809	0.0676822	0.0384176	0.00374926	0.0808836	0.00870271	0.140613	0.0233212	0.0322317	0.0243115	0.116843	0.0156826	0.061794	0.0245797	0.353248	0.0347623	0.00806091	0.0278385	0.0426727	0.290281	0.0492486	0.134606	0.14307	0.00174423	0.021432	0.262401	0.17325	0.162195	0.104942	0.0844755	0.298378	0.659531	1.07103	1.97106	5	2.898239
30000	-732.8276	-765.3642	32.53665	10	3.088903	0.00377179	0.0102703	0.137026	0.0802964	0.0115489	0.0456804	0.0131914	0.0266088	0.00158841	0.118875	0.00115433	0.0122234	0.0132377	0.110874	0.0580611	0.111312	0.0297951	0.0652306	0.097476	0.4669	0.12012	0.063758	0.0728016	0.117406	0.126996	0.144084	0.0118378	0.138936	0.096096	0.00139832	0.0714432	0.0581785	0.194539	0.142443	0.0853543	0.396025	0.736334	1.08292	1.78472	5	2.860514
31000	-734.5409	-761.4439	26.903	10	3.495519	0.0177733	0.0993423	0.102506	0.0502229	0.0119463	0.0145431	0.000615459	0.0699936	0.0802125	0.0418078	0.0802054	0.06226	0.00409061	0.0266527	0.0561578	0.0919939	0.000755413	0.161697	0.107475	0.23647	0.159932	0.0719295	0.365373	0.201668	0.0142474	0.155747	0.0624557	0.0524416	0.0362116	0.23443	0.140026	0.123803	0.0483151	0.118676	0.0909176	0.424301	0.755733	1.08407	1.7359	5	3.192895
32000	-721.0712	-754.9851	33.91384	10	2.005776	0.000788393	0.103368	0.0516844	0.000111567	0.0181975	0.0396861	0.00114814	0.0393285	0.0115327	0.0370489	0.0177599	0.00583085	0.00599436	0.0205342	0.00550786	0.122195	0.000411677	0.0376828	0.112593	0.25393	0.0731334	0.158256	0.0948971	0.00129472	0.106418	0.0786178	0.0694045	0.0643759	0.199425	0.0747717	0.270594	0.121809	0.0567612	0.225597	0.00283717	0.293963	0.655626	1.07013	1.98028	5	2.483526
33000	-714.5102	-751.0856	36.57543	10	1.495576	0.0133258	0.000549086	0.0973211	0.0515291	0.0140634	0.0553086	0.0389142	0.0353205	0.0429064	0.0563616	0.00449264	0.019755	0.0195345	0.0275372	0.0124842	0.102019	0.000431543	0.0280842	0.0872177	0.262739	0.156346	0.0151383	0.0848622	0.0944361	0.0523879	0.182533	0.011087	0.0126509	0.0358956	0.312216	0.040815	0.10124	0.176667	0.100076	0.161351	0.224638	0.587818	1.05016	2.13738	5	2.507597
