Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
22000	-448.5828	-501.2579	52.67509	10	0.4439274	0.00695902	0.00160327	0.0598315	0.039267	0.0295138	0.00619793	0.0854083	0.0831601	0.0143205	0.02895	0.0697627	0.0794308	0.196036	0.0223678	0.0504452	0.0589725	0.160131	0.0169195	0.00800564	0.134181	0.15128	0.148046	0.00656028	0.293923	0.143091	0.0845549	0.0082542	0.422233	0.244715	0.439913	0.160089	0.0235279	0.213744	0.774754	2.98797	5	3.254122
23000	-442.2055	-492.9982	50.79273	10	1.981145	0.0211314	0.00164423	0.0681855	0.0069326	0.120425	0.0991349	0.0908487	0.0314316	0.00232851	0.00864888	0.0287061	0.00104211	0.0713427	0.100069	0.081183	0.211442	0.17112	0.322347	0.0632476	0.149228	0.0649158	0.286976	0.108795	0.425775	0.183782	0.0260669	0.00950301	0.302076	0.0688546	0.355571	0.130271	0.291014	0.652994	1.06951	1.98648	5	3.613025
24000	-442.6925	-491.9035	49.21105	10	0.5128481	0.0183415	0.00585374	0.0245218	0.0343906	0.00332718	0.0828008	0.0342246	0.0614313	0.0893687	0.0480871	0.00846538	0.233848	0.110138	0.0404298	0.139682	0.112898	0.0103077	0.0455032	0.095838	0.710315	0.136164	0.241751	0.179973	0.306684	0.104237	0.0471282	0.013759	0.25786	0.033787	0.0186885	0.0365254	0.0357931	0.260221	0.829396	2.87459	5	3.286328
25000	-434.392	-487.2607	52.86877	10	0.4985024	0.0207165	0.0138007	0.0530252	0.052779	0.0462015	0.168689	0.0196149	0.113534	0.0551637	0.0395492	0.00103202	0.0163257	0.161836	0.0697628	0.163319	0.154344	0.00522243	0.131651	0.0254529	0.174237	0.0334978	0.0135388	0.507113	0.211765	0.119164	0.112507	0.0196248	0.425725	0.161941	0.00437388	0.140539	0.0331105	0.250937	0.819176	2.89678	5	3.236044
26000	-438.2979	-485.6065	47.30859	10	1.00848	0.0182859	0.0239773	0.019021	0.0849995	0.00122158	0.0604689	0.189444	0.0561092	0.0386143	0.0253398	0.00192851	0.0392442	0.137376	0.0468458	0.164974	0.0360156	0.00856363	0.0470277	0.160934	0.112691	0.144959	0.247765	0.192481	0.132311	0.212931	0.0277611	0.0438699	0.118108	0.132047	0.0836431	0.270127	0.138643	0.479286	1.00139	2.38068	5	2.879085
27000	-456.6664	-497.3625	40.69611	10	0.9628431	0.00901135	0.00221176	0.104849	0.149553	0.0456801	0.0944274	0.12025	0.146801	0.0283973	0.0546817	0.101067	0.0355509	0.104588	0.200357	0.0168985	0.0187172	0.194108	0.386493	0.417349	0.428632	0.0859111	0.0253877	0.239895	0.0351226	0.692831	0.026004	0.135436	0.0510068	0.41547	0.119077	0.0191415	0.129482	0.465291	0.99356	2.41167	5	4.504904
28000	-433.0898	-485.6203	52.53053	10	1.187538	0.0095174	0.0337143	0.0236788	0.0239688	0.213789	0.0892673	0.0414901	0.059888	0.00588312	0.029999	0.00782484	0.0454851	0.123961	0.0303829	0.199741	0.093861	0.0247442	0.374348	0.251646	0.00210181	0.218537	0.480002	0.00313198	0.0224932	0.00418347	0.0232803	0.130301	0.0338266	0.239966	0.17397	0.235738	0.172787	0.526677	1.02525	2.27528	5	3.250723
29000	-451.9553	-491.0546	39.09927	10	1.377894	0.0203949	0.0457222	0.0302916	0.0827805	0.0684988	0.129083	0.0882462	0.0504345	0.0675954	0.0633882	0.00023281	0.0165954	0.0944072	0.0422176	0.375174	0.0412817	0.16253	0.273858	0.154901	0.284218	0.261009	0.119199	0.335855	0.144347	0.0206103	0.0992992	0.0431862	0.470388	0.0321569	0.348627	0.0832705	0.205828	0.566884	1.04237	2.18492	5	4.0498
30000	-470.6505	-505.7015	35.05103	2	0.5490516	0.00461004	0.0971124	0.085169	0.0775978	0.0556044	0.0620615	0.0332798	0.084081	0.0192713	0.0552888	0.00362027	0.0410664	0.0342706	0.0839246	0.0997129	0.152406	0.0115567	0.120014	0.150934	0.148654	0.143629	0.395814	0.0888503	0.0387882	0.0785127	0.215382	0.195788	0.0682964	0.0362324	0.0109524	0.034458	0.0428008	0.282737	0.852921	2.82154	4	2.726939
31000	-448.8007	-495.4304	46.62966	10	0.68964	0.0010543	0.057602	0.0373394	0.192948	0.0042141	0.0374215	0.122103	0.04938	0.238354	0.0534372	0.0121866	0.0551394	0.254145	0.0136039	0.094916	0.0526781	0.0283569	0.00443283	0.0584872	0.115096	0.198438	0.353641	0.0177059	0.176352	0.0928621	0.274588	0.149292	0.293858	0.0859263	0.148645	0.041294	0.0719769	0.358601	0.920968	2.64845	5	3.3155
32000	-444.0062	-493.0753	49.06913	10	0.6908363	0.0107879	0.032019	0.031731	0.136133	0.013317	0.102559	0.0678339	0.141652	0.049599	0.118206	0.0136343	0.0424813	0.131329	0.0349715	0.0839546	0.0661796	0.0105391	0.211011	0.0819287	0.189969	0.332943	0.0503477	0.157115	0.00653127	0.219687	0.105691	0.269797	0.0415313	0.119891	0.148639	0.0477483	0.072232	0.359174	0.921425	2.64717	5	3.069759
33000	-445.9939	-497.9487	51.95483	10	1.055126	0.05651	0.00620508	0.0662877	0.0967365	0.0673253	0.0867423	0.0247716	0.0456876	0.0406846	0.0471114	0.0122252	0.00729266	0.0951983	0.186358	0.0202036	0.144566	0.0204656	0.0120574	0.1035	0.166838	0.269477	0.514665	0.304297	0.0407997	0.00497903	0.0812702	0.351256	0.210465	0.052909	0.341209	0.0171667	0.14782	0.492716	1.00857	2.3509	5	3.49526
34000	-446.6523	-496.0995	49.44714	10	0.373316	0.026263	0.00346379	0.0562836	0.0576276	0.0742077	0.116611	0.0153249	0.1051	0.0206098	0.0485707	0.0116561	0.0244411	0.0655877	0.0183423	0.103154	0.0552995	0.0499266	0.0396667	0.0173078	0.291581	0.132389	0.125524	0.158608	0.202826	0.0620818	0.0900093	0.701399	0.0627777	0.0140688	0.288038	0.0287664	0.0130605	0.16156	0.700712	3.12467	5	3.067513
35000	-455.531	-498.1917	42.66071	10	0.9325778	0.0177613	0.00156922	0.118214	0.0738837	0.0388031	0.00187725	0.238634	0.0834802	0.0304844	0.0368261	0.0175325	0.0843564	0.0892485	0.0603283	0.080742	0.0063208	0.410353	0.0770815	0.0174985	0.113272	0.0421246	0.0276639	0.0982559	0.13623	0.298406	0.168446	0.145403	0.190643	0.274983	0.0559968	0.34873	0.123313	0.455504	0.987864	2.43332	5	3.38515
36000	-444.7255	-496.4889	51.76341	10	1.013958	0.0069311	0.00433518	0.0626198	0.0842972	0.0199145	0.192078	0.0128288	0.0484371	0.00172943	0.0752862	0.00150131	0.0360854	0.1518	0.00342745	0.164074	0.150545	0.0749587	0.0260961	0.0787074	0.133365	0.225581	0.114805	0.0453831	0.0646313	0.347687	0.0988482	0.190431	0.258062	0.144265	0.0102946	0.002918	0.139731	0.480908	1.00227	2.37709	5	2.831922
37000	-446.8222	-486.4152	39.59302	10	1.042682	0.0370229	0.0112361	0.0337405	0.202875	0.0198828	0.0415798	0.143763	0.122775	0.0731585	0.0674237	0.0151001	0.0295067	0.197507	0.0268712	0.282612	0.11799	0.0245973	0.194302	0.00309139	0.0638563	0.00635722	0.0189434	0.173814	0.503634	0.35239	0.156613	0.250857	0.308697	0.0751029	0.0847375	0.638072	0.145391	0.489215	1.00673	2.35867	5	4.278108
38000	-446.5629	-492.4481	45.88524	10	1.46648	0.0173794	0.020751	0.0671144	0.270587	0.229544	0.0427043	0.0612119	0.152298	0.019625	0.0513668	0.0696656	0.0023032	0.116962	0.0856445	0.0843213	0.0548535	0.161733	0.127418	0.00467728	0.0653069	0.00937109	0.0252892	0.0800264	0.00419963	0.103887	0.194162	0.242201	0.180526	0.444624	0.676009	0.0620092	0.220098	0.58288	1.04839	2.14863	5	3.727771
39000	-448.0116	-492.9007	44.88907	10	2.418249	0.041427	0.00533693	0.0640076	0.00120801	0.272263	0.118178	0.0166365	0.0316602	0.0167382	0.0330479	0.0191458	0.0473869	0.0925473	0.108583	0.0949553	0.131155	0.0676678	0.126594	0.0220769	0.0348278	0.160461	0.0112748	0.236709	0.143521	0.221803	0.0502331	0.175231	0.555923	0.101514	0.0737985	0.109032	0.338566	0.693206	1.07764	1.89059	5	3.184944
40000	-441.6604	-487.327	45.66663	10	1.224537	0.0169796	0.0158689	0.00448636	0.188419	0.0699752	0.0600528	0.00348365	0.101274	0.00968921	0.00495031	0.0274995	0.00128738	0.0485438	0.00575588	0.134629	0.0673128	0.0565132	0.411956	0.0787393	0.0948522	0.00963141	0.111814	0.108166	0.294593	0.0101188	0.0995916	0.431087	0.289879	0.0163563	0.16421	0.356502	0.179471	0.535207	1.02912	2.2562	5	3.294217
41000	-443.0117	-481.0538	38.04205	2	0.8250096	0.00939608	0.00477976	0.0201232	0.053594	0.00576746	0.0724681	0.0515123	0.0910782	0.0427691	0.0261331	0.00415146	0.0158103	0.109527	0.0698652	0.0674188	0.120565	0.000260867	0.158302	0.00596073	0.112178	0.107418	0.248486	0.00445116	0.225462	0.0744666	0.0381651	0.171577	0.197004	0.109946	0.0358286	0.386454	0.100868	0.417011	0.963651	2.51847	4	2.64092
42000	-445.7285	-484.1236	38.39508	10	1.978556	0.0263523	0.0280897	0.0227583	0.310686	0.0109859	0.0312026	0.00618931	0.078917	0.0308957	0.108909	0.00467268	0.0376087	0.0751028	0.0464939	0.139591	0.0843838	0.0650662	0.186659	0.0771036	0.102884	0.465842	0.0424141	0.0423466	0.290584	0.231729	0.38746	0.0763739	0.334058	0.0875312	0.0304106	0.190356	0.290701	0.652714	1.06944	1.98714	5	3.653657
43000	-444.9595	-482.2543	37.29477	10	1.50107	0.013286	0.00963949	0.0600908	0.0218477	0.0666333	0.0999569	0.13094	0.0925536	0.0711566	0.0879053	0.0242106	0.0318327	0.0799445	0.0813556	0.24605	0.379903	0.00369011	0.34627	0.0110714	0.189597	0.184541	0.367602	0.00576366	0.190809	0.00508656	0.392946	0.202874	0.103421	0.0315692	0.11689	0.595809	0.225488	0.588734	1.05048	2.13529	5	4.245248
44000	-439.5109	-490.3107	50.79976	10	1.025914	0.0169819	0.00448772	0.0471533	0.0284842	0.0174934	0.174558	0.0303815	0.0513827	0.0336549	0.00507946	0.0635156	0.0184205	0.125468	0.132291	0.0667664	0.231748	0.0269535	0.0969753	0.0583179	0.100949	0.234275	0.221169	0.122823	0.146426	0.172643	0.145544	0.0964477	0.136605	0.18839	0.0262243	0.338702	0.142095	0.484405	1.00416	2.36934	5	3.160311
45000	-439.4216	-485.7431	46.32151	10	0.8762854	0.056818	0.0106594	0.0213682	0.0184422	0.0435946	0.176851	0.00229846	0.112412	0.0631071	0.0316896	0.00581728	0.00615849	0.136205	0.0643843	0.0689793	0.187463	0.102405	0.193757	0.314978	0.112502	0.448147	0.0656158	0.0069267	0.220126	0.22852	0.133482	0.0992389	0.0707909	0.0649649	0.171233	0.0155811	0.111658	0.436126	0.976041	2.47617	5	3.254516
46000	-437.5256	-487.87	50.34437	10	0.7882466	0.0547031	0.0178562	0.0411419	0.0253128	0.175055	0.0782713	0.136256	0.0530192	0.0167686	0.0480003	0.0250438	0.0751701	0.0681702	0.026667	0.151486	0.0854386	0.0245019	0.0678731	0.301442	0.157438	0.0552599	0.00592491	0.020463	0.37065	0.330356	0.0691208	0.196719	0.0415467	0.0887073	0.0613859	0.287562	0.0930554	0.402359	0.953644	2.55094	5	3.157311
47000	-441.8067	-484.7722	42.96551	10	2.440254	0.0302735	0.0222076	0.050925	0.0175027	0.12111	0.0182774	0.0025358	0.122751	0.0514756	0.0498669	0.00489261	0.0271992	0.0927918	0.0392096	0.11833	0.142479	0.03467	0.193573	0.0198138	0.217679	0.219205	0.141138	0.0603218	0.163662	0.0571181	0.167381	0.07685	0.321131	0.245185	0.264538	0.427991	0.340718	0.694921	1.07792	1.88644	5	3.522084
48000	-438.0239	-485.284	47.26005	10	0.7162094	0.0147038	0.0607016	0.0224234	0.0437558	0.0794899	0.0117382	0.162455	0.0914879	0.027015	0.045644	0.0335941	0.0235364	0.149642	0.0989705	0.120897	0.065147	0.0364662	0.000201989	0.539525	0.0299792	0.484453	0.246004	0.0329459	0.139593	0.0473278	0.0502486	0.324244	0.168977	0.587176	0.151266	0.0978977	0.0776534	0.371079	0.93073	2.62054	5	3.987507
49000	-445.0136	-498.0196	53.00602	10	1.321037	0.0115156	0.0445424	0.124406	0.26537	0.0167157	0.059355	0.0632581	0.0817774	0.0164712	0.0175617	0.00184875	0.0252713	0.0778659	0.0231407	0.253686	0.00965107	0.0723802	0.35679	0.0118397	0.0698877	0.0757281	0.0210684	0.236073	0.0240835	0.0112616	0.142329	0.00213378	0.100786	0.394096	0.169001	0.0220787	0.196306	0.555778	1.03792	2.20999	5	2.801973
50000	-441.8454	-488.5533	46.70788	10	0.3217621	0.0141612	0.00677636	0.0638942	0.101086	0.0279811	0.0408843	0.183329	0.058384	0.128517	0.013961	0.037562	0.00955758	0.0976497	0.0998768	0.120145	0.156478	0.0488841	0.0355066	0.407648	0.02679	0.0509083	0.191892	0.138136	0.0121562	0.0908241	0.0842244	0.239733	0.33338	0.249951	0.101159	0.0590809	0.00722574	0.121496	0.630603	3.24068	5	3.230518
51000	-446.4522	-488.0603	41.60809	10	1.812033	0.045114	0.0326892	0.043556	0.140514	0.00575836	0.0230532	0.0218572	0.127453	0.0392243	0.0691074	0.00659982	0.0254587	0.163481	0.0350661	0.23255	0.128669	0.13396	0.325166	0.0236426	0.310785	0.217172	0.0207771	0.152467	0.0374086	0.0753871	0.247704	0.114048	0.32459	0.112108	0.141054	0.182061	0.269756	0.633411	1.06449	2.03235	5	3.558482
52000	-431.944	-485.5523	53.60835	10	0.422558	0.0314543	0.00370254	0.014384	0.040657	0.00180576	0.0394339	0.0173115	0.0317405	0.00797114	0.0308973	0.00274294	0.00745304	0.0605696	0.0226593	0.0634491	0.0248027	0.0787448	0.106461	0.127966	0.087743	0.309847	0.186047	0.0666295	0.0079315	0.262279	0.0624863	0.0909545	0.0301819	0.119761	0.067348	0.351598	0.0200987	0.198397	0.754581	3.02692	5	2.357015
53000	-423.6983	-482.117	58.4187	10	0.4075223	0.00567334	0.0334398	0.0138764	0.0777211	0.00209305	0.0195057	0.036731	0.0383186	0.0139908	0.0166382	0.0215561	0.00724724	0.0701515	0.0338699	0.0607309	0.0993042	0.0274519	0.116981	0.0187328	0.0764905	0.0852228	0.0530559	0.104747	0.225333	0.0767124	0.00267395	0.219091	0.127234	0.126991	0.220143	0.169998	0.0178144	0.187353	0.739294	3.05554	5	2.201707
54000	-453.3311	-492.8266	39.49547	10	2.167133	0.0135181	0.00475143	0.0427671	0.0658562	0.0314656	0.07678	0.00915937	0.148834	0.013318	0.0876182	0.0724498	0.0659295	0.103311	0.0814963	0.0804274	0.0432833	0.0241829	0.409989	0.467727	0.00852163	0.657962	0.0663616	0.0341017	0.388625	0.392847	0.0378482	0.0569039	0.0984709	0.0534487	0.246527	0.309328	0.312441	0.671686	1.07366	1.94221	5	4.193812
55000	-451.2938	-503.3074	52.01368	10	0.7022055	0.00961455	0.0414994	0.0560781	0.515513	0.00774181	0.112012	0.0786171	0.0358192	0.0264957	0.0331196	0.00848275	0.015932	0.0610506	0.00527183	0.0512282	0.0775994	0.0508829	0.264826	0.178463	0.116786	0.0326916	0.17242	0.0531573	0.0228162	0.24262	0.143217	0.403875	0.192011	0.0359789	0.0279553	0.294706	0.0746594	0.364569	0.925683	2.63509	5	3.368481
56000	-460.4689	-488.3646	27.89575	2	2.63442	0.0334903	0.0525576	0.028067	0.0917056	0.0684767	0.011297	0.178606	0.157116	0.00976208	0.0314453	0.00577477	0.143914	0.0580168	0.0612073	0.0933673	0.198003	0.044976	0.0499136	0.498899	0.0100032	0.101179	0.275234	0.188123	0.225264	0.00765832	0.146459	0.0658742	0.241873	0.175565	0.121205	0.0658943	0.358841	0.709042	1.08	1.85211	4	3.440929
