Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
25000	-394.4818	-469.816	75.33417	10	2.009468	0.0690533	0.0202209	0.0533012	0.0709701	0.250477	0.0152375	0.189716	0.0100233	0.0539978	0.0535341	0.023967	0.0511094	0.0715142	0.146146	0.09592	0.0328643	0.0459046	0.181364	0.0685871	0.212922	0.232049	0.0296145	0.0269288	0.00608622	0.00964929	0.0493138	0.263326	0.144221	0.513225	0.294402	0.656017	1.07022	1.97936	5	2.991242
26000	-385.2418	-469.3864	84.14464	10	3.119617	0.0409343	0.0089583	0.0621034	0.0303376	0.0496597	0.0392966	0.0334341	0.00758451	0.134108	0.00702572	0.0979867	0.0030872	0.0698126	0.0191133	0.0653928	0.14401	0.101558	0.0107995	0.317411	0.189061	0.0893352	0.172324	0.46695	0.0479083	0.0230089	0.264144	0.253945	0.0637129	0.0784486	0.398309	0.737943	1.08305	1.7807	5	2.891451
27000	-376.7444	-461.3382	84.59382	10	1.549082	0.0693168	0.0677793	0.00814655	0.0548142	0.0425105	0.0017269	0.0307397	0.108045	0.0132332	0.0295818	0.026244	0.0364532	0.16197	0.128009	0.280397	0.0189029	0.157018	0.0122743	0.0650731	0.412691	0.0129567	0.00854411	0.0301386	0.349872	0.0688426	0.269682	0.37174	0.0625694	0.104479	0.232806	0.596527	1.05318	2.11749	5	3.003751
28000	-374.0171	-459.824	85.80685	10	0.5603307	0.0533059	0.0188263	0.0214858	0.00240342	0.0114399	0.032791	0.0121686	0.0279564	0.0552888	0.0277229	0.0115606	0.0871657	0.0711363	0.112231	0.0195979	0.052433	0.012968	0.110238	0.10481	0.600292	0.080355	0.0995832	0.019346	0.125713	0.020689	0.0170026	0.0765399	0.171242	0.301685	0.0450436	0.289489	0.859648	2.80582	5	2.357976
29000	-397.0587	-474.248	77.18935	10	0.350907	0.0654703	0.0587409	0.00776212	0.00548374	0.182522	0.0444395	0.0673834	0.113078	0.0238065	0.00776635	0.0146906	0.126979	0.0582719	0.0434605	0.0312081	0.0307586	0.16378	0.0223103	0.0184886	0.285821	0.117334	0.109283	0.60255	0.12729	0.0168407	0.079019	0.253273	0.105909	0.377457	0.010315	0.14426	0.672184	3.17324	5	3.161175
30000	-381.2222	-465.1801	83.95798	10	2.46986	0.0872514	0.0206667	0.0186964	0.0659252	0.0323316	0.0467521	0.0307527	0.0318089	0.00151644	0.0559274	0.00522492	0.048167	0.24097	0.0560443	0.118802	0.269718	0.0368469	0.430273	0.214001	0.131314	0.10753	0.449773	0.0127839	0.000447253	0.0538376	0.35055	0.171698	0.0708056	0.130056	0.34358	0.69719	1.07828	1.88095	5	3.290471
31000	-386.1452	-464.6547	78.50947	10	2.289829	0.0192022	0.0274784	0.0354169	0.00572756	0.00616319	0.0619109	0.0264705	0.0115903	0.0187814	0.00336271	0.0575161	0.0893552	0.116326	0.0331432	0.199987	0.0135024	0.428942	0.0124528	0.131147	0.134867	0.194174	0.138353	0.0333915	0.308808	0.0285931	0.363221	0.183908	0.082996	0.0636684	0.32558	0.682674	1.0758	1.91595	5	2.830457
32000	-377.9913	-467.7965	89.8052	10	0.3473608	0.0281716	0.0607427	0.0186063	0.00908326	0.063947	0.0598836	0.0495017	0.0152604	0.0600565	0.0761724	0.131947	0.0240331	0.0752121	0.0240452	0.29228	0.0513823	0.0312444	0.235919	0.0920231	0.340512	0.181977	0.0581822	0.020116	0.0316913	0.00692535	0.269566	0.0458747	0.206069	0.0056499	0.00990935	0.141502	0.667408	3.18118	5	2.566075
33000	-379.7096	-471.5275	91.8179	10	0.7639303	0.0498008	0.0127946	0.0151334	0.017225	0.142788	0.0403233	0.104343	0.0414451	0.029326	0.060262	0.00457766	0.0245531	0.147788	0.00954676	0.0473454	0.0121688	0.0332014	0.025676	0.0253349	0.207607	0.038784	0.0196321	0.232043	0.291775	0.09351	0.0418476	0.0310404	0.065566	0.0314126	0.0878638	0.392196	0.946437	2.5735	5	1.896851
34000	-370.8273	-467.5573	96.72996	10	0.945655	0.0308467	0.0175753	0.0123566	0.00201566	0.173057	0.0539878	0.0705699	0.04763	0.0510766	0.0152203	0.0321967	0.0127888	0.073607	0.0246801	0.0199934	0.0300454	0.239729	0.138771	0.064065	0.113673	0.212363	0.0697726	0.0302646	0.00410419	0.134615	0.275132	0.0971277	0.207856	0.052806	0.125987	0.459785	0.990377	2.42385	5	2.307926
