Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
36000	-415.8808	-463.1072	47.22641	2	1.433754	0.0629813	0.0460018	0.0156576	0.00605636	0.123784	0.0113525	0.0776136	0.0271583	0.0208811	0.00355056	0.0746536	0.0358966	0.0212322	0.00326884	0.78533	0.0154433	0.167298	0.0341478	0.378865	0.0996329	0.209659	0.112425	0.409634	0.0185105	0.027995	0.0081106	0.114263	0.0593554	0.305303	0.214905	0.577145	1.04628	2.16167	4	3.276061
37000	-406.5232	-461.9775	55.45436	2	1.458746	0.00959077	0.0269156	0.0438361	0.00390622	0.259809	0.0745635	0.032896	0.0750797	0.00823247	0.0191038	0.0222345	0.00860035	0.12378	0.0397039	0.0998425	0.0959704	0.174645	0.554536	0.13695	0.00229873	0.168621	0.0855868	0.332772	0.0180364	0.0400094	0.0426235	0.105337	0.0157703	0.0343388	0.218879	0.581542	1.0479	2.15167	4	2.655589
38000	-419.2395	-463.009	43.76952	1	2.777667	0.0456846	0.049579	0.021908	0.0140051	0.0372395	0.0628337	0.0753745	0.0215212	0.0523772	0.0815128	0.0199126	0.0513777	0.0983621	0.0024337	0.243087	0.0124928	0.0871247	0.0539717	0.20283	0.00350995	0.404094	0.033945	0.321439	0.0212182	0.429177	0.0126617	0.0426161	0.0861643	0.387989	0.371295	0.718424	1.08117	1.82911	3	2.976441
39000	-397.1201	-459.8056	62.6855	2	0.8265127	0.000482426	0.0273698	0.0176401	0.0367066	0.065173	0.00158907	0.0409813	0.0116696	0.0681573	0.0198517	0.0196827	0.00687748	0.113377	0.0216447	0.0990849	0.026171	0.382633	0.00705589	0.246286	0.00893533	0.0671913	0.16131	0.0109037	0.334473	0.0596587	0.00479905	0.0110394	0.0522652	0.0342276	0.101187	0.417593	0.964039	2.51718	4	1.957237
40000	-407.176	-461.4941	54.31811	2	2.659285	0.0258045	0.0547098	0.0216199	0.0113349	0.0121306	0.0346218	0.0542699	0.0630514	0.00267744	0.0698053	0.0146778	0.0516901	0.103727	0.00163277	0.0412595	0.07814	0.030914	0.0155256	0.0382793	0.00524774	0.324606	0.254776	0.359264	0.11315	0.324436	0.122773	0.0938098	0.0419633	0.0462363	0.361056	0.710729	1.08023	1.84799	4	2.412134
41000	-407.0242	-459.3171	52.29296	2	4.499276	0.0778924	0.0136024	0.0169174	0.0163345	0.131279	0.00162966	0.0145281	0.0774363	0.00989494	0.0569585	0.0355647	0.0730578	0.0926038	0.0205251	0.0519642	0.0436242	0.667693	0.152574	0.0104915	0.157258	0.0725918	0.10377	0.116576	0.0451962	0.0463707	0.0583025	0.0533358	0.21923	0.266296	0.47985	0.790879	1.08405	1.64523	4	2.7035
42000	-419.956	-463.4529	43.49683	1	0.9344888	0.0075612	0.00465242	0.0620661	0.0277252	0.0483978	0.0135773	0.0222534	0.0197457	0.047484	0.0183014	0.00155214	0.0266175	0.0766373	0.0014429	0.119651	0.144869	0.486263	0.0234449	0.317771	0.0168774	0.0233802	0.405834	0.688293	0.0557882	0.0105465	0.0312372	0.131558	0.342666	0.0118348	0.123704	0.456135	0.988236	2.43192	3	3.188028
43000	-418.3402	-466.1525	47.81232	1	1.035828	0.0508991	0.0659552	0.000884757	0.0072533	0.0159686	0.0249518	0.103964	0.051477	0.0134681	0.0648172	0.0692675	0.0414215	0.140349	0.274036	0.0752316	0.067587	0.508526	0.0475953	0.012497	0.0288064	0.0633402	0.0390836	0.318308	0.0333648	0.209447	0.0402885	0.120154	0.212787	0.0446148	0.144047	0.487262	1.00569	2.363	3	2.746346
44000	-413.8575	-464.8114	50.95392	2	0.7091543	0.12555	0.0276815	0.00443141	0.0317299	0.0978608	0.0560828	0.0539138	0.00847191	0.108425	0.0119052	0.0578712	0.0336029	0.130221	0.16132	0.140181	0.0359188	0.371166	0.0227617	0.107323	0.0444152	0.202206	0.0802735	0.48909	0.0459302	0.0125223	0.224551	0.0879109	0.19189	0.128673	0.0761446	0.367818	0.928214	2.62782	4	3.093881
45000	-423.193	-465.1653	41.97224	1	4.990029	0.0801279	0.0467573	0.0353849	0.00138944	0.218332	0.0758156	0.0233003	0.0410815	0.0182057	0.0495404	0.0209275	0.0488172	0.247415	0.0181256	0.0577211	0.141752	0.0400255	0.423973	0.0226269	0.280102	0.100382	0.00390868	0.190736	0.199759	0.0644904	0.0204798	0.0655549	0.299963	0.0982381	0.501663	0.803721	1.08332	1.6113	3	2.934933
46000	-411.3473	-466.7329	55.38565	2	1.160445	0.0742078	0.0103482	0.0577134	0.039494	0.0192537	0.0238013	0.0286072	0.0735746	0.0332037	0.0620849	0.0512675	0.0350713	0.174503	0.199554	0.00445133	0.00198586	0.212274	0.419177	0.0642632	0.0181767	0.143727	0.125435	0.0217804	0.373726	0.00213684	0.0109896	0.0970669	0.248278	0.00530814	0.167812	0.520182	1.02222	2.28979	4	2.631459
47000	-415.7314	-464.8393	49.10796	1	2.13893	0.0332483	0.0258576	0.0204309	0.0301881	0.0310206	0.0329245	0.0435406	0.0215127	0.148474	0.0587164	0.0466403	0.149479	0.0522803	0.00243298	0.163783	0.0100564	0.0441766	0.0431016	0.00968393	0.00998478	0.057028	0.134362	0.0350274	0.442587	0.022315	0.0361205	0.227654	0.145565	0.42828	0.309313	0.669018	1.07311	1.94856	3	2.506471
48000	-412.1689	-462.3336	50.16474	2	1.029977	0.0653664	0.0626835	0.0332475	0.0345106	0.139378	0.0508875	0.0898368	0.0261551	0.102679	0.0215597	0.0204379	0.0219743	0.132078	0.094005	0.0080748	0.0912949	0.083051	0.0302504	0.125198	0.232796	0.00602577	0.336331	0.464694	0.042787	0.0502927	0.709623	0.0540591	0.423124	0.0596835	0.142896	0.48558	1.00479	2.36673	4	3.612083
49000	-409.6705	-463.1937	53.52315	1	0.4245633	0.0463421	0.0407111	0.0231705	0.0130248	0.138833	0.021942	0.000480221	0.0107975	0.0892258	0.0087415	0.0149694	0.0464981	0.0944435	0.0363558	0.0265645	0.183955	0.0180806	0.221812	0.225657	0.0128778	0.0422556	0.0596305	0.346636	0.0116636	0.251671	0.141181	0.00115693	0.0330201	0.0746924	0.0204117	0.199855	0.756549	3.02318	3	2.236388
