Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
35000	-38.81371	-91.84418	53.03047	10	0.08062929	0.00498388	0.0101584	0.00237883	0.276026	0.176742	0.0916449	0.10204	0.00244479	0.016323	0.0717574	0.0825612	0.0832259	0.0559742	0.142418	0.240611	1.88954e-08	0.000204586	0.0470563	3.95274	5	1.359291
36000	-46.27837	-91.87891	45.60054	10	2.010954	0.010615	0.129311	0.000774757	0.437574	0.0561206	0.119557	0.0352887	0.248287	0.084491	0.100168	0.387433	0.168408	0.0234322	0.13127	0.261629	0.294579	0.656173	1.07026	1.97899	5	2.194359
37000	-37.83624	-90.77953	52.94329	10	0.9335116	0.0109829	0.0323883	0.00740864	0.123814	0.0160224	0.0584692	0.0477293	0.0663744	0.106255	0.53507	0.0982136	0.359412	0.239382	0.0510365	0.046167	0.123504	0.455812	0.988046	2.43264	5	1.798724
38000	-55.33259	-91.46123	36.12863	2	0.1087056	0.0259317	0.0109991	0.275576	0.233075	0.0878027	0.00211855	0.0349236	0.00346267	0.00422565	0.126731	0.0227421	0.0690387	0.120297	0.066432	0.132773	1.59576e-06	0.00187528	0.117892	3.88023	4	1.216128
39000	-38.45377	-94.57078	56.11701	10	0.1087761	0.12573	0.00886903	0.0593687	0.0867264	0.110549	0.0437087	0.0581627	0.061049	0.104063	0.169824	0.0585209	0.121899	0.00264241	0.0352102	0.0113073	1.60898e-06	0.00188302	0.118093	3.88002	5	1.057631
40000	-31.21276	-88.84558	57.63282	10	0.1429326	0.0193608	0.0673038	0.0177592	0.225205	0.190926	0.0213766	0.0509984	0.0243185	0.0536625	0.207503	0.0469448	0.0950212	0.146633	0.0699281	0.0259049	3.36448e-05	0.00857701	0.220418	3.77097	5	1.262845
41000	-32.08648	-89.17125	57.08477	10	0.08482391	0.00455085	0.0159697	0.0703244	0.106861	0.212729	0.0563735	0.0613747	0.0393695	0.0183735	0.0684338	0.0512773	0.0498757	0.322602	0.0921919	0.199351	4.41886e-08	0.000312749	0.0561201	3.94357	5	1.369658
42000	-34.90991	-93.284	58.37409	10	0.1808551	0.0706659	0.11272	0.164949	0.0645545	0.181806	0.0254856	0.103113	0.0356379	0.0188325	0.110923	0.034022	0.00160976	0.0101799	0.490657	0.12308	0.000255705	0.023512	0.331882	3.64435	5	1.548237
43000	-32.71881	-91.93385	59.21504	10	0.04551918	0.0357959	0.0699768	0.00799555	0.0949643	0.465396	0.0267832	0.0970426	0.00530003	0.13098	0.174578	0.0354817	0.243216	0.00549891	0.0788655	0.0524201	3.30662e-14	2.71438e-07	0.0030092	3.99699	5	1.524295
44000	-32.85724	-86.97105	54.11381	10	0.03412015	0.0698278	0.03392	0.00374007	0.116683	0.332349	0.103857	0.00185842	0.0103004	0.023202	0.0425487	0.0508969	0.392112	0.19598	0.0256919	0.0358703	1.26313e-18	1.67927e-09	0.000364884	3.99964	5	1.438838
45000	-39.40484	-90.25106	50.84622	10	1.660031	0.0366107	0.0553167	0.00170441	0.132222	0.0632305	0.134465	0.0365964	0.0313445	0.0857388	0.149604	0.0582968	0.0367315	0.440391	0.459384	0.0268703	0.249019	0.613194	1.05858	2.0792	5	1.748506
46000	-52.17374	-92.33153	40.15779	2	0.1593329	0.0160401	0.117936	0.00876843	0.165431	0.108424	0.0194646	0.0506907	0.0481978	0.00731074	0.057914	0.175277	0.0464425	0.220321	0.00997928	0.0189993	9.10794e-05	0.0140798	0.269762	3.71607	4	1.071197
47000	-40.3091	-93.13386	52.82475	10	0.02343513	0.00766112	0.132146	0.016469	0.0216728	0.0464828	0.27668	0.0895242	0.00765731	0.0661131	0.0987455	0.416825	0.00192718	0.0101252	0.1297	0.0688117	1.14035e-26	1.59704e-13	7.82343e-06	3.99999	5	1.390541
48000	-38.75714	-90.00078	51.24365	10	0.8704467	0.0303203	0.100056	0.0280729	0.144691	0.0524087	0.00859612	0.0121862	0.0359578	0.0183707	0.159493	0.152994	0.0279154	0.151402	0.119779	0.38225	0.110437	0.434023	0.974714	2.48083	5	1.424493
49000	-31.96529	-88.86372	56.89843	10	1.576068	0.0021644	0.0534879	0.0948949	0.0737608	0.133485	0.0113386	0.0211594	0.0948169	0.0884427	0.0959488	0.119776	0.061531	0.235823	0.350846	0.171442	0.236838	0.600747	1.05459	2.10782	5	1.608917
50000	-44.53187	-91.42738	46.89551	10	2.651255	0.0121355	0.0406635	0.174894	0.229363	0.118429	0.0984642	0.0143763	0.0382584	0.0600084	0.0119502	0.127549	0.048061	0.038506	0.585769	0.501809	0.360343	0.710187	1.08015	1.84932	5	2.100236
51000	-28.27352	-84.90005	56.62653	10	0.1093235	0.00708336	0.0698292	0.00185098	0.0410856	0.0102313	0.0032095	0.000204013	0.0253737	0.0016312	0.00435537	0.128192	0.207172	0.243632	0.0646205	0.405173	1.71487e-06	0.00194388	0.119657	3.8784	5	1.213644
52000	-33.50429	-92.84415	59.33986	10	0.04631733	0.0209752	0.0100598	0.0823127	0.292485	0.15563	0.0245774	0.0570282	0.156454	0.142246	0.0158577	0.0847454	0.0494645	0.332852	0.00295509	0.0364588	5.58789e-14	3.52836e-07	0.00335514	3.99664	5	1.464102
53000	-27.69683	-85.31987	57.62304	10	0.0750783	0.0186501	0.0658018	0.0139701	0.161908	0.021333	0.00469153	0.0894481	0.00738212	0.0041318	0.00651631	0.224653	0.370865	0.0870202	0.0117854	0.00535747	5.30478e-09	0.000108452	0.036157	3.96373	5	1.093514
54000	-34.86102	-89.75902	54.898	10	0.01133951	0.00190823	0.223747	0.0240943	0.00100164	0.207986	0.0495594	0.0264642	0.0305584	0.005852	0.0331354	0.293658	0.446683	0.0294649	0.0674368	0.000803939	4.51295e-54	3.18042e-27	1.61277e-11	4	5	1.442354
55000	-48.75086	-89.34924	40.59838	2	0.02939087	0.0045119	0.059029	0.00555528	0.187758	0.16285	0.0370512	0.00347955	0.0200592	0.000369812	0.0332073	0.172803	0.123777	0.13449	0.101426	0.016273	1.83018e-21	6.39472e-11	9.40328e-05	3.99991	4	1.062641
56000	-43.78272	-86.99623	43.21351	10	1.581423	0.0557865	0.0958332	0.00698444	0.200505	0.0949272	0.192674	0.0119484	0.0191209	0.015376	0.219889	0.288496	0.0873685	0.459593	0.157294	0.0180666	0.237631	0.601571	1.05487	2.10593	5	1.923862
