Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-840.398	-856.8552	16.45711	10	0.5864167	0.307478	0.0160413	0.0639807	0.0339949	0.0243956	0.0332877	0.0475294	0.073193	0.0750911	0.00234165	0.114056	0.120622	0.019978	0.0391609	8.06372e-05	0.0982876	0.0460197	0.0466432	0.0830232	0.000197179	0.0597709	0.00371404	0.00439228	0.0109442	0.251507	0.00768852	0.0275984	0.0104796	0.0595635	0.00797516	0.0353836	0.0185536	0.101913	0.093951	0.0861345	0.141968	0.115561	0.000661857	0.045123	0.81923	0.0366511	2.34395e-05	0.122967	0.0806566	0.0131431	0.0503191	0.304637	0.874228	2.77082	5	3.400956
21000	-856.1712	-866.0247	9.853482	1	0.528293	0.329051	0.0158005	0.0251655	0.00942324	0.0475124	0.0293396	0.0496696	0.0875597	0.0525746	0.155421	0.0234418	0.131273	0.057442	0.0474881	0.0440734	0.19061	0.0295147	0.0538314	0.0216224	0.0392421	0.0342978	0.0200462	0.122958	0.000821572	0.396005	0.039016	0.0290648	0.100849	0.0179602	0.0426814	0.0368388	0.232255	0.0120712	0.0339912	0.0148752	0.668221	0.0365111	0.0420803	0.0934919	0.0249513	0.0771079	0.0204623	0.0887028	0.0217265	0.0314763	0.038744	0.269985	0.839811	2.85146	3	3.67852
22000	-844.0654	-855.9788	11.9134	10	0.2912812	0.385364	0.0338274	0.0231823	0.0469979	0.00896989	0.115672	0.0172193	0.0488201	0.0420839	0.103211	0.0109047	0.0119596	0.00753792	0.0467192	0.0508944	0.167981	0.000873768	0.0112082	0.1139	0.00967283	0.0490726	0.000499053	0.0425692	0.0133351	0.178315	0.061618	0.0162683	0.246677	0.0305168	0.130158	0.215299	0.129114	0.4338	0.0390987	0.0250517	0.0552263	0.0345501	0.0504682	0.0259667	0.0180062	0.0167968	0.133774	0.00728088	0.0032583	0.412546	0.00461476	0.0977318	0.580866	3.31679	5	3.626266
23000	-853.151	-865.686	12.53503	2	1.005947	0.208026	0.0174978	0.0226215	0.0335848	0.221763	0.038083	0.0704137	0.0333937	0.133462	0.0378605	0.0820361	0.147087	0.0592956	0.013937	0.0621812	0.184871	0.0402556	0.0307688	0.0113952	0.0247771	0.0583444	0.0266175	0.0635349	0.0414179	0.515101	0.0236994	0.0786049	0.0459866	0.0475859	0.0141122	0.000229721	0.00567241	0.103906	0.0213277	0.0263744	0.0726156	0.0326675	0.0691137	0.0288484	0.0180947	0.159969	0.0690036	0.0539298	0.0166793	0.333471	0.138139	0.478532	1.00098	2.38235	4	3.400218
24000	-859.5521	-865.9123	6.360208	1	1.157508	0.287897	0.00504366	0.00937744	0.0582328	0.125379	0.0894928	0.157388	0.0793258	0.0798021	0.130891	0.119485	0.0554575	0.0214743	0.00997433	0.01166	0.0223098	0.0267985	0.00687198	0.0495707	0.00634756	0.122038	0.0132419	0.0128932	0.036257	0.0876944	0.00394459	0.0439836	0.018157	0.024953	0.22091	0.0696448	0.0473397	0.204769	0.128101	0.0504944	0.233387	0.0893426	0.0379043	0.021073	0.30049	0.117208	0.0191611	0.13414	0.486836	0.088183	0.167268	0.519465	1.02188	2.29139	3	3.964926
25000	-860.4907	-864.8163	4.325567	1	1.785411	0.240218	0.00103943	0.016004	0.0290644	0.178055	0.0899059	0.105119	0.135887	0.127167	0.132758	0.0142253	0.0654199	0.042031	0.0429898	0.0284039	0.183892	0.0340557	0.118098	0.138367	0.0101485	0.111016	0.0359718	0.118425	0.00225314	0.049326	0.00567842	0.123357	0.906142	0.0226718	0.0291691	0.0334731	0.069681	0.157362	0.0184169	0.110761	0.0232843	0.0213698	0.0706833	0.0205768	0.0394649	0.0110317	0.282701	0.0221192	0.0355646	0.0522509	0.26624	0.630065	1.06356	2.04013	3	4.105599
26000	-842.9703	-854.1563	11.18592	2	1.066835	0.220412	0.037661	0.00604831	0.0510533	0.0374111	0.00215826	0.0661759	0.0208254	0.0412237	0.092668	0.0153252	0.0174844	0.0610506	0.0630668	0.0515155	0.150007	0.00276749	0.0573236	0.0445355	0.070879	0.0197082	0.00466181	0.121826	0.00972165	0.0292656	0.327776	0.0730291	0.365449	0.131544	0.023116	0.483135	0.0239489	0.0227975	0.0337985	0.0942621	0.00636209	0.109514	0.0328505	0.0482725	0.172218	0.0882654	0.0701904	0.0290552	0.0684632	0.0303603	0.150093	0.495958	1.01025	2.3437	4	3.529184
27000	-851.3578	-865.9919	14.63416	2	1.697814	0.395112	0.00604404	0.0286556	0.0536405	0.0846215	0.0170037	0.146511	0.0238555	0.0373215	0.00184451	0.0933745	0.100713	0.0184218	0.0029416	0.0436568	0.131508	0.00559336	0.01964	0.0239195	0.0206892	0.0624335	0.00440943	0.160975	0.0445994	0.134329	0.150011	0.0528412	0.171413	0.118649	0.00427241	0.449769	0.0211175	0.033378	0.0431676	0.0302004	0.0407712	0.0513622	0.00793869	0.00721427	0.0334935	0.00991329	0.00345926	0.0152812	0.0365281	0.260388	0.254328	0.618482	1.0602	2.06699	4	3.202983
28000	-867.5858	-873.5999	6.014118	0.2	1.628587	0.514801	0.06008	0.0664983	0.0298044	0.110372	0.0856436	0.0533164	0.0205498	0.0799529	0.00202052	0.00274216	0.0494433	0.0710125	0.0291435	0.00105852	0.108347	0.0185578	0.0498076	0.0304858	0.0439525	0.0515412	0.0475042	0.0756984	0.0016275	0.0508429	0.0400324	0.0999596	0.172577	0.00826775	0.0324098	0.816339	0.0768875	0.20552	0.158803	0.0243411	0.00403509	0.0178625	0.0878447	0.0687292	0.136132	0.0542232	0.204033	0.00422718	0.105925	0.16984	0.24452	0.608649	1.05716	2.08967	2	4.142792
29000	-849.1319	-857.1901	8.058176	10	1.284427	0.214765	0.020299	0.0392529	0.0592088	0.198085	0.0723732	0.101765	0.044202	0.0638685	0.142138	0.0672414	0.0033367	0.0530191	0.0251798	0.0475491	0.117198	0.0467415	0.100303	0.0205466	0.0216737	0.0365084	0.0138031	0.0487582	0.0260499	0.137531	0.0663921	0.198951	0.0945942	0.031163	0.0315012	0.106573	0.15848	0.708892	0.029366	0.0122569	0.0274166	0.0528281	0.0574272	0.05617	0.738182	0.153096	0.0225327	0.00216039	0.0235707	0.00954724	0.190021	0.548243	1.03478	2.22695	5	4.302497
