Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-1355.795	-1423.668	67.8732	10	5.708513	0.032477	0.00542362	0.00983446	0.0177013	0.00122923	0.000789843	0.0126856	0.00248568	0.00192312	0.0189886	0.0145851	0.000336152	0.00366538	0.00280985	0.00647586	0.0129178	0.0124036	0.149505	0.000739699	0.0127406	0.0236728	0.00958952	0.0247335	0.019275	0.00311123	0.00571129	0.0060041	0.00848752	0.00834171	0.00297749	0.0504978	0.0440608	0.0459034	0.00919729	0.00748136	0.0420706	0.0609391	0.0245286	0.0284606	0.154232	0.038327	0.0768532	0.0295518	0.0789163	0.0077368	0.0742817	0.0364081	0.00426698	0.0346833	0.0413969	0.0295035	0.160687	0.111701	0.0298713	0.0348194	0.067861	0.00317905	0.529085	0.819174	1.0819	1.56984	5	1.759038
21000	-1358.669	-1432.862	74.19228	10	7.908887	0.0169681	0.00955278	0.0385967	0.0228335	0.00179009	0.000200437	0.00530283	0.00788972	0.00744812	0.0146462	9.86793e-05	0.00621265	0.00278375	0.00638897	0.0118335	0.00617206	0.00468879	0.0963914	0.00653146	0.0191438	0.00244681	0.00599404	0.0240584	0.0407253	0.00478426	0.00114031	0.000869722	0.0105051	0.00516199	0.0107995	0.0198731	0.0499784	0.0677115	0.0325689	0.0830802	0.0512832	0.0588973	0.0603689	0.0276897	0.10595	0.0555256	0.0832333	0.00780076	0.0231067	0.0125672	0.0668182	0.0106977	0.0102906	0.0275072	0.0342484	0.033727	0.189103	0.0694869	0.0399326	0.0348788	0.102413	0.0174681	0.591	0.851495	1.07685	1.48065	5	1.768166
22000	-1354.838	-1435.76	80.92115	10	2.429967	0.01509	0.0224186	0.0199366	0.0225559	0.00580555	0.0113822	0.00470586	0.00223698	0.00599139	5.0961e-05	0.0186045	0.0102969	0.00170564	0.00373357	0.00721843	0.00933043	0.00742965	0.12136	0.00283304	0.00286044	0.014178	0.0028976	0.067409	0.0296275	0.0145002	0.0111126	0.0094637	0.000522987	0.000232101	0.00365425	0.0525544	0.0924703	0.0269583	0.0140244	0.0175163	0.044879	0.0596219	0.0143072	0.0233395	0.106752	0.0547606	0.0371262	0.00536718	0.0482689	0.0122721	0.0133929	0.0023054	0.00452307	0.0398818	0.0492369	0.0261079	0.15087	0.134722	0.0240913	0.018464	0.0594775	0.0537709	0.339715	0.694123	1.07779	1.88838	5	1.636206
23000	-1342.898	-1420.943	78.04476	10	2.255002	0.0122927	0.0187702	0.0149298	0.0246709	0.00352149	0.0110533	0.00375086	0.00268558	0.00524464	0.00694619	0.00641401	0.00280184	0.00463344	0.00171499	0.0203192	0.00249551	0.00665102	0.0773648	0.00139225	0.00125366	0.00645272	0.0137218	0.0415541	0.0310451	0.00240099	0.00336496	0.00570171	0.00307087	0.0116722	0.000111241	0.036739	0.0515158	0.0438762	0.00520082	0.0230845	0.0375081	0.0651888	0.0119344	0.0361272	0.130849	0.0495333	0.0154384	0.0393537	0.0680701	0.0211013	0.0280147	0.0170635	0.00434781	0.0311455	0.0504686	0.0378202	0.110039	0.0804922	0.0350791	0.0296231	0.0886936	0.0236596	0.321926	0.679652	1.07523	1.92319	5	1.51997
24000	-1341.48	-1415.811	74.33179	10	4.885311	0.0154105	0.0149347	0.00596627	0.0116366	0.00264612	0.00166086	0.0125438	0.000517815	0.00108843	0.00318884	0.00422356	0.00106787	8.06574e-05	0.00821243	0.00350573	0.0102089	0.0148861	0.113153	0.00665799	0.0012553	0.000524336	0.0194077	0.0673721	0.0500147	0.00260687	0.00305898	0.000842329	0.0195633	0.00418846	0.000191549	0.0345432	0.0688352	0.0463911	0.0418736	0.00112215	0.0556121	0.0418456	0.016316	0.0335347	0.196137	0.062826	0.0282534	0.0294254	0.0554161	0.014912	0.0763463	0.0095922	0.0382642	0.0316486	0.0517891	0.029702	0.141749	0.0944962	0.026592	0.0281581	0.0611841	0.0110426	0.497243	0.80116	1.0835	1.6181	5	1.728224
25000	-1376.384	-1438.459	62.07571	10	6.823592	0.0123979	0.0188544	0.0128999	0.0053434	0.00287131	0.00172247	0.0222812	0.00822328	0.00268588	0.0213076	0.00652262	0.00260146	0.00280495	0.0130658	0.0179495	0.00298778	0.00495184	0.0702978	0.00457204	0.0241445	0.0681288	0.00712894	0.0284176	0.030897	0.000238357	0.0265786	0.000341258	0.0107046	0.0138252	0.000670836	0.0446926	0.0515349	0.0650961	0.0327338	0.0116777	0.041168	0.0306849	0.0151476	0.0202713	0.13804	0.0553883	0.030809	0.051297	0.0661923	0.00570492	0.0413875	0.0127028	0.00587098	0.0292038	0.0648723	0.0280807	0.24931	0.100572	0.0439103	0.0457274	0.0456545	0.0249765	0.563782	0.837702	1.07937	1.51915	5	1.798124
26000	-1353.643	-1428.802	75.15892	10	3.806764	0.0208937	0.0275707	0.014854	0.0150343	0.00448895	0.000999981	0.00578771	0.00111286	0.00167948	0.00649876	0.0113882	0.00475761	0.00326504	0.00510285	0.0100917	0.0100645	0.0204354	0.166479	0.0115684	0.0186203	0.00522458	0.00104777	0.0435692	0.0692753	0.000628285	0.015391	0.00293136	0.00540075	0.00513653	0.000455446	0.0168765	0.0964369	0.0363738	0.00729876	0.0352644	0.0331312	0.0827023	0.0528889	0.0474165	0.150363	0.0597775	0.0186725	0.0589379	0.0551816	0.0178624	0.0497586	0.00682576	0.0296348	0.0650263	0.0627956	0.0371939	0.169634	0.0990767	0.0147328	0.0267058	0.0695411	0.0341328	0.443421	0.76825	1.08438	1.70395	5	1.943996
27000	-1359.86	-1428.725	68.86543	10	7.089024	0.0217701	0.00915658	0.0197544	0.000928673	0.00146701	0.0011181	0.0114111	0.00494018	0.00705738	0.0176182	0.00237162	0.00185237	0.00587554	0.00903745	0.0221291	0.00739168	0.00374861	0.104838	0.00363676	0.00728884	0.00355955	0.0182365	0.0182887	0.0458664	0.00450746	0.00114078	0.0184574	0.00626743	0.00390271	0.0153836	0.0618145	0.0416233	0.0609877	0.0201847	0.0183487	0.0482712	0.0773877	0.0480297	0.0389698	0.143245	0.0677609	0.0314164	0.0285464	0.0460445	0.0265748	0.0547327	0.0155882	0.0663262	0.0478742	0.0453525	0.0339315	0.175155	0.0721759	0.0475265	0.0339491	0.0707706	0.0404325	0.570948	0.841395	1.07875	1.50891	5	1.862022
28000	-1343.262	-1419.768	76.50582	10	2.499765	0.0131885	0.00476761	0.0114441	0.0108911	0.00191581	0.00309206	0.00131083	0.00283443	0.00665937	0.0288967	3.50432e-05	0.00138306	0.00932189	0.00318405	0.00223641	0.00013853	0.0115977	0.115343	0.000239758	0.000268867	0.00783979	0.0131735	0.0319163	0.0196542	0.0202941	0.000602328	0.0114332	0.00183551	0.000440045	0.00182902	0.0629571	0.0641876	0.0143911	0.0119238	0.0293446	0.0420087	0.0732825	0.0233041	0.0153639	0.142754	0.100442	0.0125561	0.0247988	0.0594764	0.0171903	0.0103859	0.0345307	0.0573452	0.0346495	0.0959694	0.0322084	0.145394	0.0936217	0.0325587	0.0330275	0.0594274	0.0392709	0.346434	0.699437	1.07863	1.8755	5	1.700137
29000	-1338.697	-1415.036	76.33932	10	3.281623	0.00480716	0.00408524	0.0181264	0.0159155	0.00120986	0.00117306	0.00795847	0.00684849	0.00262871	0.00986446	0.000282088	0.00690258	0.00181947	0.018595	0.00228146	0.0137298	0.00120108	0.0944641	0.00431463	0.00556511	0.00215639	0.00714585	0.0399854	0.0325125	0.00516465	0.0196885	0.00428595	6.88335e-05	0.000754612	0.00500518	0.0580202	0.0786829	0.0173052	0.0238909	0.00255724	0.0242811	0.0493482	0.0263751	0.0240675	0.157482	0.0585052	0.0310728	0.0193176	0.0535442	0.00911104	0.00998814	0.0217951	0.030339	0.0270383	0.0752031	0.0285774	0.148032	0.12228	0.02625	0.0385192	0.0539597	0.0487008	0.40994	0.746018	1.08359	1.76045	5	1.602784
