Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
36000	-90.77672	-122.7213	31.94462	10	0.06627047	0.0453353	0.0166271	0.00210287	0.0175859	0.00247791	0.0495334	0.15741	0.118435	0.0800108	0.00941036	0.0329767	4.56562e-10	3.184e-05	0.0217379	3.97823	5	0.5319059
37000	-84.62813	-124.1638	39.53567	10	0.007819756	0.0345045	0.000309029	0.0342403	0.0171927	0.0598288	0.0408826	0.0840919	0.0588054	0.122762	0.0321832	0.0417822	5.70883e-78	3.57818e-39	1.77223e-16	4	5	0.5265827
38000	-97.72183	-123.236	25.51416	10	1.805205	0.0615503	0.020147	0.0065535	0.138595	0.0424275	0.0452896	0.268487	0.139744	0.237605	0.414367	0.141296	0.268859	0.632561	1.06425	2.03433	5	1.516062
39000	-105.9193	-127.0578	21.13842	10	0.6587773	0.0557462	0.012425	0.237836	0.250871	0.0851938	0.167327	0.121062	0.0368148	0.456418	0.298405	0.0903197	0.0654144	0.343413	0.908579	2.68259	5	1.812419
40000	-86.4424	-122.2935	35.85114	10	0.3115131	0.0303802	0.0464548	0.0379676	0.00639855	0.00113482	0.0177302	0.193121	0.024877	0.109222	0.126786	0.193568	0.00627561	0.113476	0.61464	3.26561	5	0.7876402
41000	-98.01535	-121.2886	23.27323	10	0.3457481	0.022828	0.0321734	0.0311281	0.105137	0.027135	0.0296532	0.308895	0.0210366	0.197595	0.180987	0.138008	0.00972751	0.140246	0.665211	3.18482	5	1.094577
42000	-97.57544	-122.2089	24.63346	10	0.6459164	0.108539	0.0317731	0.00446028	0.00535042	0.0506565	0.0562994	0.308088	0.15083	0.271638	0.267558	0.22146	0.0626957	0.336854	0.903051	2.6974	5	1.476653
43000	-90.88911	-123.9723	33.08323	10	0.6707588	0.0755905	0.00816553	0.0369342	0.0523981	0.0295569	0.00883961	0.129804	0.170806	0.167477	0.053383	0.119663	0.0679566	0.3494	0.913531	2.66911	5	0.852618
44000	-97.36799	-123.4784	26.11039	10	1.320316	0.0100642	0.0309408	0.0183115	0.254683	0.0208954	0.0760265	0.345205	0.192886	0.0631939	0.412852	0.101611	0.196184	0.555633	1.03786	2.21032	5	1.526669
45000	-110.8221	-124.3188	13.49673	10	2.255753	0.0236078	0.0653035	0.171777	0.0594711	0.021472	0.0336366	0.497852	0.183384	0.207895	0.104336	0.307721	0.322005	0.679718	1.07525	1.92303	5	1.676456
46000	-89.39628	-119.8563	30.46001	10	0.2270064	0.0369741	0.00165109	0.0461402	0.00271987	0.0487081	0.0314282	0.157681	0.19561	0.0378246	0.04121	0.19975	0.00120748	0.0506631	0.450426	3.4977	5	0.7996965
47000	-97.68862	-124.5671	26.87853	10	0.2037283	0.0440731	0.0258683	0.0869065	0.0410655	0.0350415	0.0825207	0.115836	0.0787869	0.0149191	0.14426	0.299516	0.000602742	0.0359537	0.393318	3.57013	5	0.968793
48000	-96.2842	-123.3288	27.04456	10	0.2383271	0.0402903	0.0144256	0.027161	0.0515029	0.137478	0.164061	0.0272921	0.356051	0.033938	0.124342	0.31703	0.00161165	0.0583993	0.476214	3.46377	5	1.293573
49000	-101.8755	-123.3261	21.45063	10	0.2532084	0.0115682	0.111605	0.0309502	0.00848602	0.206303	0.0198027	0.655479	0.0716867	0.0896409	0.308396	0.394863	0.00226467	0.0690166	0.508203	3.42052	5	1.908781
50000	-95.3726	-123.4264	28.05378	10	0.591937	0.0761123	0.0247615	0.0156015	0.00805695	0.0183185	0.0328429	0.168519	0.387456	0.196775	0.0579567	0.126291	0.0514494	0.307761	0.877149	2.76364	5	1.112692
51000	-91.3219	-123.2344	31.9125	10	0.112773	0.0118911	0.0104113	0.0317904	0.103632	0.00452143	0.138884	0.282894	0.0999752	7.09748e-05	0.226116	0.0767183	2.52609e-06	0.00235845	0.129608	3.86803	5	0.9869043
52000	-95.34419	-123.2044	27.86024	10	0.8404072	0.0166588	0.0193549	0.00329503	0.0292418	0.0164752	0.0948113	0.189702	0.0771622	0.058228	0.224089	0.0744922	0.104123	0.422907	0.967552	2.50542	5	0.8035104
53000	-96.97496	-122.6924	25.71741	10	1.770513	0.143224	0.0127177	0.11099	0.0823714	0.0233112	0.0395995	0.156282	0.108246	0.0683049	0.123914	0.194051	0.264252	0.628159	1.06302	2.04457	5	1.063011
54000	-96.15218	-122.1974	26.0452	10	0.4945928	0.0678634	0.0431939	0.0431338	0.115286	0.00480381	0.000567786	0.351617	0.0860572	0.0587396	0.448524	0.03948	0.03239	0.248371	0.816294	2.90294	5	1.259267
