Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
27000	-255.1981	-259.2291	4.031039	2	0.3546014	0.00976615	0.158605	0.250086	0.0308746	0.138391	0.0981587	0.0515254	0.0148572	0.0913061	0.0162022	0.262631	0.124923	0.045744	0.00557351	0.697867	0.00782049	0.0265841	0.159366	0.599656	0.0061683	0.108676	0.0107462	0.147129	0.677082	3.16504	4	2.904782
28000	-245.4688	-253.1318	7.662949	1	0.4427961	0.0984079	0.113689	0.0919785	0.0590579	0.00099252	0.0431735	0.0712037	0.000790046	0.0716246	0.24453	0.0234443	0.155699	0.00104889	0.231581	0.125153	0.711293	0.0247256	0.263541	0.0581076	0.0199469	0.0179656	0.0233413	0.212942	0.773729	2.98999	3	2.427954
29000	-247.1384	-255.6696	8.531213	1	0.4544553	0.152673	0.136628	0.140353	0.0296271	0.0277017	0.0611195	0.00590951	0.0500382	0.0100431	0.0631873	0.0769715	0.0648989	0.0200334	0.0120324	0.225978	0.351458	0.00625292	0.148762	0.50712	0.14275	0.106426	0.0252898	0.221147	0.784075	2.96949	3	2.339962
30000	-253.3724	-261.9399	8.567528	2	0.3916673	0.253955	0.0658566	0.0899688	0.0408086	0.0112821	0.00448075	0.0587035	0.0412863	0.124227	0.143281	0.0388732	0.227339	0.0392272	0.625255	0.073864	0.219648	0.0512671	0.13544	0.0282488	0.0241101	0.115423	0.0155309	0.175504	0.722104	3.08686	4	2.412545
31000	-244.05	-252.4916	8.441628	10	0.2331251	0.121331	0.0300068	0.195854	0.0731767	0.00570076	0.0328049	0.00875087	0.0334393	0.0167861	0.047174	0.14076	0.0908565	0.416185	0.0605713	0.0508731	0.0523153	0.0610913	0.695414	0.0559964	0.291597	0.0886649	0.00141634	0.0548036	0.464523	3.47926	5	2.569349
32000	-250.7939	-260.9768	10.18283	2	0.214867	0.121079	0.00105657	0.248248	0.0828795	0.0199378	0.0252155	0.286178	0.030824	0.0152261	0.0373346	0.020555	0.0987523	0.123519	0.0283441	0.263717	0.138497	0.101821	0.359877	0.00845396	0.256034	0.116292	0.000856443	0.0427683	0.421335	3.53504	4	2.38384
33000	-242.1057	-253.2178	11.11208	1	0.7159784	0.236015	0.0822073	0.249221	0.100746	0.00609554	0.029852	0.0564296	0.104247	0.00273998	0.0106973	0.0393496	0.0299368	0.0138783	0.0902372	0.261978	0.270278	0.0154399	0.0398107	0.342494	0.00816074	0.0659095	0.077604	0.370973	0.930649	2.62077	3	2.055723
34000	-240.6104	-254.5268	13.91636	2	1.185664	0.0564311	0.179833	0.18999	0.142386	0.0082912	0.0557146	0.0794995	0.0358491	0.0315979	0.0624196	0.121381	0.0133895	0.0609475	0.113532	0.0657882	0.0574798	0.0595393	0.0775334	0.348309	0.0620186	0.0600069	0.172446	0.526235	1.02505	2.27627	4	1.881936
35000	-252.513	-256.3311	3.818084	1	0.1895793	0.0359505	0.138322	0.17847	0.00922505	0.004697	0.025756	0.0716755	0.0485521	0.0647377	0.025584	0.110726	0.122575	0.0248678	0.1497	0.641533	0.0463408	0.337592	0.458834	0.0739594	0.209756	0.0589072	0.000363416	0.0279884	0.355918	3.61573	3	2.837762
36000	-251.1791	-262.2069	11.02781	10	0.7963531	0.0305304	0.161922	0.337233	0.213154	0.0069365	0.0275896	0.0946578	0.0434674	0.0464811	0.0745868	0.215391	0.021915	0.140044	0.110475	0.0903094	0.0265401	0.067191	0.481006	0.0842635	0.166205	0.0612953	0.0947825	0.405662	0.955939	2.54362	5	2.501193
37000	-244.8986	-253.7898	8.891199	10	0.2719038	0.154239	0.0901453	0.0876854	0.0810455	0.0280016	0.0106973	0.0700564	0.0306472	0.0259825	0.126525	0.0759739	0.0823195	0.488896	0.109241	0.17415	0.582497	0.0226597	0.114694	0.0255415	0.104803	0.217351	0.00329338	0.0829035	0.54546	3.36834	5	2.703151
38000	-231.2564	-253.3603	22.1039	1000	0.5033814	0.0119907	0.177854	0.270886	0.0933674	0.00188517	0.0123837	0.0587329	0.106589	0.00170465	0.00164842	0.162669	0.067308	0.0823368	0.0183906	0.312191	0.211814	0.0431734	0.38627	0.0830727	0.186182	0.0370107	0.0340162	0.254118	0.822713	2.88915	6	2.32746
