Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-208.1729	-229.2609	21.08798	10	0.4748463	0.053489	0.220764	0.0409297	0.010003	0.0321996	0.0825473	0.0677431	0.0147433	0.091384	0.0164663	0.162317	0.0988164	0.203415	0.0240342	0.0194353	0.145566	0.0749064	0.182805	0.148224	0.216365	0.0494432	0.0416973	0.0263405	0.0721242	0.300551	0.0326211	0.00141621	0.125774	0.0678156	0.0747912	0.0299754	0.0722865	0.308423	0.0187869	0.272076	0.028008	0.425191	0.118355	0.141194	0.00446559	0.254611	0.125359	0.202076	0.0272104	0.219014	0.0288258	0.235178	0.801066	2.93493	5	4.945759
21000	-219.2983	-236.0004	16.7021	10	0.7826965	0.153762	0.219173	0.209144	0.053071	0.142753	0.309185	0.321829	0.0911561	0.0771425	0.0665909	0.92572	0.0798254	0.279084	0.183693	0.124783	0.0583628	0.156204	0.0551624	0.0066201	0.106269	0.0541908	0.174368	0.232504	0.0921476	0.0177594	0.0391846	0.218925	0.0381111	0.0564647	0.290461	0.131229	0.203372	0.242053	0.00411574	0.0538939	0.0418537	0.0336704	0.0127914	0.185452	0.0564209	0.0929018	0.0760541	0.040755	0.0205078	0.0353654	0.0918717	0.400073	0.952043	2.55601	5	6.064084
22000	-197.1539	-222.8104	25.65647	10	0.3951365	0.384199	0.0413983	0.0133943	0.00897116	0.00518817	0.173143	0.0797056	0.008644	0.07168	0.12906	0.230758	0.390614	0.0664325	0.175554	0.289412	0.0124571	0.0042189	0.221185	0.0146414	0.0833523	0.105187	0.0466712	0.0105464	0.186989	0.0967027	0.038538	0.039691	0.0967592	0.0300103	0.268464	0.00892966	0.0767784	0.305888	0.0526062	0.0652954	0.0742819	0.026222	0.0737911	0.00509573	0.0112765	0.15003	0.00503011	0.0791913	0.377468	0.387595	0.0160191	0.178114	0.725964	3.0799	5	5.023047
23000	-184.2825	-219.0299	34.74738	10	1.360376	0.217671	0.0618381	0.0636833	0.0277672	0.0158948	0.167743	0.089595	0.0336075	0.0353946	0.0512657	0.297999	0.0928327	0.318361	0.0671191	0.0109639	0.0109138	0.00269741	0.421037	0.0168454	0.0200832	0.0110375	0.0326017	0.0126806	0.172422	0.0995312	0.0693347	0.127906	0.0406865	0.0536752	0.0864628	0.214656	0.119632	0.0529703	0.00806071	0.0875903	0.207471	0.136148	0.128402	0.184027	0.151729	0.178836	0.0130986	0.0584093	0.040334	0.144868	0.202926	0.563536	1.04105	2.19249	5	4.455882
24000	-178.2392	-214.7706	36.5314	10	0.2594793	0.360656	0.149175	0.0169095	0.00856197	0.0366721	0.135011	0.0393254	0.0668646	0.0467926	0.0479095	0.0790918	0.0517721	0.122677	0.169555	0.0348636	0.0238545	0.0423675	0.26233	0.157374	0.0789454	0.015435	0.13075	0.0319741	0.132351	0.0601378	0.290329	0.0147684	0.0181358	0.163292	0.0135237	0.0555642	0.0279932	0.187538	0.0688263	0.0716053	0.207738	0.0743095	0.0936527	0.0974468	0.167072	0.0377801	0.127278	0.0367547	0.0117225	0.144835	0.00258329	0.073616	0.521054	3.40275	5	4.211521
25000	-194.9556	-229.415	34.45936	10	0.2545209	0.257172	0.0572073	0.0522973	0.0261835	0.0518756	0.111688	0.174246	0.161234	0.0435591	0.0174363	0.115805	0.00680055	0.124733	0.0809355	0.000648638	0.0892759	0.0842463	0.126472	0.0133622	0.0144	0.0165826	0.155043	0.213192	0.137267	0.0646474	0.0544977	0.103182	0.31496	0.012709	0.0617852	0.0817555	0.0750069	0.0183409	0.229652	0.0111028	0.139796	0.29196	0.128052	0.0886144	0.0401697	0.0304935	0.0602821	0.0479136	0.0834949	0.00902162	0.00232919	0.0699738	0.510923	3.41677	5	4.079099
26000	-202.0073	-228.2679	26.2606	10	0.2802488	0.126466	0.167691	0.0731831	0.0600224	0.00440318	0.0522364	0.110893	0.0392265	0.0115196	0.136474	0.0916538	0.0658368	0.0287275	0.0897246	0.389534	0.0768774	0.0269384	0.0382525	0.0641478	0.0850362	0.012756	0.150538	0.0517965	0.175692	0.136705	0.0127911	0.0427286	0.0577695	0.0376104	0.139086	0.0142743	0.0118425	0.00658607	0.00734894	0.0800948	0.0256436	0.0126684	0.0978351	0.13865	0.207033	0.0414919	0.0112877	0.236635	0.209063	0.594591	0.00383021	0.0892473	0.561093	3.34583	5	4.251364
27000	-196.6518	-218.7736	22.12186	10	0.6162191	0.178473	0.0665404	0.00166802	0.13253	0.0216165	0.211062	0.032002	0.0411709	0.0452953	0.0770226	0.104847	0.118173	0.0142638	0.812874	0.0224946	0.327766	0.0813321	0.321082	0.0569087	0.00361987	0.0727726	0.159421	0.0041372	0.266045	0.227059	0.0429922	0.0515275	0.184037	0.0292887	0.0601947	0.164126	0.0828994	0.00547	0.0924106	0.0735396	0.203717	0.248405	0.0716934	0.152348	0.125916	0.0439635	0.128935	0.0367806	0.0953878	0.17534	0.0564695	0.321168	0.889373	2.73299	5	5.469148
28000	-188.5006	-220.3481	31.84753	10	0.417892	0.303902	0.0247564	0.033293	0.00880452	0.00125199	0.111308	0.00566122	0.0337674	0.0484892	0.00805468	0.171922	0.215874	0.214979	0.00210552	0.0209827	0.0480784	0.12044	0.233045	0.177805	0.138316	0.0760579	0.0449731	0.105192	0.0494676	0.124808	0.058534	0.0771651	0.10374	0.0918755	0.0128055	0.0721235	0.00379894	0.00318473	0.337086	0.199516	0.0370346	0.0402799	0.168915	0.0465217	0.0474365	0.131788	0.0520245	0.0350492	0.108383	0.0197573	0.019378	0.19499	0.749938	3.03569	5	3.970353
29000	-193.1393	-217.1978	24.05858	10	0.4025343	0.194196	0.0306457	0.0421231	0.0918305	0.00396537	0.0174203	0.0440281	0.0582223	0.00749987	0.162241	0.492758	0.188189	0.0615436	0.14408	0.0229439	0.0155169	0.0498914	0.136942	0.0407505	0.0534341	0.00278728	0.101468	0.03367	0.189755	0.0834826	0.0288015	0.123428	0.226229	0.101261	0.316468	0.27774	0.213608	0.118987	0.110222	0.060173	0.209959	0.190562	0.101785	0.117706	0.0225116	0.0448457	0.159515	0.0176718	0.0581067	0.171816	0.0170817	0.183647	0.734009	3.06526	5	4.940779
