Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
27000	-226.4348	-257.4761	31.04131	1000	0.5219802	0.104773	0.0456971	0.212911	0.26396	0.0166537	0.0232441	0.0447686	0.0172646	0.0202239	0.0372904	0.0530818	0.0498511	0.241142	0.0562914	0.00847754	0.149648	0.0913191	0.108371	0.0315227	0.0646212	0.114772	0.0375305	0.266023	0.835625	2.86082	6	1.755884
28000	-242.0369	-254.8231	12.78617	1	0.6839759	0.225045	0.100421	0.0147152	0.0751607	0.00654417	0.0150879	0.19835	0.0155767	0.0344094	0.0158009	0.116232	0.107076	0.0528886	0.330048	0.0658307	0.0035351	0.189824	0.15349	0.0100727	0.0940014	0.0674052	0.0707693	0.35587	0.918783	2.65458	3	1.891514
29000	-224.5939	-255.9356	31.34171	1000	0.5681398	0.0409693	0.109665	0.127316	0.095722	0.0186185	0.075512	0.0797902	0.0064651	0.00195299	0.0290192	0.111225	0.0073379	0.128364	0.171807	0.0839162	0.0244738	0.120369	0.0697666	0.15112	0.063921	0.0756568	0.0466106	0.294092	0.864152	2.79515	6	1.592987
30000	-237.7821	-264.0658	26.28369	1000	0.8506689	0.0670575	0.0530455	0.527374	0.0353049	0.0883929	0.0273254	0.0995256	0.0359504	0.057796	0.015646	0.189416	0.0316966	0.095845	0.296814	0.0771044	0.0505637	0.0140276	0.072942	0.104461	0.00535325	0.05746	0.106286	0.426761	0.970063	2.49689	6	2.003102
31000	-245.5965	-259.8161	14.2196	10	0.7785231	0.0121984	0.102031	0.178763	0.0410521	0.0451853	0.0228576	0.0281441	0.132432	0.0191882	0.121787	0.106888	0.0094281	0.0371724	0.130292	0.00415544	0.50188	0.0568113	0.301679	0.0297141	0.14698	0.100677	0.0909811	0.398341	0.950822	2.55986	5	2.129316
32000	-246.8744	-256.5637	9.689298	10	0.4717148	0.0580353	0.0504489	0.272238	0.117578	0.00782923	0.00456175	0.100589	0.0640956	0.0324907	0.0457498	0.0417803	0.0467497	0.0297451	0.182673	0.595812	0.323313	0.375433	0.0269119	0.0504204	0.0771399	0.0562955	0.0282728	0.23305	0.798544	2.94013	5	2.55989
33000	-245.5522	-257.0376	11.48539	10	3.524436	0.0049511	0.252839	0.242428	0.0947467	0.0529359	0.0842884	0.0741286	0.132118	0.00892721	0.0053403	0.0777401	0.0616157	0.0538698	0.0159135	0.205554	0.110929	0.219851	0.103618	0.219831	0.0489368	0.039467	0.426162	0.756972	1.08411	1.73275	5	2.11003
34000	-240.8321	-253.4346	12.60245	1	0.1899152	0.112114	0.0131825	0.16983	0.0586302	0.00144037	0.0848387	0.00935709	0.0725889	0.0368887	0.0187296	0.0360025	0.0192055	0.0419215	0.0657631	0.122149	0.635488	0.172971	0.0211286	0.0934938	0.0754486	0.0981217	0.00036813	0.0281677	0.356829	3.61464	3	1.959292
35000	-248.1964	-265.7079	17.51151	2	0.4756634	0.0359239	0.15603	0.192156	0.0167557	0.0129406	0.0743266	0.0557552	0.147983	0.0300603	0.0170759	0.044609	0.0968544	0.1406	0.0122954	0.0487362	0.107303	0.00399475	0.113666	0.0323271	0.102066	0.140826	0.0289707	0.235732	0.80172	2.93358	4	1.582285
36000	-252.6889	-256.8848	4.195893	2	1.020056	0.0121544	0.186954	0.272522	0.168917	0.0442288	0.00411717	0.0138779	0.0542231	0.00365944	0.163626	0.200472	0.0530095	0.11171	0.345401	0.0251755	0.230159	0.282131	0.0724544	0.120786	0.310108	0.19257	0.140938	0.482698	1.00325	2.37312	4	2.868256
37000	-254.8531	-261.2891	6.436036	10	0.8971543	0.227669	0.21265	0.273086	0.0146088	0.0939742	0.16383	0.0513274	0.136065	0.00723914	0.0820238	0.211285	0.0623828	0.115175	0.15881	0.257571	0.195448	0.0658966	0.00803278	0.0578786	0.00220459	0.312333	0.116004	0.443496	0.980624	2.45988	5	2.709492
38000	-253.8506	-260.2945	6.443943	10	0.4888668	0.436489	0.0375726	0.109246	0.173572	0.0362207	0.0133386	0.375475	0.0592461	0.000358003	0.0243932	0.0248242	0.0062189	0.0759669	0.198814	0.117503	0.0267555	0.138034	0.124415	0.604208	0.113036	0.229087	0.0313433	0.244586	0.811996	2.91208	5	2.924774
39000	-237.8501	-263.2664	25.41628	1000	0.5023833	0.0958864	0.180691	0.22937	0.184971	0.0405004	0.0662969	0.0161432	0.0489848	0.00131612	0.00875552	0.111452	0.0326564	0.0597999	0.031278	0.290477	0.0238165	0.120018	0.0248574	0.126604	0.0227697	0.330282	0.0338303	0.253469	0.821995	2.89071	6	2.046926
40000	-248.3817	-259.27	10.88833	10	1.473643	0.0343588	0.12879	0.208441	0.086742	0.0196354	0.0204946	0.094942	0.212709	0.0139967	0.140389	0.137837	0.0735908	0.0932615	0.0417587	0.0279341	0.3152	0.186057	0.212666	0.084711	0.310484	0.0637918	0.221222	0.58411	1.04884	2.14583	5	2.507791
41000	-234.7826	-253.911	19.12833	10	0.475487	0.0568055	0.085686	0.268629	0.0701235	0.00196069	0.050001	0.0190318	0.000944795	0.050408	0.0258744	0.0766135	0.0877659	0.0633756	0.00628033	0.0553201	0.283818	0.00438864	0.102528	0.222763	0.201551	0.0974196	0.0289394	0.235612	0.801579	2.93387	5	1.831289
42000	-240.3092	-252.4288	12.11966	10	0.4590468	0.0450391	0.085187	0.324704	0.193427	0.00206516	0.0781159	0.0134937	0.0938472	0.0172137	0.0161142	0.146855	0.0333851	0.0658131	0.019827	0.0336574	0.116191	0.171463	0.146	0.150732	0.422826	0.20215	0.0260723	0.224342	0.78802	2.96157	5	2.378105
43000	-241.564	-256.4562	14.89219	10	1.149637	0.0367129	0.035681	0.395567	0.101896	0.00670766	0.00016985	0.119854	0.0670102	0.0217711	0.0663088	0.066541	0.0128987	0.101513	0.113674	0.151936	0.166932	0.00695995	0.0800209	0.180029	0.0983347	0.102095	0.165808	0.51753	1.02096	2.2957	5	1.932612
44000	-254.2005	-265.4414	11.24091	1	0.1507491	0.0272047	0.0991214	0.215772	0.00374344	0.00215635	0.0289569	0.0485065	0.00248	0.0476766	0.371637	0.191482	0.0403105	0.575186	0.0388904	0.0390207	0.0964774	0.0457948	0.0970488	0.0384819	0.03243	0.0569858	5.55667e-05	0.011011	0.244085	3.74485	3	2.099363
45000	-240.1786	-257.2164	17.03776	10	0.2400368	0.163899	0.0617462	0.173899	0.032872	0.00273258	0.0800117	0.093342	0.00762531	0.0315743	0.166632	0.0552414	0.0364767	0.253614	0.115331	0.013634	0.206895	0.167096	0.0403923	0.0318596	0.0495245	0.0942229	0.00167949	0.059595	0.479998	3.45873	5	1.878621
46000	-243.6516	-259.074	15.42237	10	0.3490735	0.0669847	0.0664451	0.211714	0.0465121	0.0493671	0.0539533	0.0917323	0.0481598	0.0430093	0.133884	0.0508174	0.0189022	0.424549	0.0204762	0.0576994	0.0831971	0.350888	0.0457563	0.0305533	0.051018	0.0560194	0.0101043	0.142835	0.669724	3.17734	5	2.001637
47000	-242.6674	-255.5715	12.90408	2	0.2453077	0.0332275	0.170014	0.132056	0.147084	0.00739352	0.0272155	0.0911335	0.0941972	0.0359514	0.0102736	0.0496981	0.0931122	0.016051	0.296905	0.0254758	0.0367537	0.150377	0.193189	0.0465766	0.24745	0.051933	0.00190024	0.0633228	0.491485	3.44329	4	1.956067
48000	-253.5777	-266.0102	12.43257	10	2.477923	0.042318	0.262063	0.268098	0.115091	0.017583	0.0232681	0.193585	0.0311843	0.019919	0.0495849	0.0329065	0.0629162	0.0169717	0.135484	0.0716126	0.0995604	0.0343711	0.0623613	0.0636153	0.093985	0.567516	0.344354	0.6978	1.07837	1.87947	5	2.263995
49000	-250.7772	-259.356	8.578822	2	0.6680759	0.0927486	0.103338	0.355276	0.0735715	0.00623779	0.0187286	0.00167327	0.166419	0.000115172	0.339124	0.0166648	0.0302173	0.0152116	0.24226	0.0135526	0.0985539	0.0224948	0.290443	0.0235328	0.353522	0.0926067	0.0673867	0.34807	0.912438	2.67211	4	2.356291
50000	-234.6413	-252.8436	18.2023	10	0.3141259	0.0451614	0.0907928	0.313266	0.0702752	0.0252829	0.0381753	0.0417686	0.0835242	0.00929931	0.0301622	0.0161292	0.0162492	0.0611043	0.121001	0.0503096	0.0618289	0.0440226	0.00936378	0.204416	0.331451	0.0884172	0.00651094	0.115519	0.61878	3.25919	5	1.752
51000	-245.7285	-258.712	12.98353	10	0.3393415	0.0231709	0.125832	0.392095	0.0336217	0.00770298	0.0708455	0.00260632	0.0372871	0.0408842	0.0405191	0.0369757	0.134086	0.27376	0.0445736	0.0698904	0.0522827	0.152528	0.0201593	0.0684313	0.245868	0.217599	0.00902189	0.135248	0.656326	3.1994	5	2.09072
52000	-241.1076	-254.1389	13.0313	2	0.683963	0.0521721	0.132403	0.181451	0.103082	0.013699	0.144518	0.022381	0.157959	0.00658339	0.00070492	0.115912	0.0684865	0.105758	0.189507	0.106598	0.0764511	0.334143	0.0628848	0.10572	0.020553	0.0224129	0.0707666	0.355864	0.918778	2.65459	4	2.023381
53000	-251.0072	-261.1065	10.09929	2	0.6151634	0.0271581	0.144416	0.163142	0.047261	0.0696672	0.0403213	0.104925	0.0373248	0.0267619	0.0903912	0.151841	0.173176	0.0555842	0.102736	0.00420858	0.431245	0.302024	0.0953048	0.101203	0.0835919	0.0485443	0.0562498	0.320596	0.888862	2.73429	4	2.300828
54000	-257.0316	-259.5608	2.529199	2	0.7708091	0.198453	0.000671755	0.365686	0.0565253	0.0729318	0.163964	0.315009	0.151042	0.0300363	0.0990981	0.0177341	0.047807	0.335125	0.153515	0.0427039	0.583746	0.177563	0.0628259	0.138562	0.000895059	0.0262354	0.0893339	0.395111	0.948526	2.56703	4	3.04013
55000	-254.8175	-258.5538	3.736266	2	1.336313	0.142338	0.0789585	0.204029	0.0617157	0.0363248	0.0282201	0.127844	0.110526	0.0572866	0.214702	0.189228	0.0830942	0.49179	0.0844682	0.00450656	0.0599993	0.431842	0.0366076	0.0259974	0.146949	0.193367	0.198893	0.558831	1.03916	2.20311	4	2.809794
56000	-251.6546	-265.8624	14.2078	10	0.6272452	0.14255	0.156432	0.250795	0.010062	0.203477	0.0573256	0.023857	0.1005	0.0246172	0.00354888	0.248929	0.0412736	0.00291494	0.0103159	0.188958	0.0788025	0.0475034	0.0946273	0.303964	0.0414875	0.187163	0.0587716	0.327082	0.894607	2.71954	5	2.219104
57000	-243.7705	-253.7517	9.981187	2	1.890034	0.0120013	0.178548	0.194016	0.145244	0.00949806	0.02376	0.0327684	0.074398	0.00872523	0.00105111	0.0380235	0.0288004	0.0904111	0.244359	0.108123	0.0817262	0.170007	0.369218	0.0958617	0.0770009	0.240042	0.279785	0.642786	1.06698	2.01045	4	2.223582
58000	-248.1594	-254.8061	6.646713	0.2	0.3252849	0.0879854	0.232383	0.32674	0.0922688	0.0415052	0.0591586	0.0439456	0.0185052	0.000577406	0.0456983	0.15615	0.0431103	0.0601864	0.425559	0.0730799	0.0654718	0.00569412	0.106984	0.136188	0.0819918	0.123419	0.00756897	0.124254	0.635921	3.23226	2	2.226603
59000	-242.3021	-260.2038	17.9017	1	0.3141367	0.0712882	0.0810599	0.236089	0.0346781	0.0559307	0.0262372	0.0744456	0.0143467	0.0379452	0.0276699	0.0456429	0.0440738	0.0626741	0.181251	0.0125815	0.0848285	0.0292181	0.196528	0.0688169	0.0168253	0.0148139	0.00651192	0.115528	0.618797	3.25916	3	1.416945
