Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
29000	-123.4158	-140.5708	17.15495	10	1.731941	0.285465	0.0284827	0.185669	0.0778871	0.0248233	0.0658125	0.0341467	0.024996	0.0337611	0.0411519	0.0112817	0.123346	0.0153794	0.0593487	0.367618	0.110922	0.0330718	0.259033	0.623103	1.06157	2.0563	5	1.523163
30000	-127.3052	-136.6692	9.364018	10	0.4222188	0.391325	0.07111	0.282569	0.0478813	0.112987	0.0076068	0.0478853	0.0939057	0.0200177	0.0373276	0.556505	0.0904636	0.410977	0.129564	0.0206084	0.0240041	0.0106715	0.020046	0.19815	0.754246	3.02756	5	2.355409
31000	-111.15	-140.5234	29.37342	1000	0.519225	0.185089	0.00631302	0.200017	3.93119e-05	0.0554566	0.025787	0.0118793	0.028457	0.106171	0.0117816	0.355243	0.0208933	0.0116418	0.0498998	0.0829368	0.283298	0.0766663	0.037004	0.264281	0.833768	2.86495	6	1.511569
32000	-127.3899	-134.0464	6.656457	1	1.869833	0.560683	0.0530976	0.130562	0.0174118	0.118954	0.00719797	0.00147828	0.0121247	0.085534	0.0894826	0.131899	0.0102428	0.60797	0.0219944	0.0758121	0.0256636	0.0688839	0.277225	0.640417	1.06636	2.01599	3	2.018992
33000	-129.7058	-138.1576	8.451828	1	1.221846	0.39381	0.00130773	0.242794	0.137851	0.0920009	0.00145854	0.0105925	0.0530509	0.0865244	0.072714	0.0156926	0.443706	0.0119953	0.206102	0.0185401	0.104886	0.0112275	0.17899	0.534599	1.02885	2.25756	3	1.904254
34000	-105.0577	-139.3159	34.25826	1000	0.2104272	0.0933861	0.0385106	0.0980711	0.00170045	0.0145399	0.0014021	0.00655271	0.0559173	0.0135671	0.0417129	0.211827	0.00733615	0.0438443	0.0305869	0.170739	0.0290587	0.04342	0.000747873	0.0399992	0.41032	3.54893	6	0.9021721
35000	-113.1874	-140.5781	27.39066	1000	0.674937	0.40766	0.0819292	0.0246636	0.048689	0.0360668	0.00024669	0.0193036	0.0442181	0.0891869	0.0802261	0.505802	0.0669694	0.0311744	0.064854	0.0446745	0.217288	0.00694666	0.0688449	0.351461	0.915215	2.66448	6	1.769899
36000	-113.6887	-137.0019	23.31325	1000	0.654053	0.362589	0.0605912	0.020642	0.0217599	0.0519975	0.00859763	0.0239769	0.0831593	0.131012	0.0153184	0.24147	0.0316775	0.000109158	0.0431463	0.0116966	0.260666	0.327309	0.0644144	0.34102	0.906575	2.68799	6	1.695719
37000	-122.1329	-140.3304	18.19751	10	0.7308108	0.24035	0.0447582	0.113052	0.0637439	0.0224636	0.019408	0.0120296	0.0188013	0.023854	0.00967911	0.0333485	0.294088	0.0688188	0.0636424	0.0636321	0.21405	0.0342473	0.0807778	0.377712	0.935772	2.60574	5	1.339967
38000	-126.8859	-146.7445	19.85864	1000	2.245255	0.142429	0.0443335	0.232199	0.112723	0.0796572	0.054171	0.0374919	0.0141781	0.40687	0.0704227	0.0035001	0.226698	0.187251	0.474347	0.0834178	0.0319524	0.023653	0.320893	0.678793	1.07507	1.92525	6	2.225296
39000	-112.5448	-138.4878	25.94307	1000	0.3239944	0.355802	0.0219427	0.0482557	0.0292742	0.0786872	0.0473473	0.00556401	0.137031	0.0236725	0.000991564	0.260394	0.28185	0.0291176	0.0458104	0.0181727	0.354339	0.21304	0.00744226	0.123244	0.633983	3.23533	6	1.951292
40000	-128.0887	-144.6464	16.55772	10	0.6468919	0.265034	0.0489436	0.0836422	0.00580407	0.0275321	0.0251279	0.0383797	0.217153	0.0789012	0.0519672	0.285778	0.0748077	0.0289632	0.011061	0.120426	0.019732	0.0474472	0.0629015	0.337356	0.903478	2.69626	5	1.430699
41000	-133.7664	-143.0001	9.233634	10	1.786797	0.50925	0.0444171	0.0567969	0.113406	0.0573863	0.0448832	0.0485678	0.060345	0.290163	0.0483335	0.00968979	0.104586	0.0210012	0.00181307	0.185074	0.396895	0.0906204	0.266425	0.630241	1.06361	2.03973	5	2.083228
42000	-109.7072	-141.8926	32.18533	1000	0.5217296	0.2261	0.0596588	0.0284445	0.00435436	0.0638951	0.00869625	0.0125252	0.154158	0.00758165	0.031895	0.288923	0.0653021	0.0171803	0.0416762	0.203421	0.00229514	0.0512395	0.0374825	0.265865	0.835457	2.8612	6	1.267346
43000	-117.3244	-136.807	19.48262	10	1.051834	0.276304	0.00761598	0.0219448	0.0747338	0.0964286	0.033511	0.0213957	0.00497727	0.1203	0.0426587	0.070349	0.0964422	0.00115694	0.0765133	0.326454	0.0430169	0.0190845	0.147179	0.491796	1.00808	2.35294	5	1.332887
44000	-123.7851	-137.3652	13.5801	2	0.4067308	0.0193798	0.0306201	0.170022	0.0151976	0.0125951	0.0214008	0.00595661	0.0514432	0.0621484	0.0580622	0.627594	0.0561536	0.0180775	0.391489	0.00243955	0.00826072	0.0220879	0.0176973	0.186766	0.738463	3.05707	4	1.572929
45000	-128.0821	-140.6594	12.57736	10	1.139095	0.248221	0.073568	0.0726003	0.0327256	0.0649045	0.0151462	0.0509629	0.06858	0.273432	0.0204624	0.074968	0.0147657	0.0207065	0.540726	0.00360539	0.0457249	0.158245	0.163842	0.514909	1.0197	2.30155	5	1.779344
46000	-126.556	-135.4209	8.864845	10	1.395379	0.711631	0.0920945	0.297304	0.0312948	0.0557054	0.0342517	0.0111001	0.031166	0.075244	0.0105666	0.10063	0.162664	0.00475144	0.0237775	0.694589	0.00277686	0.0204099	0.208699	0.570162	1.04364	2.1775	5	2.359957
47000	-132.3013	-138.4815	6.180231	10	3.004393	0.544288	0.0353153	0.148243	0.0125885	0.00136077	0.0569128	0.00749142	0.0411845	0.163408	0.00485897	0.173086	0.0941029	0.461969	0.0505367	0.271868	0.228934	0.0355976	0.389601	0.731771	1.08254	1.79609	5	2.331744
