Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
30000	-731.5951	-764.9483	33.35317	10	0.2734845	0.15324	0.0263106	0.0285745	0.188718	0.032708	0.0366937	0.0596062	2.19609e-05	0.00122396	0.0210888	0.0298362	0.0346723	0.199186	0.34804	0.0285191	0.277937	0.141234	0.000668936	0.00161377	0.0390362	0.400389	0.00339134	0.0840994	0.548467	3.36404	5	2.049319
31000	-731.6019	-767.6572	36.05528	10	0.3393928	0.252359	0.0320379	0.0585581	0.0123264	0.00968321	0.102557	0.0330561	0.00998829	0.00146715	0.0308111	0.050799	0.0275909	0.0146643	0.205451	0.315903	0.206236	0.493266	0.0179932	0.00647665	0.0196631	0.029001	0.00902743	0.135288	0.656398	3.19929	5	1.929888
32000	-741.8281	-772.9928	31.16466	10	0.1965574	0.134319	0.0423848	0.00518736	0.130731	0.129592	0.0708215	0.0155556	0.0127964	0.00178077	0.0261787	0.0401243	0.0274694	0.00418918	0.196828	0.338552	0.279741	0.2742	0.219077	0.00405824	0.0525998	0.00194448	0.000470689	0.0318133	0.374613	3.5931	5	2.00813
33000	-729.272	-765.1481	35.87606	10	0.4055605	0.195292	0.0285673	0.0197255	0.0742555	0.0670791	0.045394	0.031646	0.00141034	0.00251287	0.0382895	0.0281187	0.0201927	0.00936516	0.386227	0.233914	0.137925	0.100794	0.224096	0.000242093	0.00151833	0.027254	0.0175247	0.185898	0.737228	3.05935	5	1.67382
34000	-747.9982	-774.0927	26.09447	10	0.4963007	0.275864	0.0398898	0.0863102	0.335779	0.0246157	0.207343	0.0501561	0.00391268	0.00381468	0.0320131	0.0588398	0.0446973	0.00364866	0.419913	0.155553	0.111928	0.53343	0.0128991	0.098414	0.0267435	3.49218e-05	0.0327042	0.249494	0.817558	2.90024	5	2.5258
35000	-734.7253	-768.1506	33.42527	10	0.1704233	0.155219	0.00515979	0.0712419	0.0399556	0.00401627	0.0215948	0.00984439	0.000523833	0.000110475	0.0297939	0.0284212	0.0203176	0.15669	0.293897	0.381504	0.0791169	0.290997	0.00409662	0.0126957	0.014997	0.0107377	0.000160183	0.0186406	0.302236	3.67896	5	1.630931
36000	-737.3148	-766.0132	28.6984	10	0.255685	0.192801	0.0976592	0.0256927	0.0655623	0.00297232	0.196927	0.0336468	0.00113589	0.0143837	0.0463001	0.0131505	0.0384277	0.024574	0.263926	0.279341	0.169627	0.736932	0.00801898	0.0209608	0.036695	0.00110278	0.00238737	0.0708252	0.513322	3.41347	5	2.269838
37000	-746.989	-768.5132	21.52417	10	0.4810842	0.327	0.0723404	0.0251716	0.046469	0.0462393	0.0211907	0.0280266	0.0243957	8.59389e-05	0.0297356	0.0130833	0.00426839	0.0293515	0.351063	0.370327	0.422713	0.546157	0.0193575	0.00651037	0.312004	0.0439518	0.0299376	0.239388	0.806001	2.92467	5	2.739442
38000	-750.5817	-770.0863	19.50467	10	0.2118403	0.211161	0.0154774	0.0462046	0.136238	0.0550162	0.0564636	0.0258225	0.000242806	0.00710554	0.0206137	0.0346153	0.0433017	0.00749802	1.06312	0.526871	0.256566	0.0536898	0.0239504	0.24485	0.0332163	0.046232	0.000781328	0.0408732	0.413848	3.5445	5	2.908255
39000	-744.3224	-766.6497	22.32728	10	0.6101237	0.257397	0.00258648	0.179022	0.154991	0.0651963	0.277358	0.0360359	0.00344327	0.00261889	0.0378799	0.0678529	0.0227983	0.0453793	0.022058	0.871405	0.158514	0.588315	0.0141185	0.0174607	0.0268007	0.234602	0.0552026	0.317853	0.886397	2.74055	5	3.085834
40000	-737.9415	-767.0565	29.11498	10	0.3252102	0.21803	0.0452308	0.0211926	0.064624	0.0642323	0.0115299	0.0445207	0.00108092	0.00472214	0.0274502	0.0258961	0.0387	0.012696	0.00853348	0.313134	0.29218	0.182673	0.00759539	0.0061457	0.217084	0.369881	0.0075616	0.124195	0.635809	3.23243	5	1.977132
41000	-745.5554	-771.3965	25.84108	10	0.3110473	0.210061	0.00687863	0.0116128	0.0373823	0.109466	0.1633	0.0570928	0.00933261	0.00651762	0.0372815	0.041868	0.0328873	0.0354067	0.00658739	0.288694	0.270452	0.797922	0.0314701	0.156976	0.0108799	0.138901	0.00623416	0.113112	0.613897	3.26676	5	2.46097
42000	-736.7094	-766.7548	30.0454	10	0.8385563	0.247345	0.005759	0.0490918	0.0135848	0.0558431	0.0618001	0.0262568	0.0127927	0.00365408	0.0618124	0.038506	0.016592	0.00668243	0.0234273	0.208161	0.309435	0.493827	0.0296362	0.0126903	0.225859	0.285197	0.103733	0.422206	0.967091	2.50697	5	2.187953
43000	-737.8926	-763.5697	25.67716	10	0.1611171	0.23856	0.0253494	0.00858816	0.0863693	0.188734	0.0105592	0.0103249	0.00708678	0.0111076	0.0194675	0.0162056	0.019048	0.00571965	0.00769682	0.531477	0.423605	0.619061	0.0348825	0.00457306	0.225696	0.125702	0.000100265	0.0147689	0.275045	3.71009	5	2.619813
44000	-730.8587	-770.1191	39.26045	10	0.1766907	0.142607	0.0154359	0.00693811	0.0795108	0.0549162	0.0878643	0.00721901	0.000420657	0.00190962	0.00793863	0.016833	0.0358482	0.0260841	0.00495526	0.21451	0.0937749	0.452235	0.0297712	0.0158998	0.021232	0.110171	0.000213567	0.0215023	0.320161	3.65812	5	1.426074
