Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
27000	-185.8892	-219.3323	33.44304	10	0.9409578	0.0143999	0.00675543	0.0438285	0.0190527	0.149497	0.0245865	0.0104173	0.0509289	0.0120073	0.0250306	0.0108749	0.00371052	0.14434	0.00227718	0.0611675	0.164313	0.00607049	0.0726705	0.108597	0.0868739	0.722206	0.125028	0.458256	0.989484	2.42723	5	1.739606
28000	-180.497	-217.688	37.19104	10	1.493972	0.0561814	0.00361491	0.00674771	0.00226299	0.105499	0.0370843	0.0160136	0.00820649	0.0187008	0.00861048	0.000140789	0.00411242	0.0787584	0.0301843	0.0972433	0.150294	0.0866736	0.0161869	0.0504145	0.0917175	0.0475391	0.22439	0.58755	1.05007	2.13799	5	0.9161864
29000	-179.2073	-221.5545	42.34721	10	0.4522208	0.0135606	0.00335313	0.0116512	0.0137889	0.141717	0.0247723	0.00327272	0.0887945	0.0402637	0.00537727	0.0117233	0.019947	0.0769476	0.230478	0.0639836	0.0213604	0.09519	0.0795023	0.0615948	0.020835	0.0214735	0.0249121	0.219585	0.782129	2.97337	5	1.049587
30000	-192.8713	-224.2229	31.35155	10	2.8668	0.029492	0.0489955	0.0929556	0.0898078	0.256328	0.0337377	0.0132638	0.0872576	0.0041749	0.0242478	0.00888385	0.0119057	0.0457253	0.0553333	0.0972807	0.0198035	0.0943696	0.0939496	0.168286	0.475286	0.025519	0.378687	0.723876	1.08177	1.81566	5	1.776603
31000	-193.6086	-222.1795	28.57088	10	1.160702	0.0162114	0.0112561	0.124854	0.016047	0.0611192	0.0400189	0.00280187	0.143427	0.0330548	0.0087409	0.00710112	0.0159913	0.0637033	0.0473028	0.092751	0.0669642	0.152328	0.477686	0.0526279	0.161838	0.151427	0.167859	0.520245	1.02225	2.28965	5	1.747251
32000	-186.0527	-224.3513	38.29856	10	2.040147	0.0316586	0.0103222	0.0257686	0.00176954	0.0895809	0.0414502	0.00316757	0.133385	0.0318519	0.0209822	0.00119952	0.00680363	0.0441419	0.032415	0.079864	0.110951	0.0332821	0.559279	0.0780761	0.0129877	0.0546106	0.29802	0.659216	1.07096	1.9718	5	1.403547
33000	-195.4993	-224.2804	28.78111	2	0.8018425	0.0192748	0.0395987	0.00982499	0.158048	0.067655	0.0419708	0.000564452	0.0231037	0.0180382	0.0165945	0.00765081	0.00116482	0.073653	0.117001	0.281463	0.0263237	0.152826	0.0646159	0.0675887	0.016497	0.0501403	0.0959508	0.407875	0.957464	2.53871	4	1.253598
34000	-182.9279	-221.576	38.6481	10	1.341856	0.0285186	0.0258976	0.00118068	0.016149	0.0633619	0.0287544	0.0183369	0.142226	0.0121464	0.00924832	0.00424513	0.00356447	0.0280918	0.151822	0.557227	0.137384	0.0153556	0.00915895	0.0690975	0.0146807	0.170386	0.199827	0.559926	1.03961	2.20064	5	1.506833
35000	-182.887	-221.5338	38.64684	10	1.536218	0.0402192	0.00490031	0.0413701	0.0134255	0.116069	0.0544307	0.0288307	0.0353589	0.0111845	0.0185243	0.000728009	0.00731693	0.102621	0.0889503	0.0858024	0.0646255	0.0788424	0.200046	0.0698317	0.0438667	0.07854	0.230864	0.594476	1.05248	2.12218	5	1.185485
36000	-194.6965	-221.869	27.17248	2	1.143415	0.0131549	0.00141497	0.00423769	0.0294546	0.114518	0.0243191	0.00785782	0.0435363	0.0923753	0.00406355	0.0136597	0.00234579	0.0659294	0.0934554	0.0180732	0.00996699	0.0329028	0.412292	0.09424	0.114442	0.0657331	0.164649	0.515987	1.02022	2.29914	4	1.257972
37000	-195.1686	-224.0852	28.91661	10	1.806122	0.0184836	0.0018524	0.0386997	0.0201982	0.0371053	0.0512713	0.0800232	0.107081	0.0526484	0.00423489	0.0169551	0.0209279	0.0333326	0.0916117	0.435723	0.0481698	0.162732	0.173962	0.0743826	0.0430433	0.126309	0.268979	0.632675	1.06428	2.03406	5	1.638748
38000	-198.5313	-222.0847	23.55335	2	3.752807	0.0241622	0.0050649	0.00922227	0.0810203	0.1241	0.0158487	0.020243	0.069329	0.0378764	0.0163304	0.0123974	0.00546058	0.0370072	0.0546171	0.23361	0.0782521	0.0410489	0.0941324	0.0773478	0.110773	0.0871805	0.440245	0.766202	1.08435	1.7092	4	1.235024
39000	-188.4752	-221.0431	32.56788	10	2.944233	0.0405057	0.00448007	0.00498372	0.173749	0.142934	0.010215	0.0301114	0.0160064	0.0218983	0.00767854	7.45551e-06	0.0121644	0.0490451	0.0544169	0.477564	0.175702	0.0455671	0.146447	0.107589	0.132533	0.0987593	0.384901	0.728393	1.08223	1.80448	5	1.752357
