Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
25000	-445.1035	-459.578	14.47452	10	1.029193	0.0512189	0.0143941	0.0642644	0.112401	0.0297274	0.0567044	0.0294476	0.0269688	0.0232977	0.114576	0.00630714	0.00406685	0.0536493	0.0552007	0.0091464	0.0437227	0.217494	0.0213374	0.0367577	0.0326746	0.14784	0.128136	0.0174054	0.0483724	0.0824034	0.00226934	0.157689	0.0113105	0.0479983	0.0400355	0.0277602	0.234813	0.0397084	0.0687053	0.227416	0.0370804	0.143792	0.4468	0.0177881	0.537021	0.0354379	0.142742	0.485354	1.00467	2.36723	5	3.503138
26000	-441.5434	-472.4486	30.90524	1000	0.8825911	0.00902855	0.0329256	0.0327251	0.0196412	0.247772	0.123478	0.14779	0.077875	0.13575	0.0830621	0.00378269	0.00880993	0.186898	0.0762788	0.0557511	0.0434041	0.108483	0.00915292	0.00659167	0.00560589	0.117663	0.114733	0.0169098	0.0111554	0.0493285	0.0962868	0.0291533	0.0701787	0.0682463	0.040208	0.0104305	0.00981262	0.0178871	0.0256064	0.0407958	0.0365147	0.0376239	0.409513	0.0456203	0.115694	0.264283	0.112974	0.438377	0.977452	2.4712	6	3.042449
27000	-454.13	-462.8701	8.740046	2	1.971717	0.0502476	0.0163394	0.00581097	0.0570103	0.0430745	0.149359	0.00567627	0.0343529	0.0138552	0.0936516	0.204237	0.00121417	0.100275	1.47911e-05	0.0430393	0.0189117	0.18232	0.00696864	0.0628664	0.0905819	0.0509051	0.0317705	0.146049	0.00996823	0.0814762	0.112221	0.0209579	0.0683538	0.0116039	0.00102636	0.177993	0.0478085	0.0819816	0.208106	0.0626574	0.0286573	0.179704	0.539017	0.463665	0.0199151	0.0722299	0.289875	0.651972	1.06927	1.98889	4	3.595872
28000	-441.6253	-454.6952	13.06986	10	1.695861	0.0205233	0.0180321	0.0207424	0.159349	0.0142617	0.077633	0.0711905	0.00878691	0.0361347	0.0569629	0.0456361	0.0126106	0.140518	0.0826713	0.0332884	0.0579377	0.191952	0.00653771	0.0702033	0.0235244	0.0169723	0.267834	0.214972	0.237714	0.00275252	0.0458575	0.0835526	0.085455	0.565218	0.0616115	0.013784	0.108177	0.0247524	0.0684373	0.427338	0.141084	0.0112711	0.00194263	0.0308638	0.0653406	0.00209784	0.254056	0.618213	1.06012	2.06761	5	3.625525
29000	-458.3427	-465.0961	6.753401	2	1.62537	0.0332095	0.0574108	0.0858081	0.0160705	0.193537	0.0244848	0.154058	0.0655532	0.0365086	0.104497	0.125706	0.00951385	0.187589	0.016318	0.000550398	0.0664435	0.0669749	0.0352126	0.0353606	0.0041605	0.0142824	0.119306	0.0185096	0.0183378	0.155719	0.00597649	0.000523886	0.615557	0.0196958	0.316303	0.1219	0.0724924	0.0860373	0.0445431	0.257535	0.239818	0.00954728	0.0423275	0.0880545	0.10445	0.181307	0.244056	0.608176	1.05701	2.09076	4	3.85119
30000	-439.5137	-458.9811	19.46741	10	0.907103	0.0348091	0.1156	0.104395	0.0868324	0.000949218	0.0600866	0.0666269	0.0490363	0.0153253	0.0461721	0.0918656	0.011472	0.0776835	0.232424	0.0161609	0.041531	0.0350067	0.000728526	0.012335	0.00560768	0.021826	0.0886738	0.0972672	0.0316923	0.0242095	0.00789108	0.103929	0.0166203	0.00176993	0.358794	0.526459	0.02935	0.05668	0.0492185	0.0220756	0.0247371	0.0748353	0.0907167	0.075297	0.00632256	0.0857393	0.118066	0.446931	0.982724	2.45228	5	2.898753
31000	-435.9349	-448.5956	12.66077	10	1.709435	0.0412178	0.0286831	0.0273575	0.0808698	0.0102777	0.0948349	0.057634	0.0657148	0.00463619	0.0825406	0.0929512	0.0068846	0.0137895	0.0133035	0.0184474	0.0478904	0.0587699	0.00211955	0.00867587	0.0120137	0.225688	0.0733348	0.0324866	0.0769274	0.00378649	0.262544	0.00092504	0.0707349	0.0814159	0.482387	0.0172624	0.0623944	0.019526	0.746749	0.0066029	0.0710755	0.0208615	0.0172738	0.0371644	0.225841	0.119256	0.255939	0.620071	1.06067	2.06332	5	3.42285
32000	-458.3717	-464.7202	6.348495	10	3.290955	0.01724	0.134334	0.0166064	0.250333	0.242838	0.0250623	0.059419	0.0648374	0.0314144	0.133896	0.17641	0.0109438	0.0336499	0.00454784	0.030362	0.0391376	0.0807668	0.0133859	0.00390671	0.00833182	0.0379687	0.051218	0.126206	0.127004	0.100667	0.216343	0.0532366	0.0679354	0.0976745	0.219477	0.0600891	0.0461414	0.102272	0.0128887	0.0826334	0.0693466	0.254728	0.528729	0.0924807	0.103727	0.02096	0.410589	0.746463	1.08362	1.75933	5	3.849149
33000	-444.4532	-464.9722	20.51895	1000	3.866881	0.0272025	0.0472325	0.0984945	0.0175525	0.151886	0.0369748	0.187311	0.0757506	0.0358368	0.20903	0.102599	0.0268474	0.170123	0.0226554	0.023905	0.0178864	0.0447747	0.0761454	0.0294463	0.19254	0.0556444	0.196776	0.0247641	0.0114568	0.0620984	0.0602089	0.0901922	0.0791293	0.132101	0.276839	0.0617476	0.0157415	0.311917	0.0217133	0.0630283	0.15383	0.0469697	0.0830906	0.0306933	0.079236	0.080133	0.446896	0.770476	1.0844	1.69823	6	3.531505
34000	-458.1239	-467.0383	8.914384	10	3.225218	0.00644513	0.0662968	0.034137	0.123211	0.168837	0.164768	0.0544122	0.0268301	0.069806	0.155951	0.00429487	0.000885885	0.313099	0.0521182	0.0301787	0.0818231	0.0298262	0.167286	0.03287	0.0045981	0.00856227	0.10954	0.00317774	0.0858789	0.0438927	0.11835	0.043761	0.17866	0.135176	0.196057	0.0339325	0.259276	0.108874	0.00485024	0.0375192	0.210438	0.0995541	0.0996915	0.026106	0.142238	0.327342	0.405968	0.743282	1.08342	1.76733	5	3.860555
