Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
24000	-419.1103	-560.5166	141.4063	10	0.2165892	0.232523	0.0543508	0.0384849	0.0114713	0.137324	0.0186238	0.00616246	0.0259265	0.150553	0.666266	0.0965982	0.0549524	0.0219756	0.0065365	0.23683	0.0488547	0.344982	0.014048	0.0503249	0.0841122	0.0127137	0.0157555	0.196667	0.243651	0.0325182	0.02541	0.0890106	0.000901329	0.0438603	0.425553	3.52968	5	2.916626
25000	-433.1584	-570.7808	137.6224	10	0.3011697	0.0329405	0.0587811	0.114236	0.00668018	0.110836	0.0741216	0.0295556	0.00992853	0.0625497	0.626422	0.030279	0.0540367	0.0342499	0.0059441	0.0787387	0.198758	0.0939083	0.0157248	0.041742	0.358467	0.0066777	0.106703	0.0653557	0.121677	0.0170205	0.0617393	0.030504	0.00539067	0.105405	0.597762	3.29144	5	2.447575
26000	-445.222	-564.2773	119.0553	10	0.9279032	0.109289	0.0281177	0.090635	0.206055	0.24069	0.196322	0.0322802	0.0288234	0.125129	1.16177	0.10853	0.0580628	0.0483496	0.0382985	0.154208	0.0703202	0.0184343	0.123954	0.613941	0.0672252	0.0775878	0.0971373	0.0833028	0.0508705	0.164148	0.00555602	0.000272151	0.122354	0.453955	0.986945	2.43675	5	3.99931
27000	-428.857	-562.422	133.565	10	0.2843753	0.158379	0.00369411	0.0645317	0.128866	0.128757	0.0539101	0.0251565	0.0198826	0.0447374	0.584049	0.151212	0.00320269	0.0051911	0.00184671	0.132771	0.0257063	0.0418601	0.0455718	0.0199758	0.100952	0.0346596	0.676428	0.00326114	0.171222	0.00475263	0.0762883	0.122874	0.00411365	0.0924094	0.568605	3.33487	5	2.829737
28000	-419.1866	-559.5378	140.3511	10	0.2231134	0.000596133	0.000841224	0.0392994	0.0242772	0.124491	0.0303838	0.0198478	0.01819	0.0800035	0.652748	0.0853262	0.0587123	0.0131003	0.0170541	0.0893144	0.0264106	0.0139691	0.0813323	0.0320288	0.00325746	0.00139868	0.298069	0.0463459	0.223905	0.00328441	0.0689633	0.124298	0.00108595	0.0480827	0.44126	3.50957	5	2.177449
29000	-425.9259	-559.268	133.3421	10	0.3705045	0.012692	0.0806737	0.114703	0.0478431	0.0503942	0.0683404	0.021147	0.0643968	0.148491	0.982568	0.111591	0.00151283	0.00946729	0.0130448	0.348029	0.245425	0.27379	0.0909251	0.0410314	0.0249534	0.176801	0.37628	0.101783	0.0785536	0.0154964	0.0203526	0.0230534	0.0126993	0.159404	0.697283	3.13061	5	3.543339
30000	-426.9451	-562.0585	135.1134	10	0.4044817	0.0797763	0.0804918	0.0292137	0.0660139	0.128878	0.0221317	0.0112657	0.00967344	0.150756	0.562943	0.0954334	0.0283584	0.0197171	0.0325231	0.207672	0.225554	0.017737	0.136664	0.0178845	0.0326587	0.1076	0.444142	0.0701798	0.0658081	0.00263461	0.043637	0.0280516	0.0173662	0.185096	0.736085	3.06145	5	2.717399
31000	-448.914	-565.942	117.028	10	0.6734567	0.239565	0.0391478	0.0682897	0.0966259	0.0936976	0.151847	0.0335472	0.0722215	0.322836	1.40054	0.105394	0.026704	0.112642	0.0201752	0.0665871	0.0562803	0.0355866	0.0492676	0.00429104	0.457243	0.276109	0.0372744	0.184024	0.209836	0.0621572	0.0216597	0.0305888	0.0685301	0.350732	0.914621	2.66612	5	4.274137
32000	-419.9913	-561.8623	141.871	10	0.2356493	0.136135	0.0249345	0.0511001	0.0461513	0.144636	0.120241	0.00218726	0.013469	0.141236	0.46035	0.0955146	0.00760906	0.00738833	0.0485736	0.226882	0.0340714	0.162397	0.0513138	0.0714263	0.677022	0.126211	0.0125382	0.0259816	0.0241026	0.222117	0.0155725	0.100457	0.00150904	0.05654	0.470229	3.47172	5	3.049616
33000	-411.59	-553.5307	141.9408	10	0.4254486	0.00776792	0.0300005	0.0396796	0.0392878	0.376937	0.06387	0.0162213	0.00459516	0.310911	0.694804	0.162537	0.00170546	0.0226192	0.00756895	0.172386	0.08006	0.00838827	0.134006	0.120721	0.553538	0.0400242	0.0677646	0.0687786	0.102108	0.0457476	0.19565	0.0950551	0.0205504	0.200497	0.757413	3.02154	5	3.462732
