Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
28000	-26.48783	-110.3215	83.8337	10	0.05525121	0.00898332	0.0322066	0.046522	0.0560329	0.0521501	0.0437611	0.00509818	0.00907747	0.0363071	0.00528775	0.00468256	0.00203053	0.0668632	0.174741	0.0581173	0.308655	0.0226879	0.0198869	0.0709354	7.05361e-12	3.96121e-06	0.00915197	3.99084	5	1.024026
29000	-36.90373	-109.2964	72.39266	10	0.8800622	0.113282	0.15162	0.119838	0.301009	4.44892e-06	0.0234029	0.0111106	0.119212	0.0355155	0.0496698	0.13243	0.197634	0.179916	0.0366452	0.348729	0.300322	0.0610193	0.0061003	0.115038	0.112447	0.437477	0.976889	2.47319	5	2.302497
30000	-42.70084	-117.5129	74.81205	10	1.498599	0.037011	0.127731	0.0737286	0.084302	0.132615	0.251481	0.0589743	0.00815443	0.0761685	0.0123198	0.120629	0.0022087	0.125397	0.0239787	0.275085	0.233131	0.0692021	0.154632	0.0479857	0.225106	0.588323	1.05034	2.13623	5	1.914735
31000	-32.25354	-109.2035	76.94999	10	1.798433	0.143306	0.0285287	0.125367	0.103588	0.0480156	0.275221	0.0233961	0.0236513	0.063847	0.0668952	0.0754519	0.027851	0.075958	0.0256565	0.135243	0.305037	0.121628	0.26517	0.0968619	0.267966	0.631712	1.06402	2.0363	5	2.030675
32000	-28.48573	-109.6603	81.17458	10	0.9371959	0.0898775	0.00882331	0.0650369	0.128551	0.00168113	0.0192274	0.00155828	0.111252	0.00278431	0.00657781	0.124413	0.0951423	0.115171	0.101604	0.124331	0.0074598	0.0979465	0.269763	0.0178622	0.124259	0.457025	0.988761	2.42996	5	1.389063
33000	-32.15805	-108.4397	76.28164	10	1.995222	0.152719	0.0167856	0.070243	0.030021	0.00559151	0.204308	0.0626322	0.00675252	0.0253692	0.0584714	0.0375045	0.00441291	0.0678322	0.0199282	0.317958	0.24292	0.0944145	0.186504	0.036341	0.292704	0.654505	1.06987	1.98292	5	1.640709
34000	-22.05577	-108.6071	86.55138	10	1.068345	0.386411	0.0758326	0.045367	0.070606	0.00591923	0.114104	0.00257343	0.00732313	0.00777874	0.0211604	0.080256	0.122813	0.0621807	0.111347	0.191552	0.180024	0.21617	0.0395325	0.0613152	0.150385	0.496373	1.01046	2.34278	5	1.802266
35000	-39.13398	-105.2141	66.0801	10	0.8425383	0.14405	0.00184228	0.0402502	0.15823	0.0328464	0.0515238	0.0935349	0.0140219	0.084227	0.0466175	0.020039	0.379299	0.104582	0.392821	0.424316	0.109809	0.102003	0.296088	0.0509568	0.104573	0.423713	0.968079	2.50364	5	2.547059
36000	-33.64706	-109.1711	75.52401	10	0.3753241	0.145134	0.0326349	0.162749	0.0662504	0.00658902	0.0245184	0.0409284	0.0305868	0.0169982	0.0457572	0.111207	0.341475	0.418664	0.01398	0.0127729	0.0404766	0.122791	0.267509	0.319845	0.0133214	0.163097	0.703135	3.12045	5	2.220866
37000	-38.4756	-105.6263	67.15069	10	0.1189307	0.113308	0.00395336	0.153058	0.576308	0.0479291	0.0136999	0.0051922	0.0403267	0.00430531	0.0132217	0.0202809	0.800096	0.0100597	0.0221829	0.142093	0.114324	0.0629661	0.125528	0.0045407	4.76916e-06	0.00323848	0.14773	3.84903	5	2.273375
