Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-359.5474	-386.2716	26.72416	10	1.536843	0.0407605	0.0230088	0.0411832	0.00358944	0.000124089	0.187224	0.279985	0.0799204	0.00555312	0.0432605	0.0145137	0.0553852	0.042043	0.00593961	0.00673255	0.00893755	0.0744712	0.0210434	0.0709986	0.103432	0.00209198	0.0381791	0.137301	0.0707198	0.171388	0.0119747	0.0374902	0.113077	0.0036315	0.0684427	0.00250238	0.129727	0.0316083	0.0889591	0.953598	0.0387763	0.0369332	0.230958	0.594576	1.05251	2.12195	5	3.044507
21000	-378.1477	-398.4165	20.26886	2	0.8171516	0.0425183	0.0145323	0.0932087	0.00892144	0.0875175	0.0467916	0.0241972	0.0691807	0.0462453	0.0189862	0.023015	0.0839586	0.012013	0.0323451	0.156185	0.0119522	0.0282246	0.135122	0.0295104	0.0860271	0.0176594	0.0102882	0.181484	0.0541443	0.0054133	0.0023355	0.102707	0.0650862	0.0376564	0.10747	0.303227	0.0163669	0.0701537	0.00949594	1.03254	0.0121834	0.223899	0.0992029	0.413949	0.961596	2.52525	4	3.302564
22000	-351.8067	-385.4269	33.6202	10	0.8848007	0.00706961	0.039299	0.0519511	0.0445485	0.130208	0.00878051	0.172151	0.00102558	0.0384852	0.0027331	0.0250504	0.127245	0.00423962	0.00194559	0.000551137	0.00230269	0.0375674	0.0199635	0.122059	0.0122003	0.0501585	0.0464848	0.0567855	0.0382094	0.00452825	0.0883297	0.0554639	0.0400152	0.000798993	0.077203	0.0398979	0.000689405	0.123512	0.189657	1.07999	0.0479533	0.0529154	0.113435	0.439161	0.977941	2.46946	5	2.841968
23000	-355.7063	-382.8108	27.10443	10	0.5836714	0.0119301	0.0114071	0.014918	0.0292159	0.0232058	0.118777	0.0243253	0.0424215	0.00413047	0.0389605	0.0216898	0.141968	0.00345655	0.0222556	0.0152311	0.000524226	0.0550856	0.0658919	0.022547	0.143331	0.317082	0.0165556	0.0100463	0.194262	0.0511985	0.143582	0.0645651	0.112361	0.00435413	0.0151259	0.0175153	0.0387186	0.00319945	0.00640569	0.0418667	1.41659	0.0894889	0.0497587	0.303073	0.872754	2.77441	5	3.354189
24000	-345.4694	-383.8351	38.36573	10	0.5229044	0.0406342	0.0444332	0.0661243	0.00817675	0.0675909	0.0496743	0.0376741	0.00143002	0.0242727	0.0106899	0.0154605	0.0186763	0.0503454	0.00505407	0.0110204	0.00215502	0.0156926	0.0391792	0.0302553	0.0465239	0.0119874	0.101782	0.0408078	0.0610361	0.0149469	0.052545	0.0108449	0.0244398	0.0465268	0.124377	0.109918	0.0147028	0.0121537	0.0025694	0.111351	1.00251	0.0714427	0.0377075	0.266606	0.836244	2.85944	5	2.399001
25000	-359.6315	-389.0484	29.41687	10	1.055461	0.00562134	0.0243824	0.0315851	0.0489941	0.078042	0.0548808	0.177618	0.0354887	0.00727631	0.0133268	0.0161695	0.0354717	0.0484914	0.00229314	0.000880307	0.0161738	0.00448234	0.0148119	0.0572302	0.162429	0.0412019	0.0427271	0.00144239	0.139019	0.0265493	0.0304422	0.0401195	0.0632904	0.0589947	0.0716748	0.240504	0.0253392	0.0195005	0.115355	0.0430935	0.818179	0.150487	0.147885	0.49281	1.00861	2.35069	5	2.763567
26000	-379.6859	-398.5807	18.89478	2	0.5112904	0.0179042	0.0254385	0.0273375	0.133532	0.0482399	0.0144744	0.279374	0.0349763	0.0156992	0.0843884	0.018186	0.0153001	0.0520879	0.0233996	0.0195798	0.00245866	0.109267	0.0950791	0.211009	0.0683246	0.0259595	0.016713	0.0513752	0.0418193	0.291086	0.0126375	0.145153	0.125539	0.0717584	0.0614658	0.0489865	0.240552	0.078857	0.0776833	0.0483093	0.852553	0.0592107	0.035499	0.259223	0.828313	2.87697	4	3.545714
27000	-345.0982	-387.262	42.16374	10	0.7305103	0.00141165	0.0109952	0.117455	0.0435492	0.0317451	0.058702	0.0490293	0.0207377	0.0193682	0.0155086	0.00475709	0.0100226	0.00821749	0.0026164	0.0199729	0.00335707	0.0291448	0.021945	0.0228552	0.0778026	0.0203288	0.0519309	0.0226229	0.133639	0.0957171	0.0264984	0.00741662	0.00391567	0.0855105	0.176338	0.176413	0.0838274	0.0117597	0.0177196	0.00546254	0.76125	0.0260905	0.0807135	0.377577	0.93567	2.60604	5	2.275633
28000	-362.523	-388.6081	26.0851	10	3.268558	0.0116312	0.0166242	0.0755681	0.00945185	0.0368412	0.0212051	0.0593151	0.0293635	0.00255871	0.0378338	0.0113352	0.123559	0.0153477	0.00899143	0.0357415	0.00676301	0.0105775	0.0110559	0.0672841	0.0990997	0.0299792	0.0497715	0.0763974	0.129297	0.0579838	0.0850919	0.0821189	0.285446	0.0827028	0.138697	0.0831362	0.0577672	0.0673102	0.0710306	0.030913	1.01252	0.149182	0.409027	0.745391	1.08356	1.76203	5	3.179489
29000	-349.3025	-381.9759	32.6734	10	1.435802	0.02155	0.0131143	0.0125382	0.0217945	0.0393943	0.0200757	0.0281385	0.00156985	0.0699379	0.0205025	0.00808935	0.000338897	0.00864031	0.00210547	0.0351052	0.0225927	0.042269	0.18794	0.0890443	0.209541	0.00785616	0.178294	0.103323	0.203867	0.0678354	0.162556	0.0372588	0.122282	0.082866	0.081205	0.01522	0.140338	0.0429933	0.0267341	0.12125	0.72724	0.0555504	0.215233	0.57751	1.04642	2.16084	5	3.030952
