Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
32000	-55.92199	-82.9033	26.9813	1	2.571419	0.194147	0.251971	0.0196376	0.0285489	0.00902235	0.00747185	0.016183	0.0035914	0.000874512	0.0072821	0.101596	0.0856766	0.0612825	0.0258714	0.0513098	0.264512	0.00105558	0.353125	0.704649	1.07939	1.86283	3	1.130034
33000	-67.63568	-86.7593	19.12362	2	1.238307	0.585494	0.572333	0.0290505	0.0211685	0.00593826	0.0888922	0.0397097	0.0368905	0.0400222	0.023436	0.0438242	0.104629	0.000792898	0.00711605	0.0612821	0.0332301	0.334556	0.181926	0.538286	1.03048	2.2493	4	2.028366
34000	-43.91437	-82.46259	38.54822	10	2.849614	0.175906	0.0813733	0.00401486	0.0125219	0.016106	0.0288422	0.0172316	0.00173089	0.011325	0.00210336	0.0376122	0.0956878	0.0995278	0.0174892	0.403033	0.167142	0.0729625	0.377282	0.722846	1.08167	1.81821	5	1.244609
35000	-57.65231	-87.48341	29.8311	2	1.955202	0.384735	0.117779	0.0164028	0.0112729	0.0340067	0.0739624	0.00761209	0.0133722	0.0470031	0.00116708	0.0214743	0.132521	0.000141418	0.0557653	0.219098	0.0287798	0.0690285	0.287868	0.650164	1.06883	1.99314	4	1.234122
36000	-57.17496	-86.25757	29.08261	1	1.692328	0.237569	0.0419045	0.0116114	0.0464287	0.000911515	0.0180787	0.037802	0.0133897	0.0214653	0.0157141	0.131056	0.0254308	0.0167226	0.170274	0.0187549	0.0365502	0.164149	0.253563	0.617725	1.05997	2.06874	3	1.007813
37000	-55.21163	-84.44397	29.23234	2	2.909266	0.338801	0.278725	0.00307775	0.0109608	0.0429539	0.0904841	0.00230267	0.0176517	0.0078223	0.028586	0.00921141	0.0411599	0.0147045	0.000725814	0.20413	0.073153	0.109455	0.382118	0.726377	1.08203	1.80947	4	1.273905
38000	-62.15136	-85.65704	23.50568	1	1.67416	0.382888	0.528562	0.0189508	0.00644237	0.0279994	0.0236129	0.0063252	0.0180585	0.0069168	0.0170925	0.00586114	0.0117335	0.0171033	0.0484487	0.125136	0.0615421	0.260649	0.251017	0.615193	1.0592	2.07459	3	1.567323
39000	-54.62181	-90.39763	35.77582	2	0.5021801	0.241085	0.187893	0.00503232	0.0113731	0.0128096	0.0786048	0.0302887	0.00652933	0.0318011	0.019428	0.00901204	0.000980522	0.0289363	0.0221869	0.0502758	0.0383168	0.0425187	0.0337925	0.253337	0.821848	2.89102	4	0.8170722
40000	-48.02652	-93.58769	45.56116	10	0.8305057	0.124887	0.0762998	0.00146014	0.0504973	0.0864331	0.031371	0.010101	0.109848	0.00172834	0.00266918	0.0194926	0.0898798	0.0713035	0.0947236	0.101735	0.0696957	0.0991665	0.102031	0.419132	0.965062	2.51377	5	1.041292
41000	-46.0702	-84.62613	38.55592	10	3.317944	0.772005	0.324296	0.0118347	0.0785524	0.0415629	0.0145693	0.0117399	0.0645349	0.0231687	0.0730798	0.101666	0.00519532	0.00696167	0.0745161	0.170587	0.052084	0.0215173	0.412455	0.74774	1.08369	1.75611	5	1.847871
42000	-40.12332	-88.09117	47.96786	10	0.4563609	0.102258	0.0337349	0.0723742	0.00919631	0.00185743	0.0625371	0.00214456	0.00415783	0.00740533	0.00541519	0.17033	0.158499	0.0782181	0.0131374	0.0706395	0.0252872	0.0873053	0.0256135	0.222476	0.785721	2.96619	5	0.9044973
43000	-60.55189	-91.42351	30.87162	2	3.478346	0.329169	0.0455415	0.153562	0.00947198	0.0174612	0.00137784	0.00537656	0.0280565	0.00365473	0.0131457	0.0897669	0.0568656	0.118181	0.0447025	0.0335433	0.113112	0.012701	0.423187	0.754989	1.08404	1.73779	4	1.075689
44000	-56.25388	-97.64815	41.39427	10	0.6881404	0.286094	0.268214	0.0442375	0.0110698	0.0152969	0.154255	0.0227189	0.0277675	0.00513345	0.064898	0.00339946	0.110656	0.0889946	0.121957	0.148555	0.183593	0.0221626	0.071657	0.35788	0.920393	2.65007	5	1.579004
45000	-46.9836	-86.72332	39.73972	10	1.048559	0.403418	0.438087	0.00365522	0.0892002	0.0758998	0.0128104	0.0313586	0.0314436	2.7753e-05	0.000538311	0.0342839	0.0863081	0.013753	0.0918355	0.0371719	0.122765	0.0138948	0.14654	0.490876	1.0076	2.35498	5	1.486452
46000	-61.42546	-86.97873	25.55327	1	1.378711	0.50525	0.279812	0.00978886	0.0124354	6.13912e-05	0.075677	0.0209192	0.0113166	0.0559915	0.00457152	0.211759	0.0163909	0.0665724	0.0139014	0.0183976	0.0034378	0.085826	0.205963	0.567039	1.04243	2.18457	3	1.392108
47000	-53.15091	-87.21083	34.05992	10	2.241542	0.634407	0.456469	0.076215	0.0310369	0.0357949	0.127841	0.0221289	0.0333372	0.0124116	0.0724156	0.0572675	0.183807	0.116636	0.0520825	0.0863791	0.00371745	0.225793	0.320498	0.678464	1.07501	1.92603	5	2.227741
48000	-55.67627	-92.74986	37.0736	10	5.517822	0.321203	0.22855	0.0827111	0.0198443	0.00970287	0.0742852	0.0401901	0.069114	0.0659759	0.00310415	0.0801422	0.0802677	0.211296	0.0176512	0.0470315	0.00704698	0.158136	0.52226	0.815397	1.0823	1.58004	5	1.516252
49000	-76.28926	-100.0576	23.76835	2	0.416769	0.260246	0.419057	0.0925704	0.03526	0.0367672	0.0148674	0.229856	0.0619156	0.0305473	0.0346934	0.00967913	0.00131927	0.00258493	0.0715337	0.252721	0.175148	9.13573e-06	0.0192061	0.194168	0.748807	3.03782	4	1.728776
50000	-52.23387	-87.48458	35.25071	10	2.956037	0.430131	0.273842	0.0667337	0.0397875	0.0380327	0.0628397	0.179556	0.00158465	0.0574437	0.0119418	0.00270607	0.213366	0.0870314	0.131615	0.0122184	0.0985372	0.032337	0.385832	0.729064	1.08229	1.80281	5	1.739705
51000	-35.73099	-85.76843	50.03744	10	0.6011213	0.208529	0.0657645	0.00717181	0.0445897	0.0272561	0.00144617	0.000345274	0.0333583	0.00687651	0.000734028	0.239673	0.0684886	0.0811818	0.0370642	0.113428	0.0187489	0.0140178	0.0533394	0.312895	0.88189	2.75188	5	0.968674
52000	-69.68014	-91.8596	22.17946	2	1.540735	0.710266	0.25248	0.106338	0.13717	0.0630917	0.01606	0.0717671	0.00839903	0.0169676	0.0258336	0.0942284	0.1102	0.0692388	0.0418176	0.0379008	0.0215889	0.0308318	0.231547	0.595199	1.05273	2.12053	4	1.814181
53000	-39.49648	-84.67684	45.18036	10	1.569995	0.166391	0.250687	0.0115875	0.0148195	0.018958	0.0924219	0.0493093	0.034344	0.0141575	0.0183346	0.121659	0.133761	0.0629475	0.0942507	0.0630491	0.0100742	0.0445579	0.235935	0.599807	1.05428	2.10998	5	1.20131
54000	-63.87875	-85.47866	21.5999	2	4.476971	0.190285	0.444809	0.0247147	0.0766546	0.0150128	0.022312	0.0107839	0.0142206	0.0108236	0.00325223	0.158247	0.128673	0.00669829	0.0841624	0.0399624	0.154349	0.237991	0.478788	0.79024	1.08407	1.6469	4	1.622952
55000	-62.88174	-91.97587	29.09413	2	1.753036	0.366494	0.323436	0.0399697	0.0462534	0.0243952	0.0395752	0.0321689	0.0428097	0.0284436	0.112603	0.0185185	0.236758	0.0101545	0.0129594	0.0219526	0.00746366	0.0330517	0.2619	0.625889	1.06237	2.04984	4	1.397007
56000	-54.22622	-86.83275	32.60654	2	1.834636	0.275372	0.0389146	0.0150213	0.0505599	0.0350382	0.0427737	0.0224974	0.0229649	0.00827993	0.000726557	0.00588936	0.155155	0.140014	0.0667394	0.102158	0.0607886	0.0843841	0.272703	0.636192	1.06524	2.02586	4	1.127276
57000	-60.63876	-87.5824	26.94364	2	1.426641	0.157909	0.0818404	0.00713695	0.0180311	0.107888	0.0707707	0.0271834	0.00474286	0.00204078	0.0056667	0.0498622	0.159945	0.0983913	0.241896	0.305623	0.0925715	0.0483244	0.213764	0.575872	1.04581	2.16456	4	1.479823
58000	-64.62098	-88.85157	24.23059	2	1.173957	0.496717	0.241808	0.0695155	0.00624888	0.0978779	0.0379062	0.027911	0.00143095	0.0276168	0.0641014	0.0241056	0.220529	0.0128053	0.106325	0.102548	0.0511871	0.0191235	0.170302	0.523449	1.02375	2.2825	4	1.607757
59000	-65.3709	-99.13108	33.76018	10	1.775246	0.205042	0.340661	0.0927234	0.224061	0.0197409	0.0352279	0.00303488	0.0338048	0.0718295	0.03156	0.0858423	0.0908897	0.193726	0.122773	0.21716	0.0789918	0.0456497	0.264885	0.628767	1.06319	2.04315	5	1.892718
60000	-49.54893	-90.88673	41.3378	10	0.9895974	0.300616	0.113338	0.0601965	0.10915	0.00293971	0.0776952	0.0564301	0.000920495	0.0126389	0.00594649	0.141151	0.128518	0.0399976	0.0125531	0.0159132	0.0544463	0.0990165	0.134874	0.473603	0.998255	2.39327	5	1.231467
61000	-53.51962	-91.51064	37.99102	10	0.8709792	0.342152	0.314691	0.108905	0.0116279	0.0322314	0.103367	0.0115875	0.0212699	0.102023	0.0694493	0.0144639	0.00842279	0.00665571	0.0311917	0.109383	0.111961	0.109464	0.110549	0.434215	0.974836	2.4804	5	1.508847
62000	-40.67753	-81.36072	40.68319	10	1.839983	0.384193	0.0686019	0.0402067	0.0600708	0.00796731	0.00284271	0.0176192	0.0534851	0.00799911	0.00648835	0.305561	0.0154053	0.0805094	0.0332115	0.0719609	0.0421967	0.115286	0.273395	0.636842	1.06542	2.02435	5	1.313604
63000	-55.94004	-86.1245	30.18446	10	1.125031	0.450648	0.146035	0.010196	0.0102834	3.99582e-05	0.147756	0.00138749	0.0272806	0.00770134	0.0243272	0.0187422	0.133031	0.0973029	0.0609887	0.111458	0.0466005	0.204302	0.161204	0.511357	1.01798	2.30946	5	1.49808
64000	-36.89374	-84.94923	48.05549	10	1.324884	0.028715	0.277121	0.012394	0.00911771	0.0279197	0.00476419	0.0236709	0.0097273	0.0169025	0.0186157	0.0299201	0.0381954	0.141741	0.197618	0.0245186	0.00133587	0.076793	0.19696	0.556552	1.03824	2.20825	5	0.9390706
65000	-62.37304	-88.58398	26.21094	2	1.215336	0.371181	0.295559	0.000201764	0.117523	0.0115524	0.0689758	0.0414755	0.0441435	0.0231114	0.0819579	0.0921673	0.0638617	0.123852	0.00574338	0.0429286	0.134709	0.129506	0.177821	0.533121	1.02818	2.26087	4	1.648448
66000	-68.34961	-92.1717	23.82209	2	2.195285	0.297003	0.403723	0.0726041	0.0445492	0.0113678	0.0234291	0.0185747	0.0293946	0.0436981	0.103335	0.0480119	0.119768	0.00908518	0.118123	0.0284696	0.0282057	0.117711	0.315522	0.674293	1.07419	1.936	4	1.517053
67000	-59.08227	-84.89207	25.8098	1	0.9043298	0.434567	0.059249	0.0180553	0.0757801	0.0605369	0.0518991	0.000795309	0.00334965	0.0186525	0.0266315	0.017176	0.120442	0.0334058	0.0592879	0.320869	0.112946	0.000251517	0.117492	0.445979	0.982144	2.45439	3	1.413894
68000	-66.24945	-90.9547	24.70525	2	1.128107	0.163144	0.280312	0.050044	0.0502018	0.0359168	0.0818109	0.0501375	0.0707172	0.0204818	0.0260568	0.381407	0.0412866	0.071607	0.0250209	0.126763	0.039393	0.00895031	0.161783	0.512139	1.01836	2.30772	4	1.523251
69000	-57.63514	-88.6812	31.04606	1	0.2937134	0.0811905	0.265523	0.0159367	0.04882	0.0148295	0.11642	0.0307452	0.00110184	0.00993774	0.0257447	0.0198172	0.0274875	0.0232976	0.101483	0.148834	0.00268853	0.0174719	0.00479923	0.0996142	0.585093	3.31049	3	0.951329
70000	-59.89656	-86.68956	26.793	1	1.911113	0.304666	0.215706	0.00452168	0.0354059	0.0304472	0.0378624	0.00399414	0.0518559	0.0237864	0.0112663	0.0614252	0.0128164	0.035645	0.161992	0.116193	0.0424022	0.0649096	0.282428	0.645216	1.0676	2.00476	3	1.214895
71000	-41.69736	-81.81084	40.11348	10	1.731221	0.251817	0.132933	0.00186388	0.0143067	0.0247247	0.0704548	0.0185923	0.0332714	0.00604623	0.00119194	0.0914562	0.144206	0.219825	0.0324787	0.00346797	0.0479704	0.169672	0.258935	0.623007	1.06154	2.05652	5	1.264277
72000	-60.33818	-86.54633	26.20815	1	1.174244	0.158125	0.447191	0.10112	0.053472	0.00358279	0.0435966	0.00267222	0.0408575	0.00140627	0.00875918	0.0466599	0.181499	0.085987	0.0652264	0.0113313	0.0894444	0.00613829	0.170355	0.523517	1.02379	2.28234	3	1.347067
73000	-44.0018	-86.21289	42.2111	10	2.567941	0.232495	0.28252	0.00285452	0.0640434	0.0175824	0.0666855	0.012735	0.0707853	0.0223845	0.00884698	0.0237546	0.00962635	0.0789479	0.207548	0.0908625	0.114588	0.0130914	0.352805	0.704402	1.07936	1.86343	5	1.319352
74000	-38.45618	-79.41173	40.95555	10	1.869325	0.440858	0.541687	0.00737598	0.0208298	0.0134984	0.00503376	0.0119249	0.03285	0.0123621	0.00467136	0.0459151	0.057369	0.0541776	0.071164	0.0564073	0.0601236	0.0491254	0.277161	0.640357	1.06635	2.01613	5	1.485373
75000	-50.72368	-86.04218	35.3185	10	2.447758	0.297245	0.419457	0.0133604	0.0202571	0.00864268	0.0861871	0.0132667	0.00592207	0.0215476	0.00686129	0.0309191	0.0786073	0.193647	0.0412938	0.223745	0.177146	0.0133745	0.341447	0.695501	1.07801	1.88504	5	1.651479
76000	-49.07142	-95.67876	46.60735	10	0.3042647	0.128493	0.0546534	0.00995762	0.0850832	0.00408516	0.0550022	0.00849995	0.0725065	0.0180274	0.0137054	0.0844806	0.0658463	0.163233	0.0421282	0.129423	0.0764673	0.145391	0.00564763	0.107817	0.602896	3.28364	5	1.156983
77000	-65.26338	-86.15144	20.88806	2	1.478916	0.49965	0.611239	0.0796747	0.0284387	0.0241837	0.138672	0.0337709	0.0342103	0.0156416	0.0413469	0.0429352	0.0255603	0.000596559	0.0721133	0.0643704	0.0941716	0.107479	0.222047	0.585009	1.04916	2.14378	4	1.914053
78000	-43.55562	-87.99978	44.44416	10	0.2324878	0.265711	0.236531	0.0106177	0.0273773	0.0750464	0.0722873	0.00795604	0.000179902	0.0406403	0.0059718	0.196021	0.0706839	0.038016	0.0260439	0.0236915	0.0105767	0.0648902	0.00139355	0.0543677	0.463072	3.48117	5	1.172242
79000	-38.31798	-87.31266	48.99468	10	1.870363	0.189787	0.115417	0.0167647	0.0166807	0.0573456	0.016488	0.0148658	0.0140674	0.00950687	0.06264	0.0729871	0.0868945	0.0375907	0.0254783	0.00887601	0.0538145	0.0567378	0.277293	0.64048	1.06638	2.01585	5	0.8559418
80000	-68.03625	-93.37865	25.3424	2	3.027134	0.307633	0.269508	0.237492	0.0135738	0.100763	0.00894744	0.0236725	0.135138	0.0398604	0.0646536	0.0746883	0.0214249	0.0635361	0.125405	0.011766	0.0749484	0.0101134	0.39135	0.733019	1.08265	1.79298	4	1.583123
81000	-62.61624	-87.87048	25.25424	2	1.92139	0.368544	0.297245	0.048278	0.121718	0.0126917	0.0254764	0.00344237	0.0114245	0.0273913	0.018972	0.061466	0.0713972	0.162501	0.00111837	0.0569645	0.0216207	0.0889277	0.283707	0.646385	1.06789	2.00202	4	1.399179
82000	-45.75575	-86.71376	40.95801	10	3.893331	0.296618	0.412394	0.0179849	0.020606	0.00162871	0.0200167	0.0423765	0.0277549	0.076695	0.00403465	0.093384	0.0894418	0.0205663	0.0149333	0.108827	0.067249	0.0950576	0.448405	0.771438	1.0844	1.69576	5	1.409569
83000	-55.48569	-96.18628	40.70059	10	0.7748045	0.302644	0.192083	0.00367127	0.177001	0.0177881	0.0598448	0.00517824	0.0188734	0.0170564	0.0129887	0.14613	0.151702	0.0617081	0.268428	0.0153546	0.184563	0.086537	0.0901872	0.396789	0.949721	2.5633	5	1.721552
84000	-44.16219	-87.95705	43.79486	10	2.069223	0.233987	0.210149	0.0210691	0.034863	0.00706645	0.0709214	0.00096508	0.0393499	0.00454515	0.059763	0.0354151	0.013418	0.0973821	0.0920595	0.0504637	0.229367	0.00547307	0.3014	0.662178	1.07163	1.96479	5	1.206258
85000	-58.03661	-85.1684	27.13179	2	1.109598	0.433969	0.294359	0.0213633	0.031531	0.00229018	0.147747	0.0103503	0.0432256	0.0037183	0.0127671	0.0233025	0.0294381	0.346024	0.0772378	0.0854617	0.0433288	0.00225921	0.158288	0.507385	1.01603	2.3183	4	1.608372
86000	-61.04166	-96.55167	35.51002	10	0.4768551	0.073679	0.565761	0.0919618	0.0311586	0.150574	0.0176246	0.000718642	0.0365932	0.083626	0.0249457	0.00206275	0.14601	0.0475244	0.186287	0.504621	0.0349557	0.0157783	0.0291824	0.236538	0.802668	2.93161	5	2.013881
87000	-41.42676	-83.0658	41.63904	10	1.468239	0.273379	0.272577	0.0168241	0.0244188	0.0303749	0.0741552	0.00556148	0.0102251	0.00802158	0.0305913	0.00059874	0.00630719	0.013658	0.0547301	0.0378807	0.0634605	0.132274	0.220374	0.583183	1.0485	2.14794	5	1.055038
