Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-848.0002	-892.6062	44.60604	2	2.007495	0.0261241	0.00866508	0.0517361	0.018592	0.0203682	0.0226983	0.00134558	0.0175542	1.04391e-05	0.0472435	0.0585728	3.19277e-05	0.0217473	0.0249238	0.0088373	0.0289571	0.0401926	0.00552438	0.0114954	0.0301229	0.0197527	0.0526938	0.0506848	0.0159597	0.00172634	0.0779051	0.0222543	0.0271954	0.0578882	0.115801	0.00725239	0.0663711	0.0463404	0.210104	0.217366	0.0958235	0.0174727	0.131506	0.361827	0.00359428	0.049391	0.129266	0.0540166	0.155127	0.0574996	0.0475222	0.00325145	0.0412621	0.0668688	0.00101193	0.0770981	0.0291042	0.00796659	0.294168	0.655808	1.07018	1.97985	4	2.763647
21000	-833.3164	-884.4742	51.15778	2	1.091553	0.026676	0.0267272	0.0130414	0.00825438	0.0059106	0.00566214	0.0122294	7.83359e-05	0.00500603	0.0124888	0.0514162	0.00345734	0.00112759	0.0328832	0.000774313	0.00144105	0.0353354	0.0282968	0.0258116	0.0040794	0.0426547	0.0105848	0.0362639	0.00379014	0.0351307	7.12366e-05	0.0236052	0.0557932	0.0783131	0.11028	0.000523513	0.0418299	0.0387815	0.439304	0.1697	0.00243493	0.00814256	0.0762649	0.020182	0.000263144	0.0808712	0.0946134	0.10455	0.123093	0.0882079	0.0050334	0.0316297	0.0323897	0.0337258	0.0896509	0.0562669	0.0363333	0.0105372	0.154851	0.50264	1.01366	2.32885	4	2.281513
22000	-846.9863	-890.7993	43.81309	1	3.009421	0.0460001	0.0141823	0.00768935	0.00836261	0.0247877	0.0269092	0.000170473	0.0210848	0.0011493	0.0247836	0.0287677	0.00635727	0.00302649	0.0158381	0.00351032	0.0311205	0.013729	0.0128243	0.00121751	0.0381432	0.059309	0.0367289	0.0190177	0.00106175	0.0376773	0.00219962	0.0272974	0.0284068	0.0220533	0.0538994	0.0432326	0.00221398	0.0597207	0.316466	0.158416	0.061256	0.00173547	0.123701	0.182703	0.0149775	0.07456	0.0551095	0.0270444	0.0464178	0.0983235	0.102829	0.0538146	0.0537873	0.000773466	0.00351653	0.0483853	0.0751917	0.00211416	0.389989	0.732048	1.08256	1.7954	3	2.223595
23000	-841.1264	-889.9591	48.83269	2	2.183597	0.00980507	0.0214125	0.00515611	0.00501309	0.00715552	0.00389343	0.00481898	0.00493738	0.00449919	0.0289782	0.0632927	0.0126477	0.00241374	0.00754702	0.0101822	0.019506	0.0422482	0.0404655	0.00268695	0.00298133	0.0339588	0.0485515	0.0376379	0.00838185	0.0151782	0.0119124	0.0186229	0.0431939	0.0206348	0.0437188	0.0474675	0.00584758	0.0608945	0.351157	0.109761	0.0147671	0.014929	0.0860563	0.0601834	0.039215	0.0528917	0.213638	0.000859361	0.0257005	0.0629489	0.107716	0.045834	0.0359947	0.111823	0.0726668	0.12338	0.0482358	0.00139867	0.314248	0.673217	1.07397	1.93856	4	2.274798
24000	-845.5982	-893.8744	48.27622	2	3.145859	0.0528625	0.0128831	0.0339997	0.00199455	0.0658231	0.010074	0.000908688	0.00344043	0.0119575	0.00954558	0.0166308	0.0127459	0.00109942	0.00903523	0.00528544	0.0555748	0.0233375	0.0190107	0.0142243	0.0148562	0.0646457	0.0597784	0.0139722	0.00187947	0.0212664	0.0272054	0.0441631	0.00244544	0.0421241	0.0550189	0.0825019	0.00211413	0.049137	0.246079	0.0904425	0.0778898	0.00315694	0.0631442	0.0937056	0.0754719	0.0690153	0.0387017	0.0527138	0.0435946	0.0475495	0.114522	0.0600884	0.020549	0.102764	0.0187166	0.100292	0.0469052	0.00134729	0.40024	0.739297	1.08315	1.77732	4	2.20819
25000	-853.8541	-890.4715	36.61747	1	2.420079	0.0301428	0.025028	0.013812	0.00413163	0.0217152	0.0184975	0.00676212	0.0078695	0.0172806	0.0168023	0.0157764	0.00884032	0.00132897	0.0253007	3.93836e-05	0.0360472	0.0545707	0.0258238	0.00894494	0.0232868	0.0356381	0.0566215	0.0271468	0.010862	0.0284591	0.0358802	0.017144	0.0382889	0.0661643	0.118532	0.00730921	0.0788532	0.0300404	0.604136	0.126848	0.033221	0.00812189	0.0537675	0.260826	0.0145137	0.0758984	0.0528911	0.0955166	0.00473926	0.0787488	0.071443	0.0589336	0.0595839	0.131478	0.116491	0.142497	0.0762183	0.0232787	0.338746	0.69335	1.07766	1.89024	3	3.002092
26000	-826.2474	-875.418	49.17068	2	1.807147	0.0179479	8.69682e-05	0.00735088	0.0124141	0.0167177	0.00708894	0.00805367	0.00117805	0.00971631	0.0109624	0.0421822	0.00814306	0.00198754	0.0190445	0.00647957	0.0102481	0.0661178	0.012411	0.0224142	0.00836716	0.0315356	0.04175	0.0547524	0.002254	0.0343347	0.00167618	0.0319268	0.00823204	0.0915571	0.0977935	0.00864576	0.0424607	0.194588	0.257013	0.0698293	0.0777203	0.0295237	0.0595576	0.0437244	0.0132003	0.0296318	0.039066	0.0591715	0.0400384	0.0405466	0.0437137	0.0823453	0.0678742	0.162214	0.00377972	0.0378629	0.0450932	0.00559065	0.269114	0.632803	1.06432	2.03376	4	2.137916
27000	-836.0398	-884.6908	48.65102	2	1.307114	0.0207968	0.0240874	0.0951437	0.0126494	0.00626138	0.0135547	0.0247724	0.00684519	0.00163633	0.0574915	0.0647743	0.000649271	0.00806583	0.0192564	0.00289746	0.0162092	0.00442488	0.0200053	0.0310319	0.0027638	0.0661058	0.0402736	0.0355393	0.00292309	0.0121474	0.0012128	0.0743678	0.00622371	0.0789665	0.0790724	0.00112411	0.0402698	0.209296	0.475842	0.104779	0.0300734	0.00671609	0.0622288	0.00286957	0.0141664	0.0456577	0.0699513	0.00948025	0.123864	0.0196316	0.061269	0.0873031	0.0394711	0.129965	0.0061858	0.0676429	0.00789695	0.0356513	0.19393	0.552949	1.03675	2.21637	4	2.481484
28000	-835.9885	-883.585	47.59659	2	2.615138	0.00378046	0.0358579	0.0305468	0.00220759	0.0438783	0.00248965	0.00390326	0.00221215	0.00105621	0.0234828	0.0867491	0.00217215	0.00365056	0.0255271	0.00834976	0.00483603	0.0359763	0.00418732	0.0125609	0.00940711	0.0991199	0.0806874	0.030833	0.0103361	0.00953898	0.020889	0.01636	0.0186285	0.0713682	0.0857986	0.0172916	0.0374821	0.189833	0.373439	0.0353985	0.0790809	0.00594666	0.0685893	0.00397178	0.00762604	0.0693347	0.120763	0.0757341	0.0564689	0.0484057	0.00538891	0.0190788	0.0422304	0.172094	0.000269888	0.11201	0.12201	0.0446693	0.357108	0.707716	1.07982	1.85535	4	2.493507
29000	-857.9062	-900.623	42.71682	2	1.741018	0.00889412	0.0164121	0.143428	0.0133574	0.0137391	0.0173645	0.000280944	0.00229828	0.0134315	0.0101563	0.0835223	0.0138101	0.0100903	0.0298528	0.00709216	0.0208051	0.113254	0.0121211	0.0160848	0.000180895	0.0771252	0.0619503	0.0174293	0.0360908	0.0171755	0.000421262	0.0371154	0.00209395	0.0996703	0.0635576	0.026252	0.0157649	0.0174159	0.436596	0.150299	0.199418	0.0107317	0.10467	0.166855	8.96947e-05	0.0808771	0.256335	0.0595548	0.0876529	0.0347325	0.0346781	0.0424202	0.0394839	0.262101	0.00128176	0.124234	0.0690706	0.0110663	0.260271	0.624309	1.06192	2.0535	4	3.190385
