Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
23000	-427.6368	-472.738	45.10114	10	1.341937	0.278615	0.0879632	0.0508082	0.118175	0.0226279	0.00726573	0.10692	0.440371	0.0829721	0.00253281	0.0679057	0.00726082	0.270122	0.000402748	0.000696449	0.0624908	0.337368	0.0688368	0.402618	0.25156	0.0125161	0.156363	0.0891567	0.125116	0.064412	0.0555389	0.0284358	0.240795	0.0491673	0.0287501	0.0813124	0.170203	0.0364724	0.19984	0.559942	1.03961	2.2006	5	3.805751
24000	-409.3071	-464.3259	55.01885	10	1.648762	0.142114	0.0282101	0.00565037	0.0324917	0.0786444	0.0309517	0.0632526	0.148519	0.0864936	0.0278905	0.0323951	0.00207402	0.178834	0.0153183	0.0403644	0.0451167	0.22099	0.126	0.0562071	0.047612	0.00224981	0.0297173	0.159925	0.0449354	0.085449	0.00844355	0.0446833	0.432243	0.146774	0.0735393	0.0761655	0.131572	0.0255423	0.247415	0.61158	1.05808	2.08292	5	2.670369
25000	-404.3528	-462.2879	57.93507	10	1.992674	0.051238	0.0485327	0.0113321	0.0103988	0.0522543	0.0016715	0.0748978	0.12216	0.0353931	0.0146413	0.00183004	0.137899	0.0617609	0.0105419	0.00339872	0.0113918	0.153444	0.115527	0.00412162	0.311897	0.0318243	0.104706	0.105364	0.0373607	0.0253191	0.00121554	0.00659537	0.0724525	0.0264042	0.0573838	0.0219927	0.0186813	0.0654912	0.292399	0.654232	1.06981	1.98356	5	1.809123
26000	-410.3544	-461.8086	51.45427	10	1.044619	0.215586	0.00893726	0.00650526	0.00482996	0.0311505	0.0223016	0.114545	0.169155	0.0559893	0.018242	0.0164264	0.0201548	0.234353	0.00453452	0.0111494	0.0325382	0.195561	0.000578681	0.102369	0.346984	0.0119809	0.106231	0.358534	0.0618055	0.069219	0.11454	0.0356458	0.0502991	0.0641948	0.0473883	0.0118409	0.0385466	0.121732	0.14577	0.489764	1.00702	2.35745	5	2.703845
27000	-399.7798	-451.4279	51.64805	10	1.661285	0.213452	0.0226414	0.00258775	0.0461331	0.0368009	0.0126314	0.0667905	0.193918	0.134712	0.0063881	0.0101569	0.116271	0.138719	0.00757139	0.00902826	0.0509076	0.21119	0.0469242	0.119222	0.692674	0.0102558	0.0906513	0.196588	0.0688082	0.0378665	0.0377755	0.067682	0.0268378	0.0295126	0.0307404	0.0551936	0.00399873	0.0898285	0.249197	0.613372	1.05864	2.07879	5	2.884458
28000	-409.3327	-464.8273	55.49458	10	0.4678572	0.193743	0.083486	0.03204	0.055161	0.0433351	0.00612636	0.00139067	0.198361	0.00895274	0.0406988	0.0184827	0.0377761	0.136485	0.0069832	0.0344059	0.0146395	0.134554	0.0817779	0.200864	0.673553	0.138985	0.112935	0.105562	0.0584056	0.0587028	0.118567	0.104141	0.069484	0.042982	0.00633954	0.00205602	0.132024	0.0683541	0.0275963	0.230415	0.795394	2.94659	5	3.021354
29000	-411.4501	-466.2359	54.78579	10	2.010784	0.132412	0.00820173	0.0390052	0.0280259	0.1616	0.00240924	0.0924037	0.337224	0.127783	0.0103376	0.00141982	0.0292377	0.0686705	0.00321551	0.00157928	0.0779385	0.189988	0.13691	0.0597179	0.138716	0.0011145	0.0744518	0.175949	0.0174973	0.0167173	0.029952	0.0023723	0.765764	0.0957048	0.0381935	0.0179594	0.0807202	0.030375	0.294559	0.656156	1.07026	1.97903	5	2.993566
30000	-421.3913	-474.3259	52.93454	10	1.748961	0.236149	0.0692406	0.0470872	0.0231678	0.0281781	0.0177331	0.0743872	0.214831	0.123733	0.0157461	0.00748475	0.038789	0.0160722	0.00173557	0.00512932	0.0519744	0.0857126	0.106737	0.129046	0.269668	0.0189666	0.066315	0.00567464	0.12523	0.0692059	0.0136795	0.389632	0.0350963	0.0506291	0.0559729	0.0142335	0.135226	0.121984	0.261349	0.625355	1.06222	2.05107	5	2.664447
31000	-404.5908	-463.2	58.60918	10	1.420358	0.194552	0.00524025	0.00110816	0.0966987	0.0218362	0.0313357	0.0599232	0.145589	0.10899	0.00285835	0.0268316	0.0645775	0.231949	0.0128608	9.21586e-05	0.0478396	0.113205	0.037019	0.125495	0.00432497	0.0151574	0.00208312	0.0535339	0.116927	0.109986	0.0254648	0.117706	0.0114312	0.272052	0.258754	0.0507437	0.0213762	0.0362086	0.212753	0.57474	1.04538	2.16713	5	2.423749
32000	-415.0315	-470.8428	55.81126	10	0.9445996	0.0807809	0.000599977	0.0589743	0.0557874	0.115363	0.00341203	0.0698268	0.384291	0.0211161	0.0548417	0.0258638	0.105486	0.0578249	0.00488248	0.00165702	0.0032426	0.142017	0.00961065	0.544375	0.0705041	0.0164287	0.00240136	0.0478026	0.00430126	0.134489	0.0114241	0.137206	0.00446632	0.0235537	0.0746959	0.00801581	0.0505578	0.217511	0.125772	0.459442	0.990177	2.42461	5	2.543313
