Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-1291.694	-1332.933	41.23941	10	2.02782	0.00168735	0.00676173	0.0931302	0.0202198	0.103643	0.0506382	0.0296156	0.0864402	0.361479	0.0289282	0.0313952	0.0471469	0.0481858	0.0399862	0.0193316	0.0371066	0.0487095	0.06385	0.0635758	0.0245417	0.119827	0.0379555	0.0747999	0.147178	0.115479	0.00696051	0.0793497	0.0360922	0.00159432	0.0617339	0.15539	0.0116498	0.243486	0.0689565	0.0327399	0.208135	0.0494877	0.013379	0.073682	0.00324426	0.111875	0.0394057	0.060564	0.0195996	0.205806	0.0109923	0.0358662	0.492752	0.141242	0.0535324	0.0407957	0.130436	0.0413225	0.495035	0.0742028	0.0525792	0.00708689	0.138672	0.0121023	0.00174205	0.0344119	0.296573	0.65794	1.07067	1.97482	5	4.947515
21000	-1291.53	-1328.549	37.0194	10	2.178013	0.0172495	0.00369166	0.0592085	0.0206483	0.0748432	0.00467139	0.08494	0.0257708	0.221009	0.0376448	0.0457419	0.076526	0.0412016	0.0725119	0.0405492	0.0348622	0.0172839	0.0842469	0.0126108	0.0257137	0.124926	0.0460453	0.0253389	0.0565334	0.0354797	0.173461	0.0297066	0.112695	0.0605287	0.0217231	0.0704148	0.0304206	0.335526	0.281111	0.0934283	0.0806597	0.0578273	0.245369	0.140701	0.0423183	0.0396783	0.126853	0.195838	0.133032	0.0646565	0.0649226	0.141266	0.386634	0.171199	0.198021	0.0280585	0.0482703	0.0711779	0.543612	0.197503	0.0507677	0.0023319	0.182573	0.00511536	0.00994156	0.0412391	0.313637	0.6727	1.07387	1.9398	5	5.767832
22000	-1288.151	-1335.061	46.91053	10	3.431222	0.0191314	0.00353735	0.121587	0.0132269	0.0283846	0.0445627	0.00455666	0.0278634	0.161854	0.0657732	0.0225062	0.0582343	0.0320401	0.00345181	0.0715544	0.0666559	0.0723368	0.011129	0.0407179	0.0620018	0.16603	0.108424	0.0236908	0.125469	0.177509	0.014705	0.0662543	0.0697065	0.000353501	0.0341998	0.032722	0.0153827	0.224942	0.17639	0.157279	0.0825915	0.00591287	0.0216554	0.085531	0.0732707	0.163114	0.138497	0.119208	0.0675131	0.140274	0.0949592	0.0286216	0.285074	0.0995409	0.0142918	0.0213432	0.0576198	0.0406368	0.313039	0.171041	0.0207453	0.00573473	0.169478	0.0545038	0.184851	0.0740546	0.420096	0.752917	1.08395	1.74304	5	4.857266
23000	-1283.209	-1331.575	48.36617	10	1.724575	0.0084469	0.00854755	0.0350156	0.0246133	0.0395417	0.0252307	0.0674703	0.077848	0.228192	0.0125049	0.0139862	0.110631	0.0130392	0.0247421	0.0456148	0.0947036	0.0584973	0.0520345	0.0537813	0.00824435	0.246526	0.14131	0.0169532	0.0066563	0.0722303	0.0361072	0.0968106	0.0559958	0.0302946	0.0278548	0.0444535	0.031577	0.11294	0.0953444	0.0245446	0.144897	0.0033367	0.0741127	0.171052	0.0383064	0.0787908	0.0279264	0.209104	0.0473304	0.124941	0.0545613	0.0188904	0.351951	0.207615	0.027571	0.0400577	0.175159	0.0234624	0.481557	0.135155	0.0716974	0.0676773	0.132545	0.0516191	0.0451257	0.0285259	0.258025	0.622118	1.06128	2.05858	5	4.875252
24000	-1295.562	-1334.998	39.43584	10	2.084571	0.0178273	0.0321097	0.032132	0.0121359	0.0412992	0.0171798	0.0161267	0.0135811	0.303725	0.0313939	0.0483	0.152409	0.0226169	0.0318283	0.0195124	0.0206815	0.078389	0.0763309	0.0200438	0.0436559	0.174927	0.118072	0.00822182	0.0200077	0.051007	0.0220845	0.0413355	0.109153	0.0116969	0.0296034	0.165378	0.0188216	0.0991758	0.291877	0.0443189	0.070868	0.0297514	0.0561029	0.0958547	0.0146888	0.0252777	0.121076	0.217128	0.0668205	0.0714754	0.0737707	0.0763592	0.426461	0.28561	0.036559	0.262681	0.0606969	0.0195898	0.291579	0.160026	0.160206	0.0326636	0.219272	0.0645704	0.0547034	0.0415331	0.303165	0.663716	1.07197	1.96115	5	5.272283
25000	-1285.582	-1327.687	42.10542	10	2.202399	0.0070483	0.0226878	0.0377745	0.015388	0.0445236	0.0398158	0.00838987	0.0394397	0.155403	0.0366377	0.0132313	0.100208	0.0566086	0.0158528	0.0391407	0.0519417	0.0968281	0.0334607	0.00492923	0.039201	0.263979	0.0727946	0.0419097	0.159048	0.128718	0.0272416	0.0394412	0.0146669	0.00124064	0.0635114	0.111243	0.026385	0.0806554	0.196244	0.0685839	0.0935684	0.0343564	0.00885417	0.109801	0.0291917	0.117587	0.022253	0.080513	0.149428	0.111721	0.00657166	0.0464548	0.425975	0.0951251	0.0584776	0.129888	0.0979509	0.0796731	0.466603	0.177745	0.0605941	0.122814	0.0680957	0.00103472	0.0675804	0.0462003	0.316294	0.674944	1.07432	1.93444	5	4.86223
26000	-1293.865	-1335.953	42.08837	10	3.100228	0.031313	0.00382173	0.0634791	0.0154619	0.0200139	0.034429	0.0670674	0.0818805	0.213983	0.0499949	0.015313	0.10611	0.0117343	0.047073	0.0403677	0.122396	0.0363377	0.0718977	0.0243413	0.0972396	0.142757	0.0341497	0.0626633	0.0434995	0.130614	0.0967148	0.0500844	0.123991	0.0229921	0.0832832	0.0967515	0.0198685	0.128605	0.0902586	0.119496	0.0799716	0.022783	0.0304786	0.0333759	0.0022715	0.0872932	0.113231	0.171384	0.0918723	0.00756766	0.0723304	0.0156565	0.560626	0.302801	0.0268586	0.0255705	0.200723	0.00379436	0.262553	0.16867	0.0734892	0.0337457	0.170377	0.0125926	0.0140904	0.0791791	0.39687	0.736931	1.08297	1.78323	5	5.063268
27000	-1309.697	-1345.715	36.01855	10	1.781212	0.00260707	0.00254441	0.0410211	0.0136116	0.0532136	0.114787	0.0407554	0.0475315	0.217888	0.0440421	0.0261682	0.126998	0.0348605	0.0104098	0.0686467	0.0530936	0.0903643	0.0227937	0.0427075	0.0604064	0.226697	0.0544102	0.0145846	0.14889	0.136475	0.106743	0.121405	0.05129	0.025748	0.0611396	0.264529	0.00193908	0.275089	0.217484	0.128355	0.0943303	0.173163	0.177627	0.0158039	0.00212063	0.18574	0.0534721	0.106761	0.071079	0.0596482	0.0225543	0.0220024	0.390049	0.0657758	0.114776	0.025758	0.118335	0.00888858	0.341173	0.116759	0.0101189	0.103862	0.0193364	0.0224629	0.00592172	0.0795967	0.265682	0.62953	1.06341	2.04138	5	5.356344
28000	-1295.168	-1337.987	42.81917	10	1.997664	0.0430327	0.0149622	0.12683	0.0193313	0.017821	0.0420355	0.0102938	0.0707659	0.10049	0.0359357	0.0569327	0.0791029	0.0431808	0.0717022	0.0250072	0.0502709	0.0457201	0.101238	0.0238238	0.0340951	0.189369	0.0798635	0.125398	0.0132747	0.0364253	0.0681869	0.029013	0.014802	0.0594976	0.0321908	0.0660665	0.0245558	0.028585	0.241945	0.198221	0.0272812	0.1637	0.0433514	0.25839	0.0360991	0.11398	0.11267	0.203359	0.120693	0.0670263	0.0315224	0.00661423	0.350389	0.17241	0.0164849	0.032695	0.0293133	0.186514	0.374168	0.144668	0.0518237	0.129531	0.0660095	0.0619748	0.109119	0.0307715	0.292996	0.654765	1.06993	1.98231	5	5.160525
29000	-1289.294	-1338.186	48.89186	10	2.300579	0.00898467	0.0175738	0.029342	0.025059	0.0688348	0.0418349	0.0200766	0.0453758	0.199793	0.0183734	0.0179945	0.1442	0.0260087	0.0225956	0.032245	0.0271944	0.0461445	0.00847014	0.00855294	0.0590925	0.196177	0.0650558	0.0141889	0.178139	0.226274	0.215924	0.0688363	0.0496624	0.0124503	0.0752588	0.0518019	0.0186288	0.0450399	0.0703858	0.0925559	0.125943	0.184551	0.0826161	0.164852	0.0108058	0.00812111	0.0808145	0.108652	0.0545816	0.0903286	0.0981279	0.0118533	0.410256	0.11061	0.0840778	0.00275361	0.112832	0.0194907	0.597199	0.119167	0.0409862	0.0162627	0.147034	0.0105809	0.0857953	0.043735	0.326696	0.683591	1.07597	1.91375	5	5.070151
