Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
27000	-414.7055	-507.2482	92.54265	10	1.443683	0.0433707	0.0846553	0.0495046	0.0147587	0.00907142	0.0324626	0.0587672	0.0306926	0.000798667	0.10834	0.00359731	0.0162563	0.0205997	0.052127	0.00813621	0.0310854	0.0221688	0.0185341	0.0104221	0.173827	0.0601217	0.0394179	0.0462293	0.0692597	0.306719	0.00829456	0.0190455	0.0103268	0.116006	0.334814	0.129879	0.0664142	0.10681	0.147036	0.159729	0.0296763	0.0702174	0.21649	0.578906	1.04694	2.15767	5	2.509169
28000	-427.6363	-525.8856	98.24937	10	0.9356429	0.00742031	0.123585	0.0987151	0.0412834	0.0156286	0.132794	0.000600793	0.00156711	0.0161846	0.047615	0.000885726	0.0424402	0.0296493	0.0193299	0.0236173	0.011296	0.053401	0.326009	0.0148734	0.138488	0.0919403	0.0181344	0.0277912	0.108826	0.115223	0.0156786	0.128726	0.00266792	0.0441535	0.168455	0.0907105	0.0863982	0.0896962	0.0988298	0.121535	0.058172	0.0196679	0.123941	0.456515	0.98846	2.43108	5	2.431989
29000	-455.1229	-507.3593	52.23642	2	2.519823	0.132035	0.0134265	0.0284743	0.047981	0.0078698	0.391116	0.0202753	0.095251	0.0232787	0.0477065	0.00602763	0.014534	0.0294385	0.0308299	0.0124414	0.0235901	0.000771066	0.0319951	0.0830255	0.232455	0.100291	0.0451253	0.0416992	0.109934	0.140278	0.0284468	0.0246024	0.0197191	0.107795	0.135835	0.258613	0.0215141	0.149685	0.16721	0.51988	0.0143154	0.0802617	0.348328	0.70092	1.07885	1.8719	4	3.237726
30000	-450.0607	-503.926	53.8653	2	3.993253	0.0848091	0.096737	0.0276194	0.0593622	0.00915915	0.0432505	0.0213526	0.00928956	0.0184983	0.0320974	0.0121519	0.00318293	0.0218383	0.0249738	0.0151368	0.0168575	0.00220559	0.0136688	0.064425	0.153699	0.250702	0.0345607	0.0299938	0.0616233	0.460218	0.0232658	0.104598	0.020445	0.00101754	0.132178	0.17223	0.0236997	0.0763243	0.168261	0.133591	0.149076	0.264912	0.453991	0.774975	1.0844	1.68663	4	2.837012
31000	-454.7789	-508.2536	53.4747	2	1.31537	0.49659	0.00773297	0.055244	0.0376001	0.0209332	0.292476	0.0192467	0.0159761	0.0370956	0.00172578	0.00351121	0.0127521	0.0184753	0.0253368	0.00645593	0.017605	0.00397323	0.0348017	0.0991833	0.143964	0.208159	0.00234807	0.0316131	0.29403	0.0203832	0.0615217	0.34013	0.344055	0.180962	0.00907059	0.250931	0.0324691	0.0175582	0.176956	0.0817574	0.182377	0.238639	0.195341	0.554632	1.03745	2.21258	4	3.82364
32000	-443.9964	-493.8066	49.81022	2	2.940105	0.00258874	0.139195	0.0576157	0.00733606	0.00368317	0.131394	0.0151985	0.0134232	0.0166432	0.00733636	0.00828957	0.0161879	0.017517	0.0302842	0.00775344	0.0296858	0.00379632	0.0996445	0.00173012	0.154231	0.159537	0.0261317	0.000491971	0.0410016	0.222158	0.28521	0.476682	0.129408	0.100121	0.101613	0.160118	0.0192538	0.0191723	0.194667	0.0947738	0.00988453	0.0632467	0.384575	0.728157	1.0822	1.80506	4	2.867006
33000	-460.0819	-512.7774	52.69554	2	3.540299	0.0498417	0.0580094	0.0713969	0.0180685	0.00363358	0.280733	0.0570797	0.0156283	0.0457437	0.00201595	0.00158545	0.0148447	0.115144	0.0133609	0.000464765	0.0422014	0.0184178	0.0845614	0.0157518	0.0609595	0.0110789	0.0458784	0.0503792	0.085497	0.330624	0.00186676	0.228502	0.0216359	0.412138	0.0674682	0.21281	0.0440999	0.0635025	0.153911	0.00925564	0.151929	0.151586	0.427175	0.757644	1.08414	1.73104	4	3.011606
34000	-438.7066	-498.9573	60.25067	2	3.778644	0.0661144	0.0120633	0.0131886	0.0473621	0.00504042	0.0862296	0.0392256	0.0204486	0.000657079	0.0607257	0.0165702	0.000793029	0.00918777	0.0281881	0.00684785	0.0337568	0.00770288	0.119035	0.00203846	0.110391	0.046235	0.0064224	0.115345	0.077013	0.0864314	0.0191476	0.0492414	0.479067	0.0627208	0.0647468	0.108643	0.0411392	0.0212145	0.0366804	0.0246339	0.276018	0.0633112	0.441773	0.767189	1.08437	1.70667	4	2.263577
35000	-458.841	-507.5064	48.66541	1	3.210163	0.112247	0.0236202	0.00105063	0.0318876	0.0134666	0.12363	0.00369223	0.000669389	0.0234595	0.130897	0.00097024	0.00976522	0.00283156	0.0299413	0.0494546	0.0136687	0.0361333	0.0490121	0.0314198	0.135955	0.0933791	0.00486188	0.123735	0.341897	0.0251878	0.130507	0.226595	0.113854	0.164747	0.403578	0.149766	0.0245668	0.0167118	0.0646121	0.00905031	0.111336	0.0981505	0.404894	0.742538	1.08337	1.76919	3	2.926308
36000	-452.6427	-503.1954	50.5527	2	3.054045	0.269568	0.167493	0.0271893	0.0328091	0.0336055	0.333355	0.0190038	0.0772061	0.0131673	0.00337854	0.0295288	0.00861421	0.0314815	0.010762	0.010123	0.0301587	0.0605554	0.0772765	0.016472	0.146918	0.12175	0.289744	0.0921847	0.0388022	0.0266111	0.0618431	0.354563	0.513371	8.39507e-05	0.0150285	0.169485	0.0340146	0.00407445	0.00456502	0.0399449	0.0261453	0.134993	0.3934	0.734477	1.08277	1.78935	4	3.325872
