Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
33000	-16.67191	-49.8794	33.20749	1000	0.4937146	0.029262	0.0139893	0.0759813	0.0211169	0.00732471	0.0380966	0.0026787	0.0289302	0.0995709	0.0840367	0.325951	0.0293175	0.0330475	0.0322288	0.247793	0.815641	2.90434	6	0.7893035
34000	-26.13607	-52.88901	26.75294	1000	0.4858818	0.0461115	0.190963	0.00284518	0.0133628	0.0417024	0.0366446	0.0203665	0.00475288	0.68124	0.103325	0.0536782	0.111311	0.0313084	0.0308018	0.242599	0.809717	2.91688	6	1.337612
35000	-29.66769	-52.97061	23.30293	1000	1.44882	0.0775447	0.0944336	0.213611	0.280395	0.00142533	0.00107955	0.00594658	0.0380361	0.0459649	0.313758	0.385997	0.0498323	0.0289581	0.217307	0.57981	1.04727	2.15561	6	1.536982
36000	-29.32867	-60.51482	31.18615	1000	1.467917	0.0613589	0.0313978	0.0129052	0.0326404	0.0583097	0.00148923	0.0611737	0.0783814	0.0607174	0.0822847	0.114193	0.0285158	0.155638	0.220324	0.583128	1.04848	2.14807	6	0.7790048
37000	-27.70681	-51.29087	23.58405	1000	1.069714	0.373541	0.000180095	0.0459881	0.0486781	0.0407493	0.0198767	0.0196246	0.0713573	0.551275	0.0561958	0.118648	0.0609671	0.00244827	0.15065	0.496748	1.01065	2.34195	6	1.409529
38000	-38.55555	-62.17396	23.61842	1000	1.699705	0.21015	0.0380232	0.107635	0.0220915	0.0592147	0.10837	0.0609611	0.0426237	0.0369099	0.0838091	0.0968282	0.504166	0.0338651	0.254591	0.618742	1.06028	2.06639	6	1.404648
39000	-47.073	-54.63449	7.561485	2	0.9066957	0.104727	0.0128327	0.103139	0.120042	0.102564	0.0254888	0.0715487	0.0131376	0.240873	0.09812	0.149817	0.216907	0.391416	0.117982	0.446792	0.982639	2.45259	4	1.650614
40000	-44.44035	-56.07244	11.63209	2	1.504745	0.126985	0.122913	0.0834187	0.0037165	0.00193965	0.0456445	0.0168478	0.0203854	0.0580842	0.106604	0.108805	0.0844411	0.373914	0.226055	0.589344	1.0507	2.1339	4	1.1537
41000	-23.42562	-51.62048	28.19486	1000	2.211501	0.0292746	0.0794319	0.0691216	0.0292826	0.0163812	0.00444446	0.0141074	0.0370028	0.166473	0.0690998	0.277227	0.0149683	0.145706	0.317279	0.675771	1.07448	1.93247	6	0.9525197
42000	-23.62773	-53.34048	29.71275	1000	0.595937	0.0223515	0.0285986	0.0303187	0.043101	0.0324732	0.00330915	0.00704506	0.0168327	0.0217508	0.0156184	0.0117388	0.238873	0.0530827	0.0522712	0.310006	0.879232	2.75849	6	0.525093
43000	-38.45137	-54.95604	16.50467	2	0.4683524	0.0673108	0.0113659	0.0745559	0.116107	0.0355525	0.0299078	0.010741	0.0903708	0.0718458	0.131707	0.241983	0.0529843	0.0116507	0.0276829	0.230754	0.795801	2.94576	4	0.9460823
44000	-40.20971	-53.48195	13.27224	1	1.370629	0.00312958	0.107622	0.102383	0.0197161	0.0710324	0.043684	0.0084492	0.00659664	0.111894	0.0382749	0.25216	0.0716802	0.145963	0.204628	0.565504	1.04183	2.18804	3	0.9825844
