Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
23000	-370.0709	-407.0028	36.93193	2	1.587607	0.00344006	0.0152646	0.291721	0.153723	0.0511335	0.107044	0.187226	0.166766	0.0820277	0.0542789	0.0318191	0.0559881	0.186034	0.107847	0.227189	0.0167086	0.374261	0.291997	0.0578614	0.209975	0.0630159	0.102962	0.00413987	0.18845	0.0826676	0.271154	0.43876	0.144721	0.136613	0.238544	0.602518	1.05518	2.10376	4	4.104789
24000	-334.7566	-406.3247	71.56813	10	2.126584	0.000373976	0.0190952	0.15288	0.360797	0.234755	0.0711511	0.246719	0.0236367	0.110463	0.148927	0.0954432	0.0296985	0.110385	0.0248527	0.147917	0.0134241	0.281855	0.0565712	0.158851	0.0909164	0.606659	0.00962631	0.629718	0.0898546	0.168081	0.0397601	0.128276	0.0456795	0.0711755	0.307931	0.667833	1.07286	1.95138	5	4.167542
25000	-328.8131	-404.0136	75.20045	10	4.38628	0.00330727	0.000145098	0.188389	0.256293	0.0215665	0.0672736	0.0919978	0.00230442	0.166846	0.0521978	0.0163399	0.181898	0.172543	0.00380747	0.0953716	0.0235406	0.212767	0.0418272	0.298459	0.445049	0.064666	0.099217	0.0823028	0.237845	0.451502	0.129678	0.17547	0.115596	0.171047	0.474401	0.78759	1.08417	1.65384	5	3.869248
26000	-330.7349	-409.8068	79.07198	10	1.289519	0.0167305	0.00148446	0.130663	0.136415	0.0421067	0.0648891	0.0657609	0.0532882	0.0768681	0.141255	0.078382	0.046475	0.0457523	0.139553	0.0636991	0.0116799	0.31242	0.10375	0.00902389	0.498594	0.403939	0.207119	0.119261	0.102837	0.0217625	0.010438	0.0378129	0.129034	0.117739	0.190902	0.54931	1.03523	2.22455	5	3.188731
27000	-334.9296	-413.053	78.12332	10	1.017064	0.0093249	0.0314763	0.129012	0.110129	0.181215	0.0552391	0.142704	0.0329516	0.0817543	0.0280954	0.116661	0.043162	0.232805	0.357732	0.0837928	0.0664635	0.0534023	0.382636	0.0863439	0.484211	0.116966	0.236634	0.0537822	0.0552271	0.126372	0.0119737	0.0660305	0.0183061	0.327262	0.140346	0.481822	1.00277	2.37506	5	3.721664
28000	-338.6739	-414.714	76.04009	10	0.9275377	0.0351186	0.0444777	0.120101	0.105731	0.192451	0.0745773	0.0217778	0.00943019	0.123902	0.019726	0.0636387	0.035567	0.171102	0.0772254	0.106379	0.00085014	0.209794	0.061548	0.0690335	0.215101	0.469406	0.0267721	0.000440141	0.0415755	0.0245568	0.188141	0.182089	0.0839832	0.37618	0.122278	0.453833	0.986873	2.43702	5	3.150675
29000	-342.4497	-410.416	67.96625	10	2.538872	0.0943001	0.00379382	0.2433	0.0181493	0.226913	0.0206019	0.0275772	0.115326	0.0480297	0.0777388	0.1295	0.112133	0.442409	0.0334068	0.235739	0.0428974	0.101214	0.0664883	0.204547	0.113537	0.410141	0.320563	0.159267	0.013245	0.413642	0.0160713	0.0460695	0.298647	0.352052	0.350111	0.702311	1.07906	1.86852	5	4.387301
30000	-338.6149	-417.055	78.44011	10	1.20348	0.0331372	0.029527	0.369235	0.507932	0.161816	0.0858657	0.0182559	0.0325613	0.00971305	0.0873211	0.0372531	0.0436738	0.195975	0.0747334	0.116943	0.014312	0.0619409	0.0743039	0.0737873	0.212327	0.0309883	0.227081	0.049603	0.210099	0.095521	0.094487	0.218068	0.248572	0.266623	0.175683	0.530399	1.02695	2.26696	5	3.681658
31000	-345.7647	-418.4455	72.68083	10	1.20373	0.00249814	0.000819494	0.147947	0.0347624	0.162826	0.0227414	0.122698	0.0740344	0.136763	0.014004	0.0621391	0.0898839	0.088239	0.170073	0.127459	0.00203795	0.192235	0.0362582	0.365804	0.131381	0.363558	0.151831	0.156949	0.183204	0.0691431	0.121005	0.0748218	0.211486	0.0478281	0.175728	0.530457	1.02698	2.26683	5	3.36443
32000	-326.1993	-407.1562	80.95697	10	2.84717	0.000454658	0.0516578	0.168326	0.203929	0.0536805	0.0572898	0.0791961	0.0244728	0.235149	0.0718675	0.0639115	0.0458384	0.194834	0.117958	0.134226	0.00123526	0.269486	0.0525805	0.251517	0.188066	0.108814	0.112103	0.0769844	0.116205	0.0665383	0.164638	0.222194	0.0276849	0.327821	0.377082	0.722699	1.08165	1.81857	5	3.488658
