Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
32000	-87.68916	-123.3425	35.65337	10	2.938582	0.0519185	0.0150906	0.0258483	0.00838235	0.0595566	0.060429	0.109555	0.219068	0.0153574	0.0107915	0.0663998	0.0550157	0.0152932	0.185303	0.0893325	0.211434	0.198873	0.113714	0.0526083	0.00987234	0.0206255	0.384454	0.72807	1.0822	1.80528	5	1.594468
33000	-91.46113	-123.3569	31.89573	10	1.001094	0.0116789	0.0126404	0.0508019	0.011978	0.027603	0.117873	0.0414509	0.0837665	0.0272241	0.0452363	0.0744307	0.120561	0.00157729	0.0981642	0.112561	0.41696	0.00730759	0.0839121	0.199177	0.125782	0.251127	0.137172	0.47708	1.00018	2.38557	5	1.921815
34000	-95.66101	-129.2018	33.54076	10	0.8792495	0.00552267	0.00225338	0.0318014	0.0187139	0.0565742	0.119382	0.0518707	0.131484	0.0336573	0.0205719	0.0224904	0.0174925	0.0538444	0.43314	0.0867399	0.205824	0.0191398	0.0719119	0.195189	0.0560621	0.0125199	0.112277	0.437187	0.976707	2.47383	5	1.646186
35000	-98.37947	-128.5961	30.21666	10	1.509514	0.0154931	0.0980393	0.00311291	0.0204889	0.0402955	0.0499853	0.0657742	0.206278	0.00125247	0.0258399	0.0208161	0.0344254	0.11277	0.275969	0.265342	0.113611	0.236339	0.0773371	0.156083	0.0792477	0.0303384	0.226789	0.590132	1.05098	2.1321	5	1.928838
36000	-105.0558	-128.8636	23.8078	10	4.159421	0.0458567	0.224442	0.00343893	0.0739558	0.0923257	0.0755026	0.0777152	0.121032	0.0338655	0.00624163	0.107409	0.0443475	0.123991	0.01178	0.0449645	0.203901	0.0921108	0.108224	0.00488058	0.228553	0.243772	0.462911	0.780548	1.08434	1.6722	5	1.968309
37000	-90.60273	-121.6866	31.0839	10	0.7608587	0.0348734	0.0160927	0.000982617	0.0254181	0.00130524	0.0510122	0.0447956	0.0102914	0.00728658	0.0155728	0.111324	0.0155768	0.039059	0.214366	0.184784	0.197832	0.0303544	0.357092	0.0273291	0.122581	0.0380856	0.0872072	0.390885	0.94549	2.57642	5	1.546014
38000	-95.37145	-130.6392	35.26774	10	0.8295443	0.050451	0.0244942	0.0560461	0.0397659	0.0446156	0.0547866	0.0803985	0.262658	0.0263355	0.0195508	0.0407953	0.0220984	0.0285347	0.0059119	0.031961	0.186709	0.171767	0.222702	0.127516	0.0744449	0.116556	0.101828	0.418762	0.964817	2.51459	5	1.688099
39000	-93.66592	-128.4127	34.74674	10	0.8292784	0.00131821	0.0480857	0.126857	0.0112956	0.0265265	0.0384674	0.158341	0.07735	0.0192557	0.0195615	0.023973	0.0652715	0.00907153	0.135972	0.0505669	0.143378	0.320327	0.101982	0.0808791	0.0812438	0.000224503	0.101772	0.41866	0.964749	2.51482	5	1.539948
40000	-103.1454	-126.3053	23.15986	2	0.6614685	0.0158701	0.00703913	0.123123	0.00969796	0.00929341	0.161989	0.0228347	0.0160445	0.0121043	0.0235613	0.014169	0.0444069	0.140569	0.057576	0.189885	0.148046	0.0148117	0.139262	0.261068	0.0291048	0.378813	0.0659847	0.344768	0.909708	2.67954	4	1.819268
41000	-92.97279	-123.7476	30.77486	10	2.4607	0.0651199	0.0580091	0.00252612	0.0272928	0.0211919	0.178056	0.0119363	0.0202994	0.0639341	0.00317692	0.0448951	0.0328533	0.0437624	0.215816	0.0991315	0.0227696	0.0876294	0.168664	0.276372	0.126473	0.327075	0.342699	0.696493	1.07817	1.88264	5	1.896984
42000	-90.86502	-128.7003	37.83524	10	0.6157521	0.012816	0.00944037	0.00626735	0.0587547	0.0328813	0.00754152	0.0590185	0.111826	0.200558	0.00155482	0.0243192	0.0534152	0.0137315	0.0798859	0.0991221	0.070626	0.195649	0.118668	0.0468497	0.332468	0.0589935	0.0563723	0.320915	0.889147	2.73357	5	1.594386
43000	-114.843	-131.8914	17.04845	2	3.115787	0.0592432	0.0591112	0.0633657	0.0736464	0.0871386	0.0484477	0.480061	0.178958	0.00771354	0.0491585	0.0519818	0.0835386	0.01143	0.00979043	0.450225	0.159404	0.0975017	0.0148611	0.0534514	0.225808	0.0293544	0.398026	0.737744	1.08303	1.7812	4	2.29419
44000	-94.35898	-121.9384	27.57938	10	3.747068	0.00509682	0.026866	0.00382461	0.0347418	0.0240961	0.161779	0.0149664	0.0196683	0.131078	0.0168727	0.0863622	0.0841569	0.225297	0.164032	0.03208	0.0879413	0.255928	0.0829249	0.148713	0.264326	0.0076758	0.439904	0.765982	1.08435	1.70977	5	1.878427
45000	-99.26706	-125.9854	26.71837	2	1.034764	0.0218085	0.0287037	0.00593107	0.0941361	0.0206902	0.0605268	0.0708899	0.0157538	0.0210807	0.0104088	0.0450954	0.0156454	0.126674	0.0391113	0.319405	0.20915	0.118271	0.0554727	0.111209	0.0326729	0.0258717	0.143838	0.486957	1.00553	2.36368	4	1.448508
46000	-90.80141	-125.301	34.49957	10	0.5031152	0.0108795	0.026658	0.00112458	0.000278835	0.0524158	0.0205369	0.0327876	0.00697998	0.258604	0.0237758	0.0149023	0.0734	0.219524	0.0747284	0.0279506	0.114051	0.0227759	0.283167	0.0922664	0.197253	0.201308	0.0339666	0.253945	0.822522	2.88957	5	1.755369
47000	-90.35008	-122.4732	32.12309	10	0.2616362	0.01951	0.0154284	0.00329089	0.00916838	0.100548	0.146039	0.00335234	0.00358595	0.0778198	0.0238557	0.0435464	0.0314486	0.271929	0.0395013	0.0171291	0.0133159	0.0211328	0.0676754	0.249107	0.0323705	0.808258	0.002699	0.0752127	0.525391	3.3967	5	1.998013
48000	-102.066	-131.0829	29.01686	10	5.440581	0.0554749	0.0609036	0.00434141	0.16749	0.0947337	0.0079946	0.072101	0.0941503	0.0378081	0.00418783	0.0707907	0.0459728	0.0893316	0.0223553	0.235372	0.114775	0.384776	0.046984	0.0531021	0.116745	0.0414927	0.519407	0.813805	1.08246	1.58433	5	1.820882
