Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-474.1866	-523.5782	49.39161	10	1.419884	0.149378	0.178929	0.0891143	0.0303697	0.1644	0.0473343	0.0795847	0.0171223	0.0777448	0.00934016	0.00271637	0.0151073	0.0186839	0.0231065	0.00551852	0.0346906	0.23823	0.0510806	0.116258	0.134959	0.0547032	0.0994437	0.0215322	0.0995166	0.265498	0.0423221	0.111105	0.0601958	0.201732	0.524074	0.0421639	0.0519019	0.0190389	0.102716	0.0334631	0.0298622	0.0655763	0.0230804	0.0839701	0.151548	0.126591	0.109525	0.0677889	0.212677	0.574654	1.04535	2.16732	5	3.871016
21000	-469.7055	-523.7836	54.07817	10	0.9149811	0.251787	0.0214165	0.0247035	0.0164136	0.0592336	0.0242398	0.0939499	0.00795708	0.107702	0.0236745	0.254941	0.0518089	0.00799602	0.0529941	0.0606431	0.060562	0.114926	0.00481775	0.130556	0.137877	0.000391363	0.00342042	0.0552079	0.170803	0.382815	0.159887	0.268777	0.015433	0.0736375	0.00298897	0.0370154	0.150335	0.119771	0.0888853	0.183558	0.0679206	0.0940732	0.0147174	0.0711655	0.0358159	0.00772659	0.0608501	0.0265472	0.119694	0.449616	0.984349	2.44634	5	3.59994
22000	-470.8598	-530.2394	59.3796	10	1.911453	0.193571	0.0128191	0.148259	0.0198724	0.121048	0.0168259	0.0543309	0.0725644	0.0854077	0.0137866	0.0206715	0.00714759	0.0177998	0.00675554	0.00916017	0.0672975	0.0953702	0.0625968	0.12903	0.0922326	0.0457832	0.111589	0.0863828	0.0136116	0.054595	0.0902956	0.00813804	0.081275	0.0770881	0.0362614	0.225867	0.0617079	0.0880055	0.00916694	0.00834819	0.0594547	0.0918356	0.0578328	0.268545	0.206368	0.0265127	0.0217386	0.131572	0.282471	0.645255	1.06761	2.00467	5	3.10852
23000	-482.3615	-528.4471	46.08557	10	0.7027122	0.293534	0.0223894	0.0106844	0.000532605	0.0254543	0.250683	0.0431535	0.0516829	0.0710968	0.0219921	0.0391886	0.06954	0.0296935	0.0117229	0.00189425	0.0096842	0.0919777	0.0893388	0.22904	0.0951991	0.0133923	0.15805	0.0734555	0.226974	0.120834	0.00510761	0.143918	0.0263617	0.0410223	0.0456238	0.0799457	0.0389744	0.344869	0.351513	0.209137	0.0452249	0.087489	0.00907506	0.138061	0.0248279	0.0316191	0.0490721	0.0931457	0.0747677	0.364807	0.925869	2.63456	5	3.816174
24000	-461.454	-517.2247	55.77062	10	0.5964146	0.0869521	0.103083	0.154379	0.0634533	0.068223	0.100561	0.0316906	0.053505	0.0383999	0.0809889	0.0876058	0.0185804	0.0228528	0.0376967	0.00788502	0.00608016	0.0944466	0.0374094	0.126745	0.0642132	0.00564485	0.107797	0.0346719	0.175665	0.0387997	0.0379946	0.0350835	0.132322	0.0303899	0.0128263	0.13707	0.118046	0.076222	0.0618518	0.0038877	0.00530808	0.328296	0.182627	0.265152	0.00457527	0.0336641	0.103993	0.118419	0.0523694	0.310273	0.879479	2.75788	5	3.335058
25000	-482.2498	-530.5741	48.3243	10	0.7481102	0.252755	0.000322493	0.0269287	0.291525	0.019941	0.0344782	0.0141865	0.022549	0.109697	0.0197228	0.0161134	0.0826875	0.00223778	0.018598	0.0318476	0.150902	0.0524867	0.0135075	0.230877	0.0195561	0.016886	0.0895785	0.0512102	0.0606861	0.0868877	0.139999	0.351561	0.00216473	0.166407	0.206792	0.145601	0.00851358	0.154377	0.00583612	0.0243035	0.133335	0.201488	0.0120493	0.154201	0.12386	0.00279901	0.0886776	0.0501641	0.0844802	0.385373	0.941471	2.58868	5	3.688297
26000	-460.6332	-519.3432	58.71003	10	0.5985089	0.209487	0.0744195	0.0381601	0.190218	0.0402829	0.101968	0.099424	0.0302575	0.0499091	0.0202541	0.0400685	0.0685725	0.0264423	0.0236138	0.00422735	0.105715	0.0638995	0.00780338	0.112654	0.138627	0.0472502	0.0069823	0.0585274	0.00176237	0.205727	0.0333555	0.108505	0.00862186	0.0916489	0.0683538	0.0652375	0.0150245	0.160776	0.23557	0.0173546	0.147919	0.129252	0.015645	0.084364	0.0284384	0.151883	0.00587565	0.047666	0.0528007	0.311442	0.880556	2.7552	5	3.181743
27000	-468.6651	-517.0356	48.37058	10	4.869854	0.167695	0.00409457	0.167606	0.0465329	0.029184	0.0611705	0.048536	0.00216141	0.148523	0.022593	0.0203653	0.0503103	0.0122741	0.0142368	0.0523141	0.032824	0.0794377	0.0552915	0.462589	0.0248575	0.012572	0.131489	0.00177803	0.0211851	0.3233	0.163985	0.0840918	0.0666149	0.0098865	0.00719338	0.0270864	0.0703809	0.021119	0.0411391	0.0652568	0.0314593	0.0847681	0.0640146	0.127314	0.249086	0.115193	0.0228993	0.0473189	0.496581	0.800774	1.08352	1.61912	5	3.291727
28000	-474.9271	-521.3569	46.42978	10	1.802528	0.157728	0.0457539	0.0583687	0.106581	0.016619	0.0934785	0.155066	0.00689261	0.00797982	0.0666104	0.148648	0.019842	0.00616154	0.02286	0.00306388	0.23037	0.0744112	0.00940274	0.163911	0.0406557	0.0388466	0.069493	0.0145834	0.081235	0.432463	0.0703605	0.00737665	0.0194101	0.0513998	0.0121185	0.214261	0.0136463	0.139313	0.269253	0.00504011	0.120896	0.020341	0.17897	0.00500805	0.400186	0.0718455	0.0140033	0.00959748	0.268506	0.632226	1.06416	2.03511	5	3.694051
29000	-469.1484	-519.7906	50.64224	10	1.485318	0.155337	0.148101	0.141157	0.040739	0.0381625	0.194799	0.0109652	0.0464907	0.0421459	0.137061	0.0342694	0.04451	0.0194967	0.00346552	0.0131103	0.118383	0.028552	0.0791997	0.145922	0.0964568	0.0121041	0.0193684	0.0257619	0.0771499	0.148934	0.00426833	0.165598	0.00984335	0.0289864	0.0275589	0.00156575	0.206093	0.0159417	0.0910024	0.0310237	0.170938	0.282106	0.0730763	0.0362033	0.241934	0.0892294	0.0334732	0.0930843	0.223046	0.586094	1.04955	2.14131	5	3.423567
