Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
51000	-21.00414	-48.41046	27.40632	10	0.07887591	0.000373069	0.114636	0.0653613	0.200899	0.0719491	0.00352155	0.0226133	0.274166	0.123875	0.010787	0.0272337	0.0351812	0.159433	1.28971e-08	0.000169047	0.043473	3.95636	5	1.110029
52000	-33.30559	-48.87339	15.5678	2	2.094422	0.0822343	0.471315	0.122512	0.0531184	0.0698648	0.0795289	0.0173382	0.136289	0.297676	0.0705556	0.144891	0.0426214	0.0227252	0.304291	0.664693	1.07218	1.95883	4	1.610669
53000	-25.32535	-48.74421	23.41886	2	0.4499127	0.011133	0.0260134	0.0322267	0.19467	0.0310244	0.0314539	0.0178051	0.0510671	0.139059	0.0230887	0.122746	0.00549587	0.394318	0.024524	0.217966	0.780101	2.97741	4	1.080102
54000	-20.06398	-49.63667	29.57269	10	0.1663515	0.0250521	0.164548	0.506204	0.0429637	0.0130069	0.00892531	0.0267802	0.0231392	0.0228746	0.0462963	0.372458	0.147357	0.0153632	0.000131341	0.0168899	0.290418	3.69256	5	1.414969
55000	-23.82259	-50.84516	27.02257	10	1.588451	0.133473	0.0168763	0.14714	0.00970465	0.00505402	0.0162496	0.0343625	0.20125	0.304469	0.105931	0.017144	0.176144	0.212647	0.238669	0.602646	1.05522	2.10347	5	1.380445
56000	-18.94038	-46.1253	27.18493	10	0.1521289	0.0485794	0.118523	0.0346279	0.0874448	0.000565141	0.0454912	0.0135862	0.0879198	0.0750385	0.00361312	0.0901828	0.369329	0.303525	6.03878e-05	0.0114765	0.248238	3.74022	5	1.278425
57000	-24.45516	-52.75097	28.29581	10	1.53824	0.0778235	0.183725	0.0785578	0.144239	0.123749	0.130965	0.20363	0.0935661	0.157973	0.0104038	0.108212	0.126799	0.202401	0.23117	0.5948	1.05259	2.12144	5	1.642044
58000	-32.48838	-50.26095	17.77257	1	0.8877225	0.0592706	0.0400961	0.012908	0.156324	0.0329387	0.268221	0.0145341	0.0455628	0.0545171	0.111686	0.338729	0.107493	0.00294007	0.114044	0.440193	0.978584	2.46718	3	1.245221
59000	-32.02865	-50.92547	18.89683	2	0.08563008	0.0844767	0.0662101	0.110772	0.0324594	0.075577	0.0348791	0.135678	0.0769717	0.380029	0.103036	0.0115596	0.298458	0.0770715	5.15318e-08	0.000337713	0.0579373	3.94172	4	1.487178
60000	-22.31638	-51.22481	28.90844	10	0.3450674	0.0142609	0.332174	0.0199199	0.0430665	0.0291778	0.103969	0.0578748	0.0939369	0.0922004	0.0554745	0.225511	0.11579	0.095674	0.00965127	0.139715	0.664279	3.18635	5	1.27903
