Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-1823.389	-1886.819	63.43068	10	1.052015	0.210943	0.0906695	0.00166773	0.061184	0.00453409	0.0521053	0.0551125	0.0207927	0.0932458	0.206834	0.0873609	0.0167609	0.0440552	0.0653179	0.0445651	0.026735	0.0336398	0.0163546	0.0156332	0.0194131	0.184124	0.0080506	0.163291	0.086205	0.00375785	0.0433738	0.0104145	0.0636761	0.311751	0.176316	0.00986084	0.040484	0.151636	0.0564799	0.257988	0.354697	0.0202862	0.00234307	0.0359731	0.0522536	0.114247	0.0939643	0.326882	0.107731	0.0618083	0.1605	0.118793	0.0545339	0.157437	0.395007	0.0809088	0.0287491	0.028394	0.418072	0.166498	0.306461	0.0027339	0.00656377	0.0371069	0.0443539	0.417323	0.00209627	0.0406764	0.147214	0.491847	1.00811	2.35283	5	6.370728
21000	-1833.46	-1906.278	72.81765	10	1.522288	0.244547	0.048218	0.00446651	0.12105	0.00424697	0.0398728	0.049619	0.00802461	0.0403738	0.363051	0.0869791	0.048846	0.0378161	0.108082	0.034865	0.0526847	0.0746091	0.0310462	0.0290051	0.0160446	0.100603	0.0772486	0.335074	0.181598	0.068881	0.0228339	0.0977203	0.0836089	0.0596043	0.0853082	0.00637899	0.0640949	0.162192	0.0548927	0.0233425	0.479298	0.0547046	0.0249883	0.200072	0.0268991	0.170224	0.105977	0.0344961	0.0478583	0.0212884	0.154069	0.0757965	0.0937338	0.061229	0.369153	0.31385	0.0430952	0.148619	0.0333827	0.0448298	0.142833	0.105682	0.149906	0.14935	0.0127078	0.151798	0.0991511	0.0245649	0.228745	0.592225	1.0517	2.12733	5	6.206386
22000	-1829.857	-1897.327	67.46918	10	0.5794962	0.430686	0.104334	0.00520887	0.147356	0.00824688	0.0533327	0.0346043	0.00593085	0.00932903	0.146692	0.054599	0.145183	0.0247609	0.0734499	0.0254217	0.0238749	0.010834	0.0239134	0.0179085	0.00344447	0.0425859	0.0153181	0.0404286	0.114197	0.00389294	0.032252	0.0484869	0.0638937	0.0681951	0.086663	0.0507865	0.0307625	0.100607	0.105888	0.0671744	0.276262	0.0920209	0.181989	0.0624469	0.0976768	0.182385	0.0901651	0.0387182	0.00631589	0.0584931	0.170845	0.0508005	0.107134	0.170115	0.361722	0.344257	0.0107299	0.122874	0.0107982	0.0149304	0.32966	0.0876144	0.48057	0.0312544	0.0485187	0.00928231	0.357363	0.0231331	0.0489085	0.300681	0.870487	2.77992	5	6.038318
23000	-1833.944	-1887.701	53.75732	10	0.7331274	0.280784	0.132792	0.0184264	0.0610863	0.00145613	0.0294467	0.09385	0.0137505	0.125132	0.119734	0.0437924	0.0638722	0.0178246	0.175053	0.0149765	0.0513051	0.0177429	0.0798673	0.0299728	0.100838	0.066292	0.0133992	0.146506	0.224605	0.0169845	0.00388463	0.0225514	0.044236	0.257207	0.241254	0.0128737	0.0205043	0.118572	0.168618	0.0862463	0.0673396	0.325242	0.236696	0.529646	0.048372	0.249556	0.607457	0.0968567	0.05548	0.0132184	0.187587	0.0235818	0.286852	0.174793	0.081516	0.656707	0.0103004	0.138786	0.120397	0.0541824	0.0220875	0.0160552	0.285245	0.112882	0.228007	0.00977024	0.0350013	0.074525	0.0812737	0.37875	0.936552	2.60342	5	7.663575
24000	-1820.666	-1889.716	69.05028	10	1.509136	0.343044	0.0368787	0.00701477	0.0902532	0.00316548	0.0372948	0.0480052	0.0103144	0.0580653	0.12498	0.122649	0.0163539	0.124633	0.0855715	0.0564561	0.012977	0.0108443	0.0262845	0.00865282	0.0109023	0.0799106	0.0379258	0.0186784	0.207791	0.0708199	0.0114444	0.0580429	0.0184257	0.126695	0.0468161	0.036584	0.176883	0.150824	0.0968292	0.132357	0.00786558	0.0737314	0.113223	0.256063	0.258866	0.0599119	0.757525	0.0571198	0.206803	0.241909	0.19144	0.0447919	0.0472468	0.0606974	0.0678417	0.328285	0.0914522	0.0383462	0.100348	0.038588	0.0733787	0.0399382	0.355539	0.0352092	0.034374	0.0907344	0.0340728	0.0424307	0.22673	0.59007	1.05095	2.13225	5	6.252099
25000	-1837.159	-1892.816	55.65656	10	1.577023	0.292196	0.169478	0.0129199	0.0759919	0.0319483	0.0809909	0.0793418	0.0140574	0.0861733	0.169706	0.115356	0.00922029	0.0335853	0.00358515	0.0151938	0.0240501	0.0254528	0.0063207	0.0330781	0.00876082	0.0288247	0.0157633	0.107454	0.362052	0.0377277	0.0603486	0.161404	0.0442219	0.124632	0.128732	0.0360842	0.0417872	0.159095	0.114943	0.388729	0.00430574	0.0251792	0.059599	0.0909764	0.000631125	0.339097	0.413688	0.0694007	0.144515	0.229909	0.179421	0.140273	0.003899	0.0597532	0.035932	0.371171	0.0979136	0.155564	0.0262813	0.0415702	0.204814	0.0436506	0.198863	0.121008	0.0937367	0.103961	0.043474	0.227654	0.236979	0.600894	1.05464	2.10748	5	6.625443
26000	-1827.094	-1893.498	66.40381	10	1.305769	0.409907	0.065448	0.0408778	0.140656	0.0154682	0.050524	0.0155787	0.0157496	0.0208934	0.131502	0.203146	0.0276237	0.00752499	0.209633	0.0243108	0.0270944	0.0535143	0.094952	0.0399058	0.00667546	0.126494	0.0770981	0.191098	0.30598	0.0135206	0.0237965	0.0125659	0.016987	0.0663929	0.122061	0.0421164	0.107318	0.113685	0.126591	0.0291884	0.00496809	0.0344394	0.0470715	0.226151	0.159827	0.347751	0.73806	0.144705	0.319422	0.0966245	0.202712	0.0742421	0.0668974	0.053726	0.035682	0.245111	0.0724761	0.0670059	0.0583708	0.0223986	0.171871	0.161276	0.0588007	0.110699	0.0292087	0.0389502	0.0101726	0.145527	0.1937	0.552674	1.03664	2.21699	5	6.720024
27000	-1824.544	-1889.891	65.3464	10	1.37746	0.200252	0.128634	0.0152242	0.0711222	0.0268568	0.0468331	0.108198	0.0392266	0.0987965	0.168513	0.0858231	0.0269172	0.0356884	0.0196228	0.01698	0.0236531	0.0206351	0.0191602	0.0672235	0.0276327	0.0371066	0.0299118	0.352792	0.187408	0.118788	0.0266151	0.00888713	0.0201067	0.175892	0.0544527	0.00303663	0.0453047	0.131385	0.325456	0.0862824	0.0952328	0.0435052	0.226813	0.0860323	0.0543818	0.437935	0.891026	0.0753855	0.116444	0.0719747	0.168509	0.0735277	0.0202597	0.0674398	0.0740197	0.0932958	0.134125	0.136709	0.0312839	0.0285602	0.0960447	0.289215	0.000151758	0.301153	0.0358238	0.254561	0.00389027	0.00660951	0.205757	0.566802	1.04233	2.18511	5	6.764327
28000	-1835.72	-1898.467	62.74667	10	0.7970155	0.268536	0.0121923	0.00869022	0.107681	0.0075208	0.0418446	0.0334292	0.000815674	0.0241118	0.0372285	0.0856311	0.0353106	0.0358985	0.101039	0.0538573	0.0170104	0.0604238	0.0498276	0.0110896	0.0391553	0.0266567	0.0117788	0.280592	0.082156	0.00111145	0.0444348	0.0150464	0.0996959	0.17658	0.178767	0.00154492	0.0598819	0.0959085	0.0818552	0.0697598	0.028802	0.103222	0.192015	0.0604165	0.00433703	0.144568	0.62689	0.149119	0.241804	0.480301	0.160752	0.0182612	0.0185436	0.146319	0.0703175	0.0944248	0.0137391	0.231114	0.0625447	0.0267273	0.044217	0.0807596	0.0202858	0.0450327	0.0553057	0.367979	0.0450217	0.241483	0.0949235	0.40593	0.956124	2.54302	5	6.031366
29000	-1822.78	-1884.551	61.77045	10	1.594669	0.510726	0.145246	0.00730039	0.0836439	0.00311646	0.0467998	0.0872835	0.0542874	0.101941	0.255411	0.047384	0.0156077	0.0340309	0.0737831	0.0314544	0.0353323	0.0411907	0.023365	0.0575419	0.0140199	0.101052	0.0265024	0.0533008	0.187673	0.00238997	0.0295705	0.0432823	0.0223333	0.0421628	0.133495	0.0406466	0.14283	0.120244	0.0726349	0.0328394	0.0691823	0.0342408	0.151622	0.503548	0.075224	0.599718	0.624231	0.150347	0.264611	0.244426	0.179293	0.10764	0.00535576	0.0361575	0.100579	0.0076472	0.0268987	0.0229022	9.14899e-05	0.201406	0.139672	0.0546566	0.00788336	0.323947	0.00723802	0.235447	0.205399	0.0762613	0.239583	0.603591	1.05553	2.1013	5	7.176048
