Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
38000	147.6427	-493.0266	640.6693	0.05	0.908054	0.0602135	0.0747445	0.174254	0.00948453	0.0558365	0.0512234	0.00280407	0.0955647	0.198775	0.0603867	0.0595159	0.00957075	0.255095	0.020152	0.310295	0.505665	0.309173	0.34852	0.333877	0.118263	0.447257	0.982922	2.45156	1	2.93515
39000	155.1659	-492.1901	647.356	0.05	0.0756145	0.0472109	0.057793	0.0542995	0.0213611	0.0533751	0.0251191	0.0285169	0.0907777	0.040037	0.0483187	0.00655008	0.40909	0.296389	0.00671254	0.0923822	0.260579	0.185475	0.0148585	0.0395019	6.04636e-09	0.000115779	0.0371518	3.96273	1	1.778348
40000	162.5876	-488.6777	651.2653	0.05	0.3195452	0.0705811	0.0256144	0.0378667	0.0181328	0.0373175	0.0548598	0.0436451	0.0104538	0.0281065	0.00610768	0.0420179	0.215171	0.0858708	0.216041	0.137464	0.1026	0.172404	0.126345	0.665177	0.00701409	0.11976	0.627212	3.24601	1	2.095776
41000	162.6854	-488.7788	651.4642	0.05	0.1662443	0.189061	0.156437	0.116116	0.00764117	0.101257	0.004945	0.0187968	0.0294041	0.00625961	0.0469179	0.0365344	0.152188	0.0392144	0.122005	0.264238	0.131138	0.413392	0.0848939	0.256207	0.000130639	0.016845	0.290105	3.69292	1	2.176646
42000	162.7518	-492.3286	655.0803	0.05	0.1992438	0.265704	0.0554025	0.0323042	0.0842592	0.00708962	0.0702358	0.0306742	0.0666505	0.065524	0.0267239	0.000674377	0.145342	0.11039	0.0408144	0.0596641	0.175828	0.859897	0.0308228	0.223168	0.000517459	0.0333404	0.381681	3.58446	1	2.351171
43000	155.3992	-495.2959	650.6952	0.05	0.1324859	0.214248	0.0769568	0.0146609	0.0692137	0.0630604	0.0167273	0.00905321	0.0492379	0.00239767	0.0210657	0.0600426	0.146538	0.0850612	0.0822413	0.051286	0.0994754	0.45442	0.0154745	0.185692	1.56846e-05	0.00586386	0.188615	3.80551	1	1.716852
44000	147.1859	-495.1571	642.343	0.05	0.3267839	0.0302429	0.15988	0.0546603	0.00106757	0.00481719	0.176051	0.0934939	0.118047	0.0266923	0.0495399	0.01022	0.173429	0.556147	0.221414	0.048039	0.299977	0.222822	0.133657	0.307139	0.00771758	0.125427	0.638159	3.2287	1	2.687335
45000	153.9784	-489.1193	643.0977	0.05	0.2375306	0.00351139	0.0468534	0.0527583	0.00894384	0.124636	0.0117612	0.000278444	0.109733	0.0134688	0.0378108	0.0047649	0.192453	0.0774901	0.541665	0.0851823	0.258309	0.0258193	0.348809	0.139126	0.00158066	0.0578444	0.474441	3.46613	1	2.083373
46000	162.1507	-486.8001	648.9508	0.05	0.5867153	0.204672	0.170685	0.00975546	0.0557164	0.00520981	0.0588739	0.012545	0.0310225	0.0486558	0.106716	0.00607942	0.189424	0.19377	0.191025	0.247075	0.594861	0.0910386	0.0121397	0.0637129	0.0503801	0.304807	0.874387	2.77043	1	2.292977
47000	156.8267	-491.9738	648.8005	0.05	1.203576	0.163754	0.0855852	0.0658733	0.0459068	0.0495933	0.0393413	0.0294717	0.0945701	0.130185	0.107321	0.0279179	0.43504	0.545684	0.0829876	0.0328718	0.00958412	0.224666	0.173063	0.366489	0.1757	0.530421	1.02696	2.26691	1	2.709905
48000	147.5198	-487.0975	634.6174	0.05	0.4602419	0.111987	0.0013384	0.0560343	0.0107627	0.00752856	0.072137	0.0268042	0.0266818	0.0105596	0.0666087	0.00122723	0.105374	0.160332	0.251477	0.176996	0.213287	0.188087	0.396314	0.107471	0.0262773	0.22517	0.789035	2.95952	1	1.991007
49000	143.4484	-489.5263	632.9747	0.05	0.06982155	0.0211819	0.0963228	0.0169159	0.00433933	0.0617097	0.0246238	0.0115789	0.0634501	0.0298614	0.0134032	0.0192057	0.0626229	0.141141	0.0133756	0.0670472	0.175677	0.0179591	0.449942	0.00296582	1.3222e-09	5.4168e-05	0.0271034	3.97284	1	1.293324
50000	170.4322	-484.9021	655.3343	0.05	0.1955446	0.113846	0.0125668	0.0308215	0.0217078	0.0626854	0.0349737	0.00535849	0.155812	0.0523932	0.0265462	0.00540915	0.214858	0.140599	0.167813	0.173828	0.343727	0.486389	0.0480675	0.610704	0.000453868	0.0312453	0.37193	3.59637	1	2.708106
