Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-2026.07	-2146.362	120.2923	10	2.453849	0.08833	0.015353	0.0113001	0.0122912	0.00940352	0.00255904	0.145433	0.0548235	0.0134484	0.0774355	0.163185	0.127582	0.0143888	0.0252883	0.00748707	0.0378966	0.00491274	0.00985339	0.0122758	0.00724395	0.0102764	0.00561826	0.107057	0.0841218	0.317471	1.20524	0.106079	0.0576154	0.0438355	0.0726422	0.322786	0.0133075	0.00832674	0.0293069	0.0193957	0.0304323	0.0462852	0.0282394	0.11889	0.174161	0.258596	0.263006	0.0309899	0.00320737	0.0136385	0.274988	0.0146026	0.187727	0.453076	0.342037	0.695969	1.07808	1.88391	5	5.141409
21000	-2027.523	-2146.99	119.4671	10	2.008537	0.0872477	0.0618056	0.017351	0.00270824	0.0161261	0.0252989	0.158222	0.0163561	0.0114336	0.00137097	0.352427	0.127334	0.0161604	0.0393867	0.0235395	0.0103266	0.0246274	0.0233063	0.000670276	0.0020756	0.00517549	0.000911047	0.119922	0.0171699	0.038297	0.910176	0.041797	0.165688	0.103297	0.0724456	0.468202	0.0223751	0.0305276	0.00603749	0.167795	0.00746528	0.0186722	0.0484754	0.102059	0.0979339	0.253136	0.312644	0.0771133	0.0907403	0.0297819	0.451953	0.0953483	0.221226	0.235243	0.294292	0.655918	1.0702	1.97959	5	5.22938
22000	-2043.951	-2149.223	105.2728	10	2.402983	0.116389	0.0511821	0.0185811	0.00708687	0.00719545	0.0036353	0.260151	0.0280052	0.0146692	0.00194759	0.292004	0.0727604	0.0132161	0.0434772	0.0255871	0.0810669	0.00272606	0.0130814	0.0221639	0.0211104	0.0211753	0.00855518	0.0955205	0.094877	0.26204	0.525514	0.129571	0.167932	0.105386	0.0348264	0.00486297	0.0364515	0.0118247	0.021974	0.204159	0.0504076	0.0577511	0.049995	0.0994228	0.135594	0.614053	0.259874	0.0460537	0.0734055	0.0355912	0.285891	0.0444905	0.254819	0.318497	0.337061	0.692002	1.07744	1.8935	5	5.146552
23000	-2035.078	-2150.287	115.2094	10	2.137669	0.057903	0.0654045	0.0278696	0.00331525	0.00907979	0.0013401	0.275598	0.0230371	0.0337473	0.0711555	0.149484	0.0555473	0.05547	0.0302357	0.0352229	0.0642749	0.00715283	0.0207962	0.0222994	0.0239415	0.0304462	0.0211912	0.122682	0.0407474	0.161169	0.633524	0.0645258	0.10538	0.069106	0.0792729	0.101916	0.019833	0.000453139	0.00313907	0.162945	0.0679298	0.0272079	0.0469833	0.00372809	0.118676	0.441335	0.220609	0.0121906	0.0868444	0.13201	0.473358	0.015204	0.250333	0.220506	0.309172	0.668898	1.07308	1.94885	5	4.766121
24000	-2027.699	-2139.385	111.6862	10	2.536099	0.163669	0.0751257	0.00936509	0.00192541	0.000461354	0.0158172	0.232407	0.0500128	0.00302796	0.0130308	0.530795	0.195413	0.0275833	0.0184142	0.0220368	0.0107485	0.0282569	0.00546445	0.0102808	0.0342477	0.0165723	0.0163607	0.0783178	0.0129191	0.1482	0.769275	0.0391581	0.110902	0.0100347	0.0361292	0.109489	0.12048	0.0523997	0.0327512	0.215364	0.0756165	0.0127113	0.0696378	0.181565	0.211591	0.645756	0.280494	0.0176717	0.059273	0.0271795	0.708425	0.000403804	0.165651	0.0603969	0.349853	0.70211	1.07903	1.86901	5	5.732809
25000	-2018.86	-2138.337	119.4766	10	2.592524	0.062982	0.17051	0.011587	0.000772844	0.00789518	0.00104405	0.133086	0.0270881	0.0244575	0.000802958	0.233635	0.0925953	0.0373184	0.0344138	0.00990842	0.0251608	0.0172527	0.00328963	0.00803079	0.00112265	0.020499	0.00084065	0.112871	0.0463232	0.405205	0.675889	0.118046	0.160741	0.0322398	0.0293157	0.0510179	0.0832696	0.0645127	0.000460133	0.429492	0.0350145	0.00730075	0.0375822	0.0671254	0.161446	0.00933121	0.364053	0.0274307	0.0632851	0.0595409	0.287123	0.0631401	0.183328	0.152105	0.355057	0.70614	1.0796	1.8592	5	4.651481
26000	-2023.01	-2139.782	116.7718	10	2.921202	0.0527222	0.078471	0.00370484	0.00331545	0.00983877	0.00291748	0.110126	0.0366039	0.0165833	0.00759671	0.500996	0.10763	0.023497	0.0328691	0.0294548	0.0182543	0.00833758	0.00378021	0.00575664	0.0291863	0.0174486	0.0057809	0.0903201	0.0454308	0.175265	0.926159	0.0691479	0.120278	0.0767473	0.0440524	0.0336435	0.0245355	0.0529548	0.00685038	0.445579	0.0202761	0.0196286	0.0144026	0.112787	0.154837	0.139111	0.138424	0.0330422	0.0457895	0.0241105	0.334162	0.0474256	0.110498	0.0612767	0.383073	0.72707	1.0821	1.80776	5	4.471605
27000	-2035.564	-2136.922	101.3587	10	3.635154	0.0612742	0.111459	0.00125682	0.00630733	0.0112907	0.00139277	0.157971	0.0617572	0.0154606	0.0052696	0.44593	0.129243	0.00334626	0.027981	0.0123471	0.0184927	0.0230954	0.011378	0.0285551	0.014624	0.0382581	0.0165891	0.100442	0.0578104	0.023362	1.05783	0.100449	0.180284	0.0319005	0.0572944	0.00295594	0.0252915	0.0182101	0.0225089	0.238237	0.0119928	0.0181508	0.0340043	0.100078	0.145715	0.698509	0.308207	0.0428987	0.0521657	0.0771002	0.529366	0.0332158	0.202401	0.132275	0.433123	0.761566	1.08426	1.72106	5	5.505931
28000	-2038.091	-2166.133	128.0423	10	2.729568	0.0567363	0.0439023	0.0124363	0.00905786	0.0194444	0.0191884	0.186038	0.00923423	0.0243679	0.021437	0.172749	0.0420669	0.043347	0.0357579	0.0311125	0.0492559	0.0263784	0.0549165	0.0185118	0.0126848	0.0931563	0.00332671	0.081909	0.060825	0.224513	0.61476	0.0822991	0.0890331	0.0199578	0.0199011	0.00435838	0.0669873	0.0412979	0.0313811	0.376231	0.00314844	0.105895	0.027944	0.0237031	0.000758367	0.147721	0.200001	0.0391722	0.122165	0.0247181	0.248957	0.0646035	0.105615	0.362765	0.367195	0.715363	1.08081	1.83663	5	4.175727
29000	-2024.069	-2143.921	119.853	10	3.499438	0.0312495	0.0573072	0.000661292	0.00572716	0.00133336	0.00581446	0.206809	0.0356393	0.0490194	0.0962672	0.0338836	0.149284	0.0308408	0.0645455	0.00809966	0.0129094	0.0289083	0.00996136	0.0111565	0.00900271	0.0177831	0.0137482	0.143008	0.000472483	0.0988446	0.590724	0.0477024	0.0407796	0.0523844	0.0137425	0.092004	0.0434263	0.0536556	0.0048172	0.0846603	0.0386975	0.204099	0.284369	0.0927528	0.0513418	0.423472	0.264964	0.0307439	0.0225105	0.0487824	0.411609	0.0761381	0.183283	0.502882	0.424554	0.755902	1.08407	1.73547	5	4.781817
