Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
38000	-26.22219	-44.66688	18.44469	1	0.9608637	0.0325681	0.0265866	0.0377027	0.036254	0.0549738	0.044739	0.273091	0.0383339	0.0108268	0.00303335	0.180914	0.254486	0.0535421	0.0182313	0.143629	0.404838	0.0803444	0.0646448	0.0264178	0.12908	0.464664	0.9932	2.41306	3	1.785156
39000	-12.08222	-43.56246	31.48024	10	0.3788742	0.0593934	0.0756101	0.0105373	0.108544	0.0605029	0.00594014	0.0349999	0.18729	0.0477508	0.0622325	0.00242545	0.14735	0.48124	0.0106879	0.0337372	0.026881	0.0965676	0.0711436	0.0291107	0.0137884	0.165807	0.707369	3.11304	5	1.551944
40000	-37.27949	-45.96906	8.689564	1	0.9373284	0.0159225	0.0221906	0.0789793	0.241345	0.333997	0.0339279	0.00414704	0.00751904	0.0468318	0.0400412	0.527594	0.12064	0.261917	0.334845	0.268439	0.112424	0.166987	0.026188	0.119087	0.124286	0.457068	0.988786	2.42986	3	2.763023
41000	-18.32355	-44.25449	25.93095	10	1.486462	0.0800197	0.0407231	0.115469	0.152184	0.156183	0.0162	0.0222361	0.053497	0.0727962	0.0367775	0.0509923	0.0635668	0.0344089	0.173931	0.0380401	0.610975	0.154347	0.0541669	0.0894992	0.223224	0.586287	1.04962	2.14087	5	2.016013
42000	-10.10774	-43.07537	32.96763	10	0.2812836	0.0651208	0.146342	0.0290931	0.116299	0.0877656	0.148962	0.0323365	0.0097648	0.0819558	0.145146	0.0230045	0.11192	0.2352	0.0110646	0.184173	0.120134	0.0152845	0.012649	0.0456502	0.00390017	0.0900388	0.56299	3.34307	5	1.621865
43000	-4.972954	-39.11171	34.13876	10	1.031692	0.125578	0.041536	0.109046	0.0123463	0.00611739	0.0153169	0.00182875	0.0494591	0.10095	0.054915	0.297131	0.087399	0.0836295	0.105089	0.188337	0.104803	0.0108311	0.130457	0.323128	0.143234	0.486075	1.00506	2.36563	5	1.847898
44000	-22.50178	-43.49589	20.99411	10	5.853365	0.0141473	0.0422493	0.0273306	0.0216981	0.0392136	0.30572	0.179358	0.117899	0.104512	0.00665211	0.129651	0.488568	0.0616165	0.00278221	0.226769	0.0377291	0.0636808	0.217186	0.150279	0.534075	0.821907	1.08158	1.56243	5	2.237042
45000	-10.31314	-44.6914	34.37827	10	0.4576275	0.143166	0.160558	0.0993465	0.000166623	0.167058	0.00345698	0.0216116	0.0233674	0.0656383	0.053622	0.0578112	0.0168717	0.0886037	0.0442086	0.21866	0.132296	0.0689894	0.0713841	0.0381619	0.0258295	0.223357	0.786808	2.96401	5	1.474979
46000	-12.2116	-43.34303	31.13143	10	1.265493	0.0529268	0.110487	0.0759936	0.263219	0.134924	0.145604	0.00147175	0.0353291	0.071679	0.0263755	0.123307	0.149975	0.184356	0.0270501	0.0481319	0.0146829	0.0656454	0.139507	0.144681	0.186721	0.54422	1.03307	2.23599	5	1.815348
47000	-38.62895	-46.10878	7.479833	1	6.795549	0.0362128	0.128302	0.00436235	0.0281727	0.0197158	0.154102	0.021646	0.0105327	0.0944789	0.231817	0.11935	0.13725	0.0759804	0.0219913	0.224243	0.300096	0.0737377	0.403505	0.212679	0.563003	0.837298	1.07943	1.52027	3	2.298174
