Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
22000	-143.177	-202.688	59.51092	10	2.003938	0.00797769	0.0205043	0.042226	0.0339552	0.0145767	0.0622955	0.0362902	0.0925764	0.115354	0.0783697	0.00383791	0.0265603	0.0926273	0.0220933	0.00913999	0.0527145	0.0806461	0.0185459	0.0148601	0.0457652	0.060417	0.0359526	0.0426063	0.0734008	0.122351	0.254512	0.00985712	0.0697915	0.376871	0.0868522	0.308442	0.0629901	0.0707859	0.293744	0.655432	1.07009	1.98074	5	2.445747
23000	-153.0632	-195.1763	42.11305	10	3.848746	0.137287	0.051825	0.0888051	0.00207298	0.210742	0.298071	0.164132	0.167099	0.0495707	0.0410355	0.0294132	0.00999867	0.03147	0.00725974	0.0154325	0.0702143	0.0659107	0.106383	0.0629789	0.014479	0.209099	0.0423342	0.191525	0.073574	0.116892	0.34518	0.206168	0.00958395	0.190226	0.121081	0.156474	0.0127653	0.417795	0.445855	0.769811	1.08439	1.69994	5	3.716876
24000	-159.5796	-204.72	45.14043	10	1.568868	0.492523	0.0497629	0.0695953	0.0450221	0.278888	0.193563	0.133723	0.0382134	0.0302598	0.0122483	0.0884726	0.0516846	0.0394162	0.0690112	0.0266809	0.0355437	0.0557443	0.0937645	0.0343537	0.156707	0.147612	0.0140667	0.0545809	0.0924848	0.102221	0.00929202	0.017572	0.00863865	0.464637	0.155479	0.0340952	0.330538	0.188509	0.235768	0.599632	1.05422	2.11038	5	3.614906
25000	-162.4394	-207.205	44.7656	10	1.383459	0.290051	0.0188946	0.0757747	0.0130924	0.0246761	0.0426572	0.0650645	0.114044	0.0474781	0.0778989	0.0705029	0.0266553	0.10268	0.0246441	0.0347125	0.00212032	0.105153	0.141184	0.0691404	0.187658	0.00508051	0.10634	0.0649589	0.11024	0.0563154	0.218179	0.196929	0.0375313	0.0286137	0.874566	0.198098	0.00953884	0.232526	0.206745	0.567934	1.04278	2.18255	5	3.673
26000	-148.9849	-202.0905	53.1056	10	1.332206	0.088279	0.00582122	0.0746074	0.0382177	0.0661812	0.258243	0.0604025	0.0768702	0.135445	0.0387917	0.0907175	0.0701476	0.18372	0.00116168	0.0265661	0.0354491	0.117221	0.0105886	0.0251677	0.0890523	0.287962	0.239499	0.11519	0.0202963	0.0915837	0.171502	0.342467	0.111262	0.0952051	0.0121318	0.227308	0.0724201	0.0131028	0.1982	0.558016	1.03883	2.20495	5	3.292582
27000	-169.6445	-208.6645	39.02009	2	1.01606	0.180732	0.0286131	0.0390357	0.0096773	0.0451158	0.0684011	0.121507	0.0540922	0.137212	0.0246591	0.0109299	0.0475511	0.0799967	0.0698798	0.0112423	0.0596701	0.0482046	0.00684905	0.0382048	0.0140906	0.0651441	0.064892	0.0897238	0.0346341	0.26631	0.0108862	0.0498593	0.0217083	0.035963	0.417918	0.0812742	0.0324618	0.201279	0.140147	0.481526	1.00261	2.37572	4	2.467718
28000	-141.3222	-194.0315	52.70924	10	2.304802	0.183753	0.00662408	0.0604076	0.00769575	0.0628587	0.28453	0.272056	0.0698586	0.274631	0.11479	0.0131142	0.00876494	0.052118	0.00284275	0.00672639	0.00177667	0.0429087	0.0324866	0.00296926	0.0597366	0.249812	0.000292105	0.0673514	0.179377	0.124445	0.144396	0.050733	0.287705	0.00384287	0.00631304	0.0609479	0.00820807	0.00541071	0.327133	0.68395	1.07603	1.91288	5	2.749481
29000	-164.1436	-201.4068	37.26321	10	1.057165	0.0223006	0.0198863	0.178259	0.0433681	0.083624	0.137331	0.100488	0.316709	0.152731	0.0141347	0.120852	0.130709	0.00734272	0.0356521	0.00455619	0.0358353	0.143575	0.0641679	0.080876	0.0950422	0.307218	0.133936	0.0623313	0.255398	0.000355513	0.367732	0.147192	0.672025	0.249239	0.0129022	0.350469	0.0217138	0.249642	0.148217	0.493285	1.00886	2.34964	5	4.617592
30000	-147.0464	-199.6875	52.64107	10	3.378188	0.0112951	0.0529747	0.12394	0.0459906	0.0680807	0.185784	0.132228	0.114871	0.076882	0.00689799	0.0426482	0.0270807	0.0372845	0.0586131	0.0332781	0.0525289	0.0245897	0.0446098	0.0762285	0.0556541	0.0248658	0.0778682	0.100982	0.135922	0.178556	0.135471	0.0353714	0.0219106	0.20733	0.0183806	0.0148139	0.134303	0.392003	0.416557	0.750528	1.08384	1.74908	5	2.749238
31000	-149.6789	-196.8211	47.14213	10	1.053152	0.0708707	0.100699	0.038518	0.0656529	0.037685	0.284781	0.223173	0.00863204	0.0541527	0.0512623	0.0491554	0.0842401	0.00475414	0.0382868	0.0510821	0.0610563	0.0498335	0.113565	0.111836	0.173553	0.018954	0.0118603	0.635221	0.105188	0.368395	0.0618759	0.188672	0.00593021	0.0924221	0.0816757	0.00160277	0.203223	0.0663753	0.147436	0.492165	1.00828	2.35212	5	3.514183
32000	-136.3022	-199.9563	63.65404	10	0.6690118	0.155868	0.0351348	0.0235003	0.00423468	0.0244712	0.182095	0.00430146	0.0462066	0.046315	0.0186887	0.00323736	0.0851505	0.0075798	0.0305186	0.0571219	0.0327708	0.114684	0.0247965	0.0311222	0.025961	0.109057	0.0765101	0.0126522	0.0440539	0.13679	0.0209673	0.153206	0.0929944	0.0930935	0.0492958	0.376282	0.264416	0.0410174	0.0675854	0.348535	0.912821	2.67106	5	2.424092
33000	-142.3586	-198.6208	56.26218	10	0.9433252	0.0408791	0.0417089	0.0364294	0.0829779	0.0137493	0.0602826	0.113489	0.096753	0.0284978	0.0166504	0.0339212	0.00911744	0.0209516	0.0258865	0.0321833	0.0765766	0.0433088	0.0678431	0.0898503	0.0882757	0.00689858	0.159571	0.0338943	0.00874172	0.376915	0.214724	0.167841	0.00224635	0.170475	0.159445	0.0975235	0.132354	0.251284	0.125512	0.459028	0.989935	2.42553	5	2.801245
34000	-142.2802	-194.4794	52.19923	10	1.190225	0.0664126	0.057719	0.000731575	0.0215682	0.0786907	0.295169	0.213768	0.0460869	0.059008	0.0232016	0.0652508	0.0272424	0.0813261	0.0331666	0.0277441	0.0496528	0.00563691	0.0960825	0.151789	0.0589139	0.00748014	0.0336108	0.158266	0.0682565	0.0707376	0.0573976	0.238729	0.0304097	0.209641	0.0357955	0.424909	0.0525842	0.054836	0.173277	0.527309	1.02554	2.27387	5	2.901814
35000	-131.7728	-193.7915	62.01867	10	0.9226655	0.141265	0.0191097	0.0930824	0.000563835	0.0296887	0.0542945	0.146616	0.0101913	0.0560206	0.0547629	0.0102893	0.039241	0.00301254	0.0459107	0.0433864	0.102008	0.0466103	0.0512667	0.0216335	0.0965361	0.035495	0.010644	0.269558	0.0231256	0.352931	0.0890337	0.126999	0.0501724	0.240987	0.0570451	0.00535391	0.14435	0.187053	0.121277	0.452206	0.985903	2.44061	5	2.658237
