Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
22000	-703.3256	-724.2686	20.94301	10	1.575459	0.0544237	0.0919425	0.0575433	0.254455	0.154831	0.040428	0.095746	0.0912568	0.216429	0.0439148	0.028236	0.05656	0.0928986	0.16757	0.0139176	0.04187	0.00255629	0.0389693	0.0858617	0.0191113	0.0333552	0.0205735	0.133229	0.00228074	0.109399	0.03019	0.0243717	0.000794731	0.190217	0.152695	0.0422315	0.049921	0.0141463	0.0129465	0.0639794	0.445518	0.179549	0.194405	0.127592	0.22936	0.0138861	0.00114214	0.147949	0.293376	0.0726357	0.00975566	0.0637201	0.150521	0.265445	0.0450482	0.0201351	0.236747	0.600653	1.05456	2.10804	5	4.788888
23000	-695.9526	-717.4485	21.49591	10	1.754937	0.0705763	0.0701372	0.0855658	0.282605	0.0769154	0.00926679	0.0124203	0.0374541	0.115902	0.0596882	0.0119791	0.0071174	0.0190112	0.105337	0.0268967	0.236472	0.00596627	0.029521	0.00941612	0.0146169	0.146908	0.0370356	0.0123201	0.000850787	0.0589066	0.00209559	0.0189005	0.0238005	0.151212	0.0490676	0.0352444	0.0469963	0.0756822	0.354371	0.0803672	0.532492	0.397339	0.0727358	0.150998	0.00232963	0.0908283	0.0707518	0.027276	0.0833935	0.0262706	0.364471	0.000384134	0.052163	0.0771244	0.0712846	0.12932	0.262157	0.626138	1.06245	2.04926	5	4.529786
24000	-711.4743	-726.8996	15.42524	10	1.145273	0.184989	0.0535917	0.0265217	0.302043	0.0288043	0.19274	0.0327633	0.0516724	0.0585118	0.0232385	0.0588752	0.0950066	0.0176205	0.116644	0.0073749	0.0513785	0.0122264	0.0365723	0.105703	0.00378217	0.0517362	0.0628193	0.0216315	0.0151975	0.0209959	0.0471167	0.0942758	0.053614	0.0617953	0.154094	0.229168	0.304402	0.175556	0.00549923	0.0207225	0.868881	0.0533825	0.121993	0.0120055	0.0290898	0.00283992	0.0282578	0.164659	0.334307	0.0490738	0.169083	0.0590264	0.00448096	0.132974	0.0445567	0.0705049	0.164995	0.516449	1.02044	2.29811	5	4.923798
25000	-698.7894	-726.0068	27.21733	10	1.375748	0.140777	0.0157207	0.0124205	0.195748	0.196491	0.0182455	0.0769283	0.0938235	0.106419	0.0653755	0.0841935	0.0248396	0.000305785	0.0365676	0.0264357	0.0241352	0.00695202	0.0390684	0.0756628	0.0427056	0.0719848	0.122363	0.0197922	0.025065	0.0539972	0.0363396	0.0355261	0.0824387	0.128723	0.276221	0.00762998	0.200493	0.192982	0.0106676	0.0339178	0.323971	0.0147124	0.245007	0.0121296	0.0620331	0.213301	0.168985	0.00356042	0.0553813	0.108556	0.107564	0.0010867	2.91647e-05	0.0698353	0.0937314	0.0958186	0.205474	0.566478	1.04221	2.18584	5	4.156658
26000	-703.062	-721.1703	18.10826	10	3.012472	0.0899877	0.00664443	0.00732981	0.226468	0.0354603	0.0114251	0.157194	0.0330759	0.157291	0.0232273	0.00128805	0.0226048	0.087006	0.0262226	0.00239637	0.0345187	0.00763754	0.0335457	0.215437	0.0126149	0.0194977	0.127506	0.0442218	0.00712656	0.0795054	0.0232672	0.0571156	0.0034607	0.138201	0.420282	0.126101	0.206641	0.129969	0.0397043	0.0676894	0.694335	0.115125	0.0306922	0.102541	0.00633494	0.506937	0.216836	0.0198246	0.00352763	0.0706203	0.00793017	0.0331449	0.0692275	0.108996	0.251333	0.114231	0.390224	0.732216	1.08258	1.79498	5	5.033301
27000	-717.5132	-734.6558	17.14259	10	0.6291814	0.0523799	0.0854941	0.0294752	0.243984	0.111437	0.12861	0.0184556	0.00425475	0.12994	0.0161165	0.0498987	0.0639672	0.319089	0.0206558	0.0312661	0.0571365	0.00802689	0.0018971	0.135878	0.00757399	0.188564	0.0267457	0.00614472	0.0471343	0.0635152	0.00758768	0.0116562	0.0598226	0.41757	0.25279	0.0596635	0.322074	0.114581	0.032897	0.142669	0.240023	0.108102	0.0200664	0.11926	0.0373608	0.404503	0.10206	0.00220327	0.017941	0.0593286	0.046372	0.0192306	0.185188	0.121417	0.076672	0.00409881	0.0591771	0.328109	0.895506	2.71721	5	4.832777
28000	-725.9067	-737.4565	11.5498	10	2.005564	0.00122355	0.0388682	0.0526583	0.202126	0.0872801	0.0219907	0.161198	0.0232219	0.165234	0.160442	0.0900605	0.172631	0.08159	0.0804603	0.0198703	0.0521038	0.0217345	0.157098	0.0349408	0.0423229	0.0369174	0.0151046	0.000575242	0.0543333	0.0905668	0.0245512	0.0280216	0.0633564	0.10475	0.193212	0.0184007	0.01844	0.402994	0.097865	0.00646142	0.32559	0.0218705	0.0618336	0.0702882	0.00122539	0.370027	0.0270039	0.367207	0.0704052	0.355296	0.029342	0.14388	0.147834	0.0169472	0.295886	0.10088	0.293938	0.655604	1.07013	1.98033	5	5.228119
29000	-716.3334	-730.899	14.56565	10	1.487591	0.0329716	0.0391524	0.14663	0.238149	0.191528	0.0125874	0.0666659	0.073553	0.162439	0.0867784	0.0639575	0.0110304	0.102488	0.0416818	0.0997228	0.0348323	0.0123083	0.08941	0.0104771	0.00481601	0.00473631	0.0842867	0.000963671	0.0155698	0.00679153	0.0053582	0.0560411	0.496382	0.0507775	0.0118792	0.283078	0.0596408	0.188113	0.13246	0.109167	0.477457	0.15874	0.0602808	0.479183	0.0668471	0.0911452	0.0413314	0.0958083	0.0848261	0.0140608	0.0831231	0.0438131	0.100845	0.0018688	0.317771	0.0654154	0.223399	0.586478	1.04968	2.14044	5	5.208939
30000	-695.5158	-720.6807	25.16492	10	0.9836628	0.0381949	0.00554716	0.0949963	0.0896008	0.00260981	0.0616935	0.125646	0.205923	0.167525	0.00372494	0.0990499	0.0439114	0.0148743	0.090736	0.0138333	0.0180839	0.000220446	0.016944	0.0116716	0.0257697	0.295688	0.0427844	0.0364978	0.0150861	0.0805113	0.029435	0.0268685	0.0426045	0.141455	0.26943	0.0173831	0.00209653	0.360164	0.0430736	0.0766776	0.0183696	0.0804259	0.0621651	0.35088	0.0386806	0.0741626	0.113992	0.0271154	0.187846	0.0350711	0.00421383	0.26025	0.165269	0.25247	0.00357032	0.10467	0.133683	0.471786	0.997239	2.39729	5	4.389463
31000	-750.7606	-747.7602	-3.000412	1	4.19038	0.135802	0.0542288	0.0392741	0.187427	0.169012	0.208448	0.177986	0.0170115	0.0700275	0.0723299	0.0279796	0.0113629	0.0685574	0.0368113	0.027633	0.10571	0.108207	0.132906	0.0332268	0.0166724	0.0189071	0.03921	0.0600285	0.00563128	0.0219323	0.0237411	0.0338968	0.129785	0.0167261	0.0371031	0.245212	0.166296	0.590662	0.121807	0.0571089	0.0148555	0.143777	0.458228	0.0165069	0.765577	0.0583402	0.0353098	0.0502085	0.019336	0.02541	0.203707	0.053034	0.291632	0.0434805	0.0368365	0.0169305	0.464524	0.781546	1.08433	1.6696	3	5.501829
