Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-1560.387	-1639.957	79.56985	10	1.948938	0.0808605	0.0252832	0.0018451	0.0469466	0.019633	0.0251353	0.0366593	0.0519464	0.0184812	0.0677754	0.0636382	0.0884956	0.11198	0.0204235	0.0735903	0.11396	0.0492888	0.0516032	0.0162032	0.0527321	0.161913	0.0237909	0.0865927	0.0302728	0.00582378	0.0273971	0.017008	0.00218008	0.21578	0.0479431	0.0917436	0.0916147	0.019662	0.456218	0.0106332	0.148316	0.127166	0.0570082	0.165021	0.355649	0.0233683	0.0523913	0.00821182	0.19565	0.244116	0.123586	0.0552126	0.0370976	0.0499559	0.0249944	0.0623443	0.0950187	0.185697	0.00296399	0.0760354	0.0272674	0.158968	0.108233	0.0468822	0.287102	0.649472	1.06866	1.99477	5	4.736205
21000	-1552.293	-1632.616	80.32331	10	2.011094	0.115191	0.02143	0.0196737	0.0525199	0.0232303	0.0572002	0.0377494	0.0628447	0.0224317	0.105352	0.0518431	0.0290243	0.137402	0.035897	0.0378162	0.0400697	0.0427452	0.14418	0.0171574	0.00716194	0.0139898	0.00889438	0.00942468	0.00619584	0.0178495	0.0188318	0.0091486	0.0068051	0.0350302	0.00171919	0.0727723	0.0940823	0.301722	0.665835	0.243023	0.146495	0.151266	0.0396344	0.142434	0.0524982	0.0475018	0.0159834	0.0345104	0.252636	0.129616	0.0180766	0.0214328	0.0415052	0.0459028	0.0209303	0.0773333	0.0507241	0.142183	0.0271143	0.0820995	0.0112621	0.127314	0.0689736	0.0447083	0.294595	0.656188	1.07026	1.97895	5	4.358379
22000	-1538.101	-1638.03	99.92834	10	1.908712	0.0696157	0.0237371	0.020019	0.0519791	0.0178702	0.0164053	0.0122248	0.110827	0.00753169	0.0638396	0.0245828	0.0611012	0.0876097	0.0335114	0.0213564	0.00960199	0.0805286	0.0492745	0.00942832	0.0149581	0.0442998	0.0555022	0.00737592	0.000154971	0.0193692	0.0449862	0.00822514	0.0188982	0.0575239	0.0474094	0.05018	0.158164	0.0121368	0.676908	0.117873	0.108295	0.0598001	0.13974	0.105	0.0900447	0.0130898	0.00662753	0.159371	0.274476	0.0534285	0.0292108	0.0774445	0.100805	0.0731058	0.0219977	0.0200548	0.0953367	0.114267	0.00946998	0.0715886	0.00616315	0.129024	0.0162313	0.0104103	0.282128	0.644941	1.06753	2.0054	5	3.889991
23000	-1571.957	-1639.073	67.11659	10	1.885107	0.0890428	0.018064	0.0443442	0.0301721	0.023209	0.0143635	0.0038054	0.156803	0.0491579	0.0723722	0.0528934	0.146876	0.0493988	0.00850397	0.0217912	0.10611	0.0461774	0.00238033	0.0107252	0.00303403	0.0209427	0.0339407	0.00426645	0.0142878	0.0281539	0.0130757	0.0262139	0.00530097	0.113761	0.00911885	0.141826	0.14979	0.0581125	0.619338	0.0229941	0.119934	0.171152	0.124779	0.197735	0.105952	0.0237652	0.0224513	0.308415	0.428357	0.15785	0.072362	0.018282	0.0410589	0.0209155	0.139203	0.102769	0.234588	0.0857377	0.0219147	0.094178	0.0690101	0.194746	0.0107541	0.096539	0.279163	0.642212	1.06683	2.0118	5	5.072796
24000	-1564.429	-1643.172	78.74272	10	1.713852	0.165683	0.0143619	0.0256943	0.0136608	0.0779062	0.0559968	0.0436187	0.0777398	0.0219321	0.10318	0.0114742	0.0974046	0.101403	0.0423862	0.0579035	0.11284	0.105334	0.0261537	0.00576517	0.019179	0.0273917	0.05203	0.0233813	0.000663114	0.0128893	0.0187952	0.018365	0.0334244	0.0839685	0.146879	0.0342981	0.112373	0.0842989	0.774137	0.070007	0.044917	0.198959	0.0993599	0.140346	0.107096	0.0328167	0.0257729	0.368507	0.258942	0.0795013	0.054112	0.084685	0.0936913	0.0412738	0.1179	0.0417166	0.130111	0.0969365	0.00875467	0.107758	0.0198228	0.114296	0.088907	0.186822	0.256549	0.620671	1.06085	2.06193	5	5.215522
25000	-1565.416	-1645.824	80.40795	10	1.415618	0.0995109	0.0403681	0.0342169	0.0479844	0.0431964	0.00402936	0.0390274	0.0972217	0.00116721	0.118108	0.0315494	0.0513721	0.120257	0.0923838	0.120231	0.0994366	0.0941452	0.119747	0.0314244	0.00723254	0.0318541	0.00356225	0.0300401	0.0114565	0.0263071	0.00515695	0.0111434	0.0405567	0.0214363	0.0239894	0.0728795	0.0808065	0.145042	0.695285	0.118724	0.0721571	0.0750966	0.0845598	0.280792	0.127619	0.109186	0.033007	0.164655	0.338802	0.0621259	0.0415493	0.0243472	0.0528375	0.034247	0.0159923	0.03788	0.0757297	0.116256	0.0121871	0.0893944	0.0021052	0.123437	0.0186938	0.095843	0.211988	0.573881	1.04506	2.16908	5	4.699347
26000	-1545.839	-1637.405	91.56563	10	2.253235	0.110741	0.0113423	0.0271437	0.0780882	0.07273	0.0567974	0.038555	0.0717622	0.0130949	0.103576	0.0397856	0.0756754	0.0885862	0.0181737	0.0468534	0.0883232	0.124266	0.0724009	0.0606333	0.144233	0.040849	0.00401531	0.0251844	0.0096897	0.0174171	0.026608	0.0284395	0.0126579	0.0483682	0.0941414	0.0713234	0.0693804	0.0298756	0.583688	0.112878	0.18588	0.0128604	0.0687858	0.100688	0.129282	2.64452e-05	0.0457064	0.220509	0.298003	0.127315	0.0219976	0.027855	0.0634277	0.0356058	0.01118	0.0542082	0.061072	0.0557266	0.0217048	0.164085	0.0138457	0.0229459	0.0583542	0.201211	0.321739	0.679497	1.0752	1.92356	5	4.519552
27000	-1567.753	-1634.679	66.92585	10	1.506813	0.111309	0.011527	0.00851167	0.0696163	0.00569189	0.0577995	0.0346418	0.12743	0.0163157	0.0711657	0.0245729	0.0638123	0.105788	0.0639116	0.0701726	0.0525659	0.0552284	0.0300366	0.0194765	0.0341483	0.141266	0.0678563	0.0550736	0.00126603	0.0297412	0.0240102	0.0169295	0.00242568	0.0746597	0.1219	0.0836856	0.0750573	0.489598	0.922745	0.078433	0.058167	0.0676521	0.147943	0.197853	0.103554	0.00477633	0.0511683	0.041843	0.331914	0.172952	0.0466604	0.130186	0.0729083	0.0253527	0.0834252	0.0503566	0.195639	0.121828	0.00445776	0.12995	0.014793	0.194203	0.0190856	0.323718	0.226373	0.589686	1.05082	2.13312	5	5.808755
28000	-1584.299	-1645.253	60.95464	10	2.035918	0.194026	0.0345353	0.0312228	0.00929851	0.000907268	0.0253174	0.0544153	0.0321092	0.00692457	0.161407	0.0475992	0.0405387	0.126049	0.0459664	0.0139955	0.152783	0.149502	0.164799	0.00613538	0.0872533	0.0239621	0.018647	0.0586991	0.00933434	0.00618647	0.0260537	0.0133253	0.0229816	0.0383514	0.0175044	0.170755	0.0214894	0.089941	1.03379	0.35655	0.0868088	0.116776	0.126806	0.11427	0.0786878	0.0463496	0.0449296	0.0198689	0.450597	0.0100459	0.109961	0.0135855	0.0629947	0.0191196	0.0360896	0.0991342	0.142671	0.171935	0.0227282	0.0899661	0.00617587	0.218944	0.0233972	0.414071	0.297525	0.65878	1.07086	1.97283	5	5.818265
29000	-1545.37	-1638.296	92.92651	10	1.235272	0.131603	0.0297063	0.0104667	0.0704214	0.0076262	0.054711	0.0354647	0.0682128	0.00634906	0.103603	0.0347754	0.0358777	0.123208	0.0112834	0.0745719	0.056986	0.0721212	0.0679604	0.0461314	0.0231102	0.0104698	0.0289701	0.00394526	0.0132808	0.0153855	0.0340129	0.002771	0.0286769	0.0971336	0.0639818	0.0676963	0.00265244	0.126641	0.643197	0.0307299	0.220526	0.185102	0.132164	0.221432	0.0530052	0.0358342	0.0720751	0.108027	0.27635	0.0101254	0.0485843	0.0420469	0.0436893	0.0102703	0.0507701	0.0319348	0.10588	0.094525	0.00051825	0.111033	0.00495364	0.104565	0.0153625	0.114799	0.181387	0.537611	1.03019	2.25082	5	4.327306
