Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
24000	-382.4695	-403.0666	20.59702	10	1.603061	0.0672319	0.00575971	0.00426143	0.0309229	0.0326167	0.137666	0.00693243	0.076777	0.216269	0.137701	0.133851	0.0232854	0.0762451	0.0732657	0.0703705	0.0828213	0.0326902	0.0445407	0.0441735	0.0157249	0.0199873	0.00559877	0.00167353	0.0785372	0.0121956	0.0641178	0.031919	0.251054	0.277192	0.141412	0.413915	0.0375039	0.0800804	0.0340233	0.0580115	0.0569775	0.519417	0.321434	0.139735	0.0584391	0.090183	0.0286492	0.0388867	0.0492396	0.0123516	0.0569686	0.0604457	0.240813	0.604858	1.05594	2.09839	5	4.253055
25000	-369.6878	-400.0746	30.38676	10	2.487839	0.141904	0.00326681	0.025026	0.0468344	0.0164436	0.0940987	0.183008	0.00453398	0.399861	0.0326212	0.228301	0.0420796	0.125714	0.0163641	0.00829108	0.0280027	0.102147	0.00477509	0.0740726	0.015061	0.0559797	0.0375025	0.00576408	0.034033	0.00611848	0.0859331	0.198699	0.0292505	0.269755	0.000491194	0.013426	0.00711573	0.185158	0.086283	0.120147	0.0212686	0.00899639	0.0142097	0.0246924	0.0225724	0.0719027	0.077532	0.0275154	0.016518	0.0847561	0.239134	0.268538	0.345301	0.698546	1.07849	1.87766	5	3.605698
26000	-379.1402	-409.0289	29.88862	10	1.066333	0.0709653	0.00125663	0.0427844	0.0309418	0.0052107	0.0981115	0.118293	0.0169039	0.2097	0.0361571	0.226658	0.00496909	0.125101	0.120634	0.0254244	0.0306468	0.0289204	0.003833	0.0268118	0.045123	0.0260845	0.0520485	0.126562	0.0124998	0.0478118	0.00224052	0.0767558	0.0186065	0.0100719	0.0717868	0.00321191	0.0430491	0.0203318	0.0989486	0.0352997	0.0651934	0.20396	0.217624	0.0397475	0.159851	0.139406	0.044599	0.0318942	0.108725	0.0905349	0.395233	0.0495318	0.149996	0.49582	1.01018	2.34401	5	3.460055
27000	-375.8518	-410.528	34.67622	10	1.041419	0.0597082	0.0393096	0.046943	0.0239853	0.0358173	0.087861	0.0740864	0.00601987	0.0311267	0.01236	0.00949334	0.0388844	0.0117815	0.0372895	0.0229404	0.0820485	0.0161399	0.0299665	0.0167549	0.0161851	0.0543074	0.0682229	0.0464855	0.0516756	0.00781632	0.370593	0.236761	0.0210257	0.015176	0.130844	0.0815804	0.043734	0.0553361	0.00413924	0.0210561	0.0408046	0.0307811	0.015029	0.23826	0.00803781	0.119818	0.126101	0.0336055	0.0760326	0.0553858	0.395712	0.047061	0.145143	0.488857	1.00654	2.35946	5	3.094083
28000	-374.9306	-404.8717	29.94107	10	1.200008	0.317239	0.0516257	0.145788	0.0501535	0.0337024	0.083702	0.0214885	0.0223326	0.186329	0.0293983	0.193142	0.1467	0.0727738	0.0461214	0.0274391	0.0723048	0.00848668	0.0305714	0.0399164	0.0222491	0.0131607	0.0202449	0.0185474	0.0336311	0.00169489	0.123883	0.0749178	0.00623857	0.0593372	0.000119688	0.0430939	0.00512677	0.0593016	0.436286	0.197893	0.0582962	0.0759343	0.0379038	0.0450963	0.0234289	0.65275	0.0278554	0.0167979	0.115509	0.0087389	0.130569	0.0660686	0.175054	0.529595	1.02659	2.26876	5	3.953888
29000	-370.8116	-403.4325	32.62087	10	2.181995	0.0714742	0.000193298	0.120845	0.0196613	0.102296	0.10947	0.0832078	0.0213923	0.071646	0.033468	0.11219	0.00986471	0.0695171	0.0443801	0.0573595	0.0717619	0.0463697	0.106431	0.0408172	0.0264434	0.00622202	0.000701431	0.0285654	0.0297975	0.0111623	0.275025	0.0375678	0.0189806	0.0503736	0.026382	0.0522397	0.069726	0.0319158	0.0591823	0.442632	0.0232295	0.0930252	0.0135311	0.0805437	0.0277057	0.338146	0.0887021	0.183594	0.00721493	0.044044	0.165326	0.0659365	0.314073	0.673069	1.07394	1.93892	5	3.490259
30000	-378.0513	-405.9154	27.86408	10	2.095984	0.276481	0.00183823	0.0642195	0.0119491	0.0174505	0.147745	0.005848	0.0104345	0.144262	0.00618371	0.0664965	0.0875121	0.0444273	0.0103873	0.0693944	0.0658145	0.0148442	0.0356094	0.0302399	0.000956732	0.0798671	0.122316	0.0323745	0.0484834	0.0277471	0.0501875	0.0174855	0.23395	0.00948452	0.0172917	0.0103229	0.0362314	0.0559093	0.220674	0.273602	0.0554723	0.173286	0.00165017	0.0620143	0.19755	0.395539	0.0667158	0.0894548	0.0447421	0.0343951	0.0330419	0.0108636	0.304469	0.664847	1.07222	1.95847	5	3.512746
31000	-359.7569	-395.7849	36.02801	10	1.101735	0.102915	0.00343651	0.0244686	0.0137959	0.0210035	0.00918706	0.0866242	0.0229956	0.0169986	0.0452114	0.113097	0.173496	0.0196715	0.0206767	0.0496729	0.095747	0.0622332	0.0753544	0.0236748	0.011926	0.0319227	0.10673	0.0527829	0.0193696	0.0358651	0.360149	0.0437975	0.0121071	0.0139086	0.0478339	0.0125764	0.0885319	0.203719	0.0331272	0.239312	0.177591	0.00856028	0.0927223	0.0211654	0.034487	0.185328	0.0296727	0.117272	0.00194628	0.0417486	0.28589	0.0357967	0.156794	0.505331	1.015	2.32287	5	3.326097
32000	-377.5725	-403.4495	25.87696	10	1.07106	0.155323	0.0133534	0.0128741	0.00497317	0.104493	0.0419687	0.0440305	0.0182714	0.136409	0.114802	0.0330713	0.111036	0.0190535	0.0687094	0.0220645	0.00976056	0.0337373	0.0472425	0.0187832	0.00290966	0.0269615	0.0606108	0.0743088	0.0375719	0.0198046	0.00402917	0.203177	0.174458	0.0392997	0.0436013	0.0598444	0.0344858	0.019423	0.0509739	0.0722797	0.309236	0.0265306	0.0119501	0.0702782	0.020618	0.0194483	0.130494	0.231746	0.666461	0.387412	0.0338487	0.0607445	0.15091	0.497116	1.01084	2.34113	5	3.902463
33000	-368.9313	-400.241	31.30975	10	0.4816512	0.235858	0.0389215	0.0584029	0.0331154	0.0670337	0.115073	0.0185195	0.00427487	0.158464	0.0612326	0.17897	0.108533	0.0113146	0.0208757	0.0194745	0.0538011	0.0148994	0.0134818	0.0180062	0.00625466	0.030437	0.148265	0.0168793	0.00849612	0.00733749	0.0791375	0.00742482	0.0231288	0.050333	0.0171363	0.3573	0.0573975	0.0552574	0.364738	0.0250346	0.336311	0.0138563	0.0390158	0.118065	0.0768819	0.0484633	0.0909773	0.267472	0.0646207	0.0524167	0.169752	0.03009	0.0300394	0.239768	0.806444	2.92375	5	3.792731
