Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
38000	-196.615	-253.273	56.65805	10	0.04516962	0.350889	0.0524951	0.0528002	0.0866029	0.0370554	0.0110522	0.0562058	0.0527835	0.0506115	0.122941	0.0134168	0.0989559	0.181908	0.0259766	0.102426	0.0752166	0.276075	2.61248e-14	2.41278e-07	0.00286568	3.99713	5	1.647412
39000	-197.4639	-255.2103	57.74646	10	0.03386426	0.169525	0.295695	0.1198	0.177255	0.00172892	0.00365511	0.236232	0.167217	0.0875758	0.0414894	0.226259	0.0164737	0.00187959	0.00974054	0.0147298	0.0333759	0.14979	9.29246e-19	1.44037e-09	0.000342375	3.99966	5	1.752423
40000	-203.1883	-247.7465	44.55822	10	0.03082037	0.442659	0.282597	0.0248503	0.0585649	0.0152239	0.00629314	0.114643	0.376066	0.212253	0.0501904	0.07229	0.626513	0.0692561	0.00646755	0.0554574	0.0447034	0.00166919	1.63117e-20	1.90885e-10	0.000148028	3.99985	5	2.459697
41000	-193.268	-246.7365	53.46853	10	0.06136449	0.350496	0.282815	0.0747753	0.068342	0.0694278	0.000363074	0.0846276	0.145293	0.0127465	0.0335658	0.454427	0.0189593	0.020616	0.00829409	0.157804	0.0508354	0.0521771	8.58089e-11	1.38091e-05	0.0153678	3.98462	5	1.885565
42000	-195.6653	-254.5734	58.90816	10	0.02756989	0.129512	0.124302	0.066972	0.0779422	0.0211377	0.0194285	0.0654279	0.181906	0.0662737	0.0532649	0.00625079	0.0755626	0.0340399	0.0196185	0.202747	0.206814	0.0155954	8.12139e-23	1.34728e-11	4.92764e-05	3.99995	5	1.366795
43000	-206.2003	-254.6179	48.4176	10	0.04215334	0.510074	0.425427	0.119603	0.0386199	0.176947	0.0145495	0.0828648	0.0266092	0.0117897	0.00218705	0.0113371	0.112943	0.0220516	0.0203433	0.0129844	0.0201712	0.143338	2.90754e-15	8.05127e-08	0.00181747	3.99818	5	1.75184
44000	-203.3354	-256.333	52.99759	10	0.02795612	0.175066	0.281478	0.0508362	0.122154	0.0163465	0.00227545	0.0262699	0.0873651	0.116028	0.0908688	0.0170393	0.0207455	0.0367939	0.471722	0.0838816	0.00469381	0.289182	1.62668e-22	1.90669e-11	5.69141e-05	3.99994	5	1.892746
45000	-198.6637	-256.7076	58.04391	10	0.007646432	0.288732	0.217924	0.0334721	0.0699961	0.0427964	0.000360367	0.169387	0.0684981	0.114792	0.0231313	0.129596	0.040779	0.0582092	0.193349	0.0197481	0.096417	0.0499125	1.02648e-79	4.79813e-40	7.69786e-17	4	5	1.617099
46000	-200.6554	-251.8573	51.20191	10	0.08908142	0.168058	0.167794	0.0796823	0.00155916	0.0355892	0.00122905	0.0687646	0.37845	0.0133897	0.0572796	0.0479451	0.0896948	0.0272902	0.0963202	0.111986	0.014064	0.343283	9.64358e-08	0.000461847	0.0659726	3.93357	5	1.702379
47000	-193.0872	-253.2545	60.1673	10	0.01290762	0.511887	0.0566067	0.0256685	0.111151	0.00444392	0.00199756	0.0623186	0.150182	0.149938	0.0525804	0.0324587	0.073907	0.181941	0.0657338	0.00510311	0.0622836	0.00749509	1.27223e-47	5.33921e-24	3.51557e-10	4	5	1.555696
