Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
22000	-119.402	-177.9129	58.51086	10	0.5038554	0.0519743	0.101514	0.0604829	0.00640966	0.0634792	0.025012	0.23895	0.0449775	0.237689	0.0980364	0.218355	0.0115108	0.167009	0.000493804	0.105548	0.00384821	0.00372298	0.0724948	0.293848	0.13429	0.168718	0.190857	0.193393	0.268812	0.0267845	0.0974095	0.410227	0.0794544	0.00647579	0.0252955	0.00268882	0.134881	0.462182	0.0341045	0.254425	0.823054	2.88842	5	4.006824
23000	-109.6416	-178.3713	68.72965	10	1.373283	0.0188074	0.0414418	0.0934488	0.00843913	0.102168	0.0120537	0.0121164	0.0115973	0.0363019	0.0564207	0.0890379	0.00499148	0.0208559	0.033445	0.0692675	0.0554441	0.0773708	0.115437	0.104705	0.0869276	0.0534148	0.0458239	0.0636412	0.10786	0.20357	0.0743559	0.0172261	0.142738	0.275725	0.313143	0.0358518	0.130587	0.0502828	0.205067	0.566009	1.04202	2.1869	5	2.564499
24000	-118.6114	-179.9759	61.36447	10	1.192668	0.0532958	0.0134115	0.0552912	0.0153031	0.140623	0.00601933	0.0173135	0.0200955	0.203369	0.0440501	0.145449	0.0511661	0.174214	0.0223788	0.0380207	0.13759	0.123453	0.111332	0.238719	0.290367	0.00906773	0.0290413	0.0459231	0.0331317	0.0587628	0.366094	0.162104	0.315436	0.25271	0.0232411	0.129734	0.0869452	0.354166	0.173722	0.527883	1.02581	2.27259	5	3.767818
25000	-110.9661	-176.245	65.27892	10	2.558271	0.0330904	0.0638983	0.0820231	0.0806773	0.125976	0.0369124	0.052505	0.088698	0.0413884	0.00191446	0.137633	0.129125	0.11581	0.0949236	0.0613095	0.0556049	0.0356726	0.0427126	0.192921	0.0150427	0.0164888	0.0297925	0.000445371	0.0251224	0.272396	0.030676	0.287754	0.0706309	0.0720137	0.0233337	0.193775	0.0370452	0.280157	0.351913	0.703711	1.07926	1.86512	5	2.827469
26000	-139.8649	-178.158	38.29301	2	0.8717624	0.00720846	0.0723391	0.0871967	0.0732365	0.127807	0.258622	0.0104249	0.00739375	0.0982854	0.0597021	0.11447	0.020842	0.113048	0.128554	0.10212	0.12268	0.183634	0.11095	0.0214106	0.234432	0.00618343	0.0580666	0.883087	0.0318684	0.414904	0.275437	0.0294875	0.15584	0.0687596	0.0532323	0.0311796	0.0993822	0.0784188	0.110712	0.434498	0.975015	2.47977	4	4.140203
27000	-131.0397	-181.4443	50.40461	2	0.5188039	0.0124763	0.0645182	0.0391878	0.194625	0.102602	0.00641433	0.138011	0.0207038	0.0417447	0.152447	0.112464	0.00284645	0.022139	0.0327421	0.0330846	0.063022	0.133828	0.225598	0.0376827	0.0733611	0.132122	0.0208114	0.218098	0.213531	0.00604534	0.100241	0.0432187	0.0770833	0.0326216	0.0970755	0.0710591	0.161299	0.0526042	0.0369237	0.264014	0.833483	2.86558	4	2.735309
28000	-135.5842	-179.6808	44.09659	2	0.5499698	0.00228296	0.104434	0.111406	0.0263788	0.0579999	0.00291714	0.0877189	0.00906238	0.131972	0.242239	0.0636472	0.0361084	0.0747979	0.0849126	0.0651121	0.131822	0.0409871	0.0596463	0.0368399	0.182226	0.157795	0.00272676	0.0731019	0.117107	0.253891	0.443809	0.0387197	0.0578176	0.242679	0.00390717	0.0969071	0.00777059	0.131876	0.0429825	0.283291	0.853479	2.82025	4	3.18062
29000	-135.0536	-180.0142	44.96063	2	0.3174789	0.0433422	0.0805956	0.0722657	0.0346182	0.0778853	0.00198937	0.00750363	0.0527088	0.0471539	0.0216699	0.0153765	0.00364421	0.106468	0.0339336	0.0437655	0.0792741	0.188624	0.10411	0.0376496	0.0122499	0.206634	0.519381	0.0705845	0.200373	0.0148819	0.237916	0.00805562	0.301089	0.112082	0.0997985	0.242028	0.0128646	0.0255891	0.00681986	0.118143	0.624022	3.25102	4	3.116105
30000	-141.4806	-182.9326	41.45198	2	0.3543923	0.024156	0.0108972	0.0917363	0.105167	0.107142	0.410168	0.222621	0.0543425	0.041639	0.112534	0.101305	0.0570996	0.109212	0.015984	0.0324306	0.144439	0.0516035	0.0312567	0.0845466	0.0141127	0.0689461	0.0882975	0.159918	0.162883	0.0970711	0.393667	0.181338	0.1569	0.00714394	0.209429	0.0489721	0.031149	0.065245	0.0107216	0.146967	0.676807	3.16551	4	3.493353
31000	-138.3855	-182.837	44.45158	2	0.6762483	0.00456822	0.216138	0.180711	0.0392439	0.0710492	0.0251878	0.0270162	0.144929	0.0320352	0.0276523	0.0198151	0.0305999	0.13945	0.108934	0.00159342	0.107501	0.0202522	0.181739	0.507017	0.0110485	0.0175565	0.0823974	0.119383	0.344012	0.0286625	0.244437	0.151286	0.0723019	0.0968744	0.272265	0.213727	0.023611	0.0274059	0.0691238	0.352105	0.915738	2.66303	4	3.590399
32000	-133.081	-175.7021	42.6211	2	1.356189	0.00191853	0.0891049	0.025142	0.0368174	0.0358254	0.026643	0.128626	0.0738574	0.0454795	0.00566982	0.0695752	0.00840191	0.0611816	0.0634221	0.137711	0.154842	0.0465232	0.185655	0.0148691	0.483228	0.0378183	0.0605719	0.118252	0.0319283	0.23384	0.0295926	0.126641	0.0194994	0.0720148	0.0144577	0.586741	0.00667272	0.150434	0.202228	0.562727	1.04073	2.19432	4	3.182956
33000	-138.2845	-177.1867	38.90224	2	0.6265738	0.117786	0.0489067	0.0647595	0.0334518	0.0434035	0.0107421	0.0676797	0.0096613	0.539747	0.0408523	0.0962824	0.0774418	0.0383593	0.0254836	0.08232	0.298065	0.188457	0.0523178	0.0157926	0.0631193	0.171902	0.360167	0.0288263	0.256454	0.0247218	0.143992	0.0684179	0.0292269	0.129147	0.0355318	0.347249	0.193142	0.131966	0.058631	0.326725	0.894293	2.72035	4	3.835373
