Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
24000	-313.6549	-366.866	53.21104	10	2.279841	0.168317	0.0252754	0.00651622	0.000955889	0.209987	0.00989835	0.052273	0.0279726	0.0692268	0.00875996	0.0277141	0.00175204	0.0687721	0.0341009	0.0890964	0.0101673	0.0644785	0.0214803	0.0369142	0.100411	0.0304221	0.0356433	0.0523072	0.0905849	0.0670305	0.0453146	0.241042	0.0877849	0.0878302	0.0804895	0.166715	0.012774	0.0168641	0.0936325	0.202065	0.144671	0.00440965	0.124916	0.061484	0.282223	0.059396	0.0619118	0.150519	0.0428367	0.295585	0.324538	0.681815	1.07564	1.91801	5	3.572521
25000	-325.1366	-364.2907	39.15412	10	0.8583008	0.356783	0.0531981	0.0133408	0.0422254	0.179415	0.0411285	0.0511192	0.0668524	0.171594	0.0459276	0.0301693	0.0177129	0.0167132	0.00102858	0.210576	0.0557786	0.145915	0.0452054	0.0193837	0.232893	0.0138468	0.354865	0.00758452	0.41915	0.0641389	0.0201208	0.277092	0.131757	0.136326	0.0652042	0.103429	0.0354361	0.0279538	0.0149318	0.0313374	0.0371368	0.507036	0.124593	0.333576	0.000685982	0.0554881	0.0840654	0.0590614	0.0362608	0.0468762	0.10789	0.429589	0.971887	2.49063	5	4.784913
26000	-324.8486	-373.7451	48.89657	10	1.128817	0.318121	0.139725	0.0891471	0.032816	0.0470395	0.0838509	0.0434914	0.0443679	0.055161	0.0219282	0.0117773	0.0139891	0.0286498	0.00419403	0.0295397	0.0210923	0.129604	0.0472405	0.166422	0.000250748	0.0596992	0.0722505	0.0163204	0.131576	0.00171606	0.0119558	0.0452678	0.135574	0.0921854	0.0015617	0.197009	0.13508	0.118496	0.158612	0.232089	0.216426	0.0503909	0.143787	0.068561	0.0919785	0.110868	0.118568	0.082617	0.0770536	0.151387	0.161916	0.512319	1.01845	2.30732	5	3.849439
27000	-320.8498	-369.9225	49.07269	10	1.10388	0.218863	0.0507024	0.0487633	0.0853782	0.0570642	0.0344999	0.230749	0.099161	0.0690475	0.00422685	0.0164485	0.00919164	0.00156831	0.00918992	0.0143532	0.00649469	0.24079	0.07548	0.0417192	0.0853372	0.00843316	0.135297	0.0811285	0.240392	0.157581	0.337706	0.0236234	0.153665	0.00852842	0.00468548	0.204206	0.0556148	0.143276	0.0993214	0.113981	0.167146	0.0862943	0.119429	0.122481	0.0485794	0.307813	0.111009	0.184407	0.0639801	0.040745	0.157202	0.505893	1.01529	2.32162	5	4.418352
28000	-334.8297	-371.6651	36.83544	10	2.816575	0.315259	0.338764	0.0282946	0.010452	0.12419	0.115016	0.127039	0.0126045	0.0810586	0.0240428	0.00791934	0.0323467	0.00159569	0.0167251	0.179893	0.00117261	0.023028	0.000122145	0.00952857	0.142565	0.0287193	0.172973	0.00105415	0.162498	0.0309772	0.455573	0.00508239	0.115681	0.0324011	0.068265	0.0512203	0.1954	0.417913	0.262997	0.0950077	0.0567592	0.0883874	0.487423	0.0645401	0.0699543	0.216897	0.0103777	0.0911961	0.12197	0.0749081	0.374555	0.720838	1.08145	1.82316	5	4.969792
29000	-316.269	-365.0035	48.73452	10	1.95219	0.2184	0.247986	0.0125508	0.0149039	0.107457	0.0415571	0.0157378	0.0795155	0.0296028	0.00774424	0.0382494	0.0622348	0.0143785	0.0588453	0.0569038	0.0229169	0.0831361	0.0083559	0.0190488	0.135837	0.0275516	0.0656559	0.0535705	0.107119	0.178092	0.0146636	0.298047	0.0256578	0.122289	0.0461794	0.0307749	0.0778634	0.00357713	0.013637	0.0947925	0.178537	0.121762	0.0838049	0.125012	0.128672	0.303136	0.141743	0.403433	0.00269149	0.328155	0.2875	0.649831	1.06875	1.99392	5	4.25178
30000	-315.6805	-359.3698	43.68928	10	1.72247	0.466459	0.0402314	0.0381407	0.000656075	0.131783	0.0225178	0.0368241	0.0576625	0.0963341	0.0123046	0.0664865	0.0337468	0.0413449	0.0270781	0.121603	0.00172337	0.0738551	0.0148709	0.103773	0.286889	0.0756001	0.174777	0.00256597	0.107265	0.220722	0.159175	0.0443775	0.086959	0.045447	0.183639	0.247989	0.123567	0.116783	0.0884423	0.163587	0.0670214	0.109288	0.0372631	0.365921	0.0429812	0.108992	0.0963347	0.125404	0.06084	0.0270881	0.257736	0.621835	1.0612	2.05923	5	4.556313
31000	-320.7025	-367.5472	46.84471	10	1.287559	0.544424	0.0825556	0.0381954	0.0264748	0.0467958	0.131986	0.0426963	0.050954	0.124989	0.00170464	0.0541825	0.00427444	0.174504	0.0127193	0.0681705	0.0154606	0.0721524	0.0432878	0.0277078	0.064794	0.0489711	0.0727553	0.0445431	0.000560069	0.0479332	0.0802976	0.0312503	0.129682	0.0673325	0.0207503	0.0102776	0.216798	0.161173	0.167886	0.00269164	0.191587	0.213773	0.0210187	0.280222	0.234521	0.0907655	0.100945	0.127569	0.17494	0.00463801	0.190563	0.5489	1.03506	2.22548	5	4.17091
32000	-323.0155	-368.7906	45.77513	10	1.0124	0.295972	0.101488	0.00410722	0.00503929	0.0461121	0.0146933	0.059162	0.0795952	0.0894003	0.0117011	0.000112556	0.00232669	0.0460387	0.0174393	0.0883178	0.0298318	0.137932	0.00829488	0.0635639	0.0906868	0.0143987	0.210364	0.0519254	0.16689	0.140882	0.12411	0.388252	0.250894	0.0419384	0.124673	0.0361928	0.0141381	0.106142	0.0397921	0.0917905	0.132769	0.170579	0.103276	0.198499	0.168221	0.0988836	0.0074421	0.027447	0.0581923	0.00303232	0.139421	0.480448	1.00202	2.37811	5	3.96254
33000	-327.7474	-371.1099	43.36247	10	1.762402	0.297123	0.0117902	0.0050243	0.0435517	0.133833	0.00551283	0.0616429	0.0535265	0.0526986	0.0944464	0.0256727	0.0257041	0.0165708	0.00570198	0.107062	0.0308139	0.0797321	0.180593	0.0805898	0.63021	0.00442697	0.24984	0.00225838	0.362099	0.18627	0.0667501	0.181983	0.0427542	0.117488	0.107121	0.180547	0.00568856	0.0113826	0.658084	0.027654	0.0522396	0.0608243	0.213298	0.0635852	0.0345378	0.113022	0.0826705	0.0103526	0.0562623	0.013389	0.263163	0.62711	1.06272	2.047	5	4.846329
