Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
25000	-195.0661	-235.8212	40.75504	10	2.585019	0.162915	0.00154177	0.00749765	0.000311218	0.0215526	0.00421915	0.0192787	0.0014784	0.0194507	0.0163835	0.0157226	0.00697831	0.00127077	0.00455598	0.0229248	0.448026	0.0121345	0.083952	0.0290397	0.00873438	0.0133611	0.0565499	0.00256718	0.383821	0.0597992	0.033085	0.0138499	0.354372	0.705612	1.07953	1.86049	5	1.451002
26000	-206.0252	-237.8617	31.83644	10	4.325688	0.55736	0.10674	0.0105336	0.0142999	0.031094	0.007555	0.0287115	0.0319353	0.0159171	0.0197462	0.00151167	0.00688149	0.000635436	0.0196973	0.00582787	0.013704	0.161928	0.0781543	0.0274754	0.141634	0.0130821	0.0366663	0.0105391	0.0981015	0.0199269	0.250872	0.00790305	0.471406	0.785769	1.08422	1.6586	5	1.718433
27000	-208.8218	-235.5723	26.75058	2	3.193589	0.340188	0.0480513	0.000810719	0.0343798	0.00523223	0.00325879	0.0097356	0.0348993	0.00640248	0.00688311	0.00504964	0.0112566	0.00245547	0.00165118	0.00605981	0.0158122	0.0155526	0.769222	0.00358487	0.119782	0.103611	0.0496413	0.0176448	0.218858	0.0116984	0.0084698	0.0118896	0.403705	0.741713	1.08332	1.77126	4	1.86208
28000	-202.1612	-235.435	33.27375	10	3.750445	0.370058	0.0260952	0.00194348	0.00346872	0.00351973	0.0781297	0.0153776	0.0225346	0.0114134	0.00298854	0.0151637	0.000235207	0.00386345	0.0113235	0.00413746	0.0479302	0.0151743	0.534337	0.00194802	0.0600775	0.00173106	0.0091419	0.0673293	0.0402804	0.403985	0.00630448	0.0657034	0.440105	0.766112	1.08435	1.70943	5	1.824194
29000	-197.0261	-236.2525	39.22639	10	1.112569	0.307953	0.00214269	0.0113155	0.0026725	0.0161066	0.00588313	0.00849358	0.00709374	0.00358103	0.0159735	0.0182821	0.00136091	0.0135756	0.00903157	0.00833721	0.081038	0.0807844	0.0183242	0.00337594	0.0724459	0.684958	0.0575852	0.0014453	0.141318	0.0213379	0.035291	0.00879164	0.158851	0.508156	1.01641	2.31659	5	1.638499
30000	-191.2399	-233.0828	41.84292	10	0.717749	0.42605	0.0313178	0.00271471	0.0105447	0.00850243	0.0258269	0.00127089	0.0027274	4.01921e-05	0.022338	0.0053285	0.0019683	0.00121818	0.00487644	0.0172961	0.0184773	0.0086227	0.00109415	0.0088503	0.0405218	0.445472	0.0263065	0.00629579	0.0375127	0.207441	0.00113409	0.0113064	0.0779828	0.371786	0.931272	2.61896	5	1.375056
31000	-192.9373	-234.309	41.37171	10	2.450122	0.290524	0.198059	0.00361311	0.012411	0.00873263	0.0413963	0.0105203	0.0279519	0.000989263	0.00184321	0.00444548	0.0106716	0.00834463	0.000943412	0.0344903	0.00704203	0.0069319	0.00826307	0.00312261	0.00653329	0.517172	0.239522	0.0379119	0.0296627	0.0252955	0.0123107	0.0255477	0.341676	0.695682	1.07804	1.8846	5	1.574253
32000	-210.1994	-234.9746	24.77518	2	2.805243	0.115799	0.116759	0.00104247	0.000912652	0.0132105	0.0294377	0.0106699	0.00588949	0.00129614	0.0124297	0.00621326	0.0109662	3.87937e-05	0.00627938	0.0349367	0.0118463	0.918421	0.0461789	0.0119667	0.0148827	0.15066	0.0103206	0.182147	0.0187638	0.0469912	0.0304512	0.0268646	0.373611	0.720141	1.08137	1.82488	4	1.835375
33000	-211.6937	-239.4422	27.74851	2	3.744702	0.174136	0.15184	0.00395055	0.000719203	0.0187341	0.00694076	0.0147171	0.00140241	0.0117379	0.00642508	0.0111939	0.00547886	0.0298629	0.00509216	0.0417582	0.0569252	0.0705469	0.0264855	0.109732	0.0145163	0.0932335	0.611907	0.0109659	0.00938855	0.0384989	0.0718021	0.0155434	0.439763	0.765891	1.08435	1.71	4	1.613534
34000	-202.1238	-236.5823	34.45848	10	1.084658	0.205171	0.0594071	0.00409691	0.00395894	0.00891011	0.0348058	0.046317	0.0141028	0.0029543	0.0232636	0.0174789	0.0029121	0.0166722	0.0024803	0.0475786	0.0323088	0.0397422	0.00781791	0.232249	0.0183294	0.0627191	0.0271556	0.00769795	0.0181003	0.0096368	1.07784	0.0118618	0.153529	0.500798	1.01272	2.33295	5	2.035573
