Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-316.0694	-377.3138	61.24447	10	0.3990827	0.100337	0.0214359	0.0291033	0.0101205	0.0500646	0.00970536	0.244681	0.0851919	0.0104959	0.0802772	0.10301	0.118356	0.0104454	0.000496461	0.173123	0.06787	0.0108712	0.00424794	0.012709	0.0401185	0.0570848	0.225866	0.0424345	0.0989233	0.0380305	0.0241884	0.0142607	0.0228382	0.00712054	0.0174916	0.0318454	0.0459168	0.220375	0.0119064	0.190371	0.0697484	0.144658	0.0165823	0.181071	0.730286	3.07206	5	2.44572
21000	-346.0449	-377.6141	31.56916	2	0.2917508	0.067963	0.00310349	0.0270995	0.0234859	0.113076	0.0860119	0.239215	0.0201183	0.00852911	0.0699294	0.143467	0.0482025	0.0240329	0.0487286	0.320269	0.0482293	0.00126166	0.00977567	0.00636806	0.0844442	0.0440752	0.2032	0.0659207	0.0594872	0.111766	0.0226326	0.0818571	0.221824	0.0125071	0.132132	0.0061777	0.0385524	0.348339	0.114931	0.0698021	0.0119517	0.396586	0.00465005	0.098095	0.581686	3.31557	4	3.335054
22000	-328.613	-375.7244	47.11137	10	1.342695	0.113032	0.0173395	0.0245936	0.0352682	0.00436561	0.0601523	0.0941931	0.00634915	0.052028	0.0259537	0.186176	0.0869556	0.011132	0.0241041	0.219649	0.0690524	0.00119922	0.00869177	0.024733	0.0100187	0.142756	0.246623	0.00133873	0.0643368	0.0151522	0.03748	0.154845	0.0858846	0.023918	0.0761387	0.0399519	0.086973	0.226721	0.157922	0.00146657	0.0542517	0.126393	0.199968	0.560091	1.03967	2.20027	5	2.617139
23000	-361.633	-378.0222	16.38918	1	0.9510574	0.0791264	0.0461353	0.259449	0.0602161	0.010839	0.0205418	0.155728	0.0878595	0.00556871	0.0764275	0.129353	0.0436929	0.0215633	0.0882865	0.366333	0.0133796	0.018393	0.013732	0.00118445	0.116921	0.0564906	0.0872597	0.139709	0.15981	0.0032173	0.0507502	0.0410262	0.0378259	0.183658	0.216453	0.167562	0.0452312	0.907714	0.0458583	0.106802	0.257489	0.351423	0.127088	0.46153	0.991392	2.41999	3	4.473009
24000	-325.8062	-376.1841	50.37791	10	0.5654084	0.0671137	0.0866944	0.0345669	0.0153349	0.0597562	0.00776132	0.0369603	0.0101511	0.0015421	0.0994895	0.0926648	0.0625606	0.0346253	0.0516211	0.164369	0.151144	0.00495563	0.012413	0.00278841	0.0451159	0.0921716	0.0139771	0.0692056	0.226352	0.113792	0.078853	0.060264	0.0776163	0.0145656	0.125693	0.0134811	0.0129964	0.453601	0.000774388	0.0202133	0.0458993	0.641916	0.0460613	0.292488	0.86259	2.79886	5	3.103001
25000	-354.6139	-384.5676	29.95375	2	1.32336	0.11682	0.0497327	0.015813	0.00457752	0.0786246	0.00844757	0.0676575	0.0276413	0.0735854	0.0449521	0.123921	0.0461835	0.00965627	0.0117862	0.261185	0.0966018	0.0109947	0.0121055	0.00056929	0.0706281	0.0192288	0.0352646	0.0947104	0.0544143	0.209171	0.00312729	0.51762	0.16716	0.147417	0.183227	0.026461	0.025942	0.257547	0.159527	0.00162714	0.261674	0.0679017	0.196701	0.556246	1.03811	2.20894	4	3.363504
26000	-359.7755	-381.4938	21.71823	2	1.608078	0.0777867	0.0595834	0.285413	0.0152918	0.0319238	0.0201005	0.0449528	0.157001	0.155196	0.0955515	0.0716938	0.124478	0.023319	0.0891999	0.28703	0.0832502	0.0114978	0.00866826	0.0168104	0.0835092	0.12796	0.011197	0.118269	0.018964	0.0875023	0.0811881	0.260737	0.0458439	0.141238	0.102613	0.178072	0.0077475	0.457632	0.0782784	0.102916	0.192582	0.0282963	0.241546	0.60561	1.05618	2.09666	4	3.783293
27000	-363.7193	-387.9334	24.21411	2	0.7834745	0.0989749	0.104533	0.0288604	0.0613163	0.0263558	0.0432469	0.0491574	0.117477	0.0922742	0.0382644	0.153211	0.22288	0.0285667	0.00229772	0.146952	0.0969359	0.000409181	0.0240289	0.0204921	0.0265813	0.0615777	0.0456661	0.263111	0.0116962	0.00562809	0.0582511	0.0917906	0.157428	0.333411	0.412022	0.0485257	0.134495	0.816097	0.111596	0.0233192	0.0927589	0.0597237	0.0920377	0.400395	0.952269	2.5553	4	4.109913
28000	-334.6702	-382.5795	47.90928	10	0.8326775	0.159793	0.0592799	0.0494728	0.0481566	0.19021	0.0525409	0.101088	0.0398813	0.137448	0.0954325	0.254403	0.074407	0.00851128	0.0272028	0.227521	0.109752	0.035312	0.0575028	0.0380036	0.11847	0.101886	0.00920509	0.127098	0.0828362	0.0394857	0.0319279	0.27682	0.102633	0.0430824	0.24647	0.104561	0.242873	0.289382	0.0319865	0.019166	0.112895	0.0776832	0.102491	0.419965	0.965614	2.51193	5	3.82438
29000	-324.53	-368.7313	44.20133	10	0.8712316	0.0702167	0.0405928	0.0339627	0.0159825	0.0825182	0.0161665	0.133128	0.114933	0.0261497	0.0580177	0.135151	0.0622776	0.00110743	0.045397	0.397728	0.0556396	0.0244919	0.0128343	0.00741944	0.0744263	0.0556697	0.167285	0.068283	0.48109	0.0226747	0.0851822	0.0530036	0.0628821	0.0344122	0.357626	0.0970952	0.118425	0.529036	0.10984	0.0602999	0.240821	0.0174116	0.110601	0.434306	0.974894	2.4802	5	3.969177
