Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
33000	-262.8786	-311.8711	48.99249	10	1.8191	0.087993	0.0253738	0.119727	0.00970147	0.131819	0.0430566	0.00938011	0.0492236	0.0294684	0.0446525	0.0428527	0.288661	0.0414704	0.0400143	0.161237	0.050794	0.0787514	0.0601993	0.00364681	0.031171	0.0262518	0.0158827	0.0232483	0.448091	0.238161	0.0941329	0.0599534	0.129193	0.0396228	0.0223969	0.172273	0.0185564	0.0387211	0.292057	0.0810052	0.179792	0.0331006	0.294347	0.413061	0.0308303	0.0793321	0.270681	0.634287	1.06473	2.03031	5	4.079203
34000	-261.607	-315.818	54.21103	10	2.64423	0.0275585	0.108787	0.0100026	0.0103093	0.115999	0.0966463	0.14206	0.128644	0.0839516	0.077901	0.079385	0.0198105	0.116604	0.0189671	0.103654	0.11216	0.0510656	0.0871188	0.0546936	0.0752228	0.048881	0.00157462	0.0135285	0.0157912	0.0234915	0.0506565	0.0101926	0.100961	0.0191169	0.0815708	0.265367	0.0323411	0.345242	0.121863	0.0934147	0.0660216	0.0379675	0.117575	0.106878	0.0141639	0.000934625	0.359718	0.709711	1.08009	1.85048	5	3.088072
35000	-274.6098	-314.1581	39.54827	10	3.209753	0.142834	0.00532474	0.0361263	0.061686	0.107653	0.0701068	0.0446289	0.138313	0.0151886	0.0502941	0.0345208	0.0979386	0.0264156	0.0624944	0.0798045	0.189032	0.153689	0.105294	0.0387422	0.0539461	0.0941819	0.00883419	0.15469	0.0300653	0.0483921	0.24739	0.224583	0.139956	0.044313	0.174322	0.529512	0.146258	0.0723066	0.113471	0.277985	0.0365435	0.205577	0.171738	0.0954814	0.245918	0.0220167	0.404865	0.742518	1.08337	1.76924	5	4.597569
36000	-278.4518	-318.6912	40.2394	10	2.319834	0.326775	0.0349268	0.0936978	0.0194059	0.1265	0.155306	0.149329	0.0580444	0.0324527	0.107759	0.129661	0.157505	0.0825782	0.0352137	0.0912504	0.0211106	0.0752655	0.0152859	0.1473	0.0495733	0.0922103	0.123744	0.0828086	0.0984678	0.0421059	0.0807678	0.00322073	0.0997454	0.0259354	0.06913	0.259238	0.0238255	0.00296126	0.452406	0.0801334	0.128979	0.548723	0.0890589	0.253224	0.0313002	0.154623	0.328682	0.685218	1.07626	1.90984	5	4.651549
37000	-267.0469	-313.2282	46.18128	10	1.374602	0.0739261	0.0738122	0.0183078	0.0325004	0.260657	0.00741639	0.18887	0.344402	0.0200841	0.121278	0.0855799	0.185395	0.00162771	0.0382794	0.0192007	0.210809	0.0793662	0.0176658	0.0432157	0.110866	0.0079492	0.026127	0.115149	0.0375944	0.0308399	0.531461	0.0464752	0.0764903	0.00891089	0.0236789	0.14085	0.131664	0.0167224	0.181398	0.0370483	0.27895	0.0105043	0.142665	0.0244059	0.29403	0.232266	0.205285	0.56626	1.04212	2.18633	5	4.328439
38000	-270.9728	-315.7024	44.72954	10	0.7691498	0.0938972	0.0118798	0.00284887	0.00365214	0.125386	0.096974	0.0890528	0.0765761	0.0682644	0.113418	0.0410232	0.130457	0.175432	0.0131793	0.0488427	0.267437	0.0597275	0.000476412	0.00419714	0.182417	0.00782943	0.00571322	0.057168	0.0596616	0.110218	0.524969	0.0515109	0.0356885	0.0267368	0.0378556	0.171246	0.0347354	0.0636181	0.139647	0.279587	0.181594	0.0121951	0.0263868	0.0871002	0.100194	0.158819	0.0889793	0.39441	0.948026	2.56858	5	3.777611
39000	-279.0302	-313.1257	34.0955	10	4.86402	0.139568	0.0476808	0.0591721	0.0882014	0.386709	0.0409791	0.0195885	0.140818	0.128398	0.19569	0.190965	0.0627625	0.125138	0.0593685	0.0498571	0.081262	0.119087	0.0715408	0.0774116	0.112798	0.0158328	0.00701574	0.00166328	0.0948874	0.0133482	0.105112	0.144076	0.0744298	0.436884	0.0547066	0.0502647	0.0595661	0.128393	0.115376	0.369246	0.0137161	0.248073	0.00539135	0.116029	0.0480627	0.0152175	0.49633	0.800628	1.08353	1.61951	5	4.314287
40000	-283.3376	-328.3437	45.0061	10	3.219532	0.182026	0.103322	0.0192636	0.0408784	0.182654	0.0473004	0.000138833	0.278132	0.0502648	0.122641	0.00170404	0.0787516	0.125038	0.106735	0.26746	0.146159	0.0881375	0.0124005	0.0363637	0.201966	0.00346123	0.0211245	0.0753335	0.0580697	0.0225412	0.265647	0.128347	0.0610806	0.0892346	0.0230836	0.0753033	0.0312505	0.0921804	0.189665	0.262135	0.0554352	0.0280714	0.163995	0.105499	0.273876	0.00269119	0.405563	0.743002	1.0834	1.76803	5	4.119364
41000	-272.481	-310.4245	37.94344	10	2.594108	0.177121	0.00853437	0.0274854	0.0395181	0.0862607	0.163532	0.0109468	0.0613524	0.084906	0.0472201	0.154861	0.268652	0.0961818	0.00899965	0.206279	0.0680509	0.101914	0.00625453	0.0459595	0.0766467	0.0106184	0.00387794	0.0363905	0.0427954	0.0474594	0.279025	0.0322519	0.232895	0.257641	0.107069	0.508049	0.052834	0.0319501	0.191389	0.182532	0.139349	0.0243673	0.13727	0.391417	0.0802459	0.0423315	0.355201	0.706251	1.07962	1.85893	5	4.572434
42000	-264.0253	-314.674	50.64869	10	2.546187	0.0856058	0.00588958	0.0888801	0.00239822	0.0241839	0.0943687	0.0624016	0.00339594	0.0543708	0.174413	0.0179455	0.107139	0.0847938	0.0403884	0.198634	0.0977122	0.0099924	0.0704593	0.0133279	0.0845926	0.00435824	0.042887	0.0168265	0.15928	0.0231275	0.278405	0.00141766	0.101578	0.259005	0.20036	0.101757	0.0210268	0.0358891	0.156776	0.0118792	0.110522	0.224662	0.242931	0.0345786	0.00523917	0.0574887	0.350792	0.702841	1.07913	1.86723	5	3.410887
