Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
20000	-1184.052	-1211.706	27.65477	10	1.782554	0.0204168	0.147386	0.0196725	0.0970922	0.0204884	0.0896857	0.00731494	0.00897585	0.127258	0.0460411	0.0237828	0.031596	0.176048	0.202697	0.0423844	0.015008	0.00445114	0.0979008	0.00653386	0.090398	0.0323244	0.0306055	0.107953	0.0526465	0.00329309	0.0228064	0.0233886	0.0816978	0.0202725	0.183238	0.414311	0.203335	0.00522426	0.203479	0.149546	0.050272	0.155631	0.062304	0.0490445	0.0286353	0.0464892	0.00542716	0.0997582	0.0559009	0.00211841	0.106998	0.218978	0.00591213	0.0872526	0.26586	0.629702	1.06346	2.04098	5	3.783972
21000	-1201.786	-1221.042	19.25586	10	1.660988	0.0131908	0.136565	0.0137581	0.134094	0.00993486	0.105617	0.0208029	0.0249777	0.119277	0.00101895	0.0220757	0.00186866	0.0456061	0.322219	0.110173	0.0348247	0.0450361	0.166268	0.0145505	0.0187982	0.0423983	0.0682486	0.250185	0.102975	0.00756036	0.10467	0.0148337	0.0533959	0.152019	0.0455376	0.169432	0.00558615	0.00430126	0.0129844	0.295616	0.0660941	0.259168	0.401091	0.152189	0.0615975	0.127422	0.0506826	0.0750178	0.00147581	0.23779	0.0730076	0.0417278	0.296085	0.170044	0.249155	0.61333	1.05863	2.07889	5	4.703792
22000	-1189.575	-1217.311	27.73557	10	4.001259	0.0240297	0.135951	0.00118017	0.121992	0.034951	0.0985675	0.0279189	0.0219897	0.0326783	0.0485489	0.0115332	0.0640729	0.0895514	0.0661912	0.0770091	0.018739	0.206475	0.1586	0.0255327	0.0247682	0.0694586	0.0576508	0.106913	0.0317605	0.00125835	0.0289959	0.2877	0.0164227	0.19535	0.0805515	0.15695	0.160833	0.0869979	0.0996133	0.0624116	0.0717413	0.300236	0.279724	0.0286055	0.0287154	0.0621909	0.0265454	0.0496933	0.0127086	0.0170505	0.0832051	0.0510222	0.0764291	0.0859228	0.454431	0.775253	1.0844	1.68592	5	3.906937
23000	-1191.375	-1218.354	26.97921	10	1.336567	0.0555423	0.158793	0.0426602	0.0572947	0.0120469	0.143661	0.0315777	0.0597292	0.0115353	0.0440224	0.133919	0.0424211	0.07784	0.0259722	0.0295231	0.0129338	0.031738	0.0594458	0.027304	0.00361	0.0337913	0.0104724	0.139912	0.0141591	0.0976383	0.0826786	0.238378	0.0722715	0.0687904	0.078141	0.0404426	0.0202928	0.00712626	0.131975	0.0856215	0.227603	0.385593	0.13972	0.59302	0.0120375	0.0133923	0.313498	0.00256391	0.0227742	0.0203322	0.0283381	0.103595	0.0112518	0.0554227	0.198936	0.558882	1.03919	2.203	5	4.112403
24000	-1193.909	-1216.793	22.88494	2	1.931175	0.0623038	0.147859	0.00921155	0.0938137	0.0138891	0.0405308	0.0165692	0.00465861	0.0305953	0.0262965	0.0404361	0.0485342	0.0420435	0.131157	0.0126453	0.0240501	0.104378	0.0749189	0.0341424	0.0125875	0.033296	0.0363593	0.117834	0.0154603	0.0607188	0.050818	0.0495206	0.00166076	0.0838128	0.0647969	0.0610342	0.17076	0.0021237	0.129103	0.229584	0.0608646	0.312856	0.165337	0.310236	0.136448	0.00293318	0.11665	0.112041	0.0341427	0.0270181	0.00423416	0.0541624	0.0242866	0.0235759	0.284918	0.64749	1.06817	1.99942	4	3.462288
25000	-1185.48	-1210.343	24.86233	10	2.527421	0.0592276	0.15763	0.0143865	0.179189	0.0172092	0.0173268	0.0116686	0.00712414	0.140503	0.139532	0.0120657	0.0291881	0.0169353	0.0195966	0.0860474	0.00949177	0.114946	0.130874	0.022489	0.0366015	0.0379886	0.0528878	0.0500854	0.0510887	0.144643	0.10395	0.0399726	0.00279131	0.0761358	0.167928	0.0401058	0.0766007	0.158963	0.0649109	0.244243	0.0224845	0.216308	0.148746	0.0583042	0.00251472	0.322712	0.0205103	0.014094	0.00838758	0.113827	0.0101831	0.0364677	0.134073	0.0696397	0.349041	0.701477	1.07893	1.87055	5	3.712579
26000	-1187.841	-1212.857	25.01642	10	1.912175	0.0602312	0.128797	0.00520813	0.0494709	0.0133809	0.0629121	0.00440046	0.0115047	0.252377	0.141759	0.081695	0.0154945	0.0894238	0.0318394	0.00741884	0.00521456	0.0765664	0.128657	0.0279691	0.0343215	0.10578	0.0381836	0.0295238	0.0153227	0.30794	0.0135419	0.146907	0.0319759	0.0647904	0.0324395	0.0336068	0.138018	0.0119596	0.106424	0.18802	0.0336684	0.292685	0.0108361	0.0129618	0.0254875	0.0455834	0.278961	0.0702661	0.271537	0.0659887	0.0213768	0.116597	0.167973	0.00172483	0.282561	0.645337	1.06763	2.00447	5	3.90872
27000	-1197.168	-1216.136	18.96762	10	1.090007	0.0667275	0.118255	0.0304199	0.101371	0.00629221	0.0147955	0.00937068	0.00277979	0.198712	0.012613	0.0254145	0.0498174	0.065385	0.101352	0.124953	0.152378	0.095733	0.12357	0.00758121	0.0519672	0.19599	0.0246509	0.0946768	0.0697041	0.0754331	0.0679001	0.0534918	0.0176206	0.0226377	0.0658232	0.00709716	0.328563	0.14057	0.0542659	0.0227123	0.0122366	0.337571	0.0501495	0.0950462	0.024419	0.253269	0.235429	0.286266	0.142472	0.104864	0.0191652	0.341171	0.0106737	0.0669041	0.154555	0.502229	1.01345	2.32977	5	4.58026
28000	-1201.538	-1221.905	20.36781	10	2.028673	0.0857193	0.155844	0.127997	0.129336	0.0127771	0.0121184	0.0151764	0.0657693	0.138698	0.086128	0.0795582	0.0981767	0.153711	0.0495337	0.12891	0.0555727	0.15108	0.105065	0.00193848	0.0179121	0.0105265	0.095705	0.182373	0.0344173	0.0235193	0.0394439	0.0105733	0.0155713	0.0062222	0.138625	0.234866	0.140403	0.166761	0.224223	0.000893673	0.115842	0.181592	0.104483	0.429722	0.0124181	0.330464	0.0152601	0.0215594	0.0930485	0.0412634	0.0296664	0.0384402	0.196925	0.0293099	0.296674	0.658028	1.07069	1.97461	5	4.635135
29000	-1196.382	-1216.216	19.8336	10	2.795937	0.0227406	0.208763	0.0592176	0.13255	0.0345599	0.111477	0.0237713	0.0059091	0.213551	0.072547	0.117384	0.0189317	0.160729	0.00296537	0.0858863	0.0141297	0.0399116	0.0833679	0.0101758	0.0167373	0.0426442	0.0474897	0.0357238	0.0519861	0.2912	0.0802711	0.128005	0.0991008	0.0164796	0.0529011	0.0115571	0.0121971	0.0770888	0.140614	0.00732149	0.272134	0.221983	0.0985487	0.130281	0.00178519	0.0633457	0.111929	0.268103	0.0526733	0.0298407	0.0234328	0.0514953	0.281751	0.160283	0.372832	0.719565	1.0813	1.8263	5	4.297469
