Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
21000	-61.36405	-192.4899	131.1259	0.2	0.7515074	0.11836	0.0222972	0.00376836	0.0211125	0.028824	0.102232	0.149813	0.028132	0.0316518	0.000503774	0.00719344	0.00809117	0.0025609	0.0416947	0.00130223	0.0521126	0.0469555	0.015082	0.0143464	0.309303	0.159834	0.182508	0.272611	0.116148	0.0176595	0.0334065	0.139672	0.0748187	0.220667	0.259081	0.121044	0.0505838	0.357272	0.043025	0.121399	0.085207	0.386852	0.942556	2.58538	2	3.175066
22000	-93.86627	-188.9438	95.07752	0.2	1.717653	0.108513	0.0174263	0.104685	0.0243747	0.0202932	0.110708	0.19986	0.0351816	0.0388133	0.0102581	0.0299007	0.0786449	0.125843	0.0368923	0.0456925	0.0196084	0.0510496	0.0047195	0.0129618	0.00154933	0.0144367	0.385989	0.067329	0.0553111	0.0551072	0.180709	0.018717	0.0485639	0.200264	0.136332	0.292588	0.220755	0.0842587	0.100199	0.0659848	0.257073	0.621186	1.061	2.06074	2	3.003521
23000	-73.11556	-203.9757	130.8601	0.2	0.6984056	0.170898	0.290518	0.0582067	0.0344399	0.0900305	0.0807975	0.188027	0.00941067	0.00884194	0.0434173	0.0419399	0.0152717	0.258672	0.0465758	0.0114618	0.0217029	0.0581802	0.00288131	0.0157938	0.019927	0.0752599	0.166745	0.0268396	0.0435991	0.0492842	0.033255	0.00907377	0.146391	0.207947	0.307182	0.120143	0.00144647	0.415131	0.462073	0.0600358	0.0738477	0.362777	0.924276	2.6391	2	3.5914
24000	-85.12167	-193.2135	108.0919	0.2	1.115482	0.164275	0.019181	0.176362	0.0721791	0.0399788	0.164208	0.00372657	0.00569448	0.0166023	0.165767	0.0198621	0.0646476	0.00275781	0.00339518	0.0496481	0.0438262	0.00954276	0.000768727	0.0135428	0.0574462	0.0399192	0.138702	0.100047	0.179137	0.279785	0.281579	0.0315497	0.131139	0.0500581	0.0213894	0.0641504	0.154682	0.072687	0.128847	0.053915	0.159403	0.508909	1.01678	2.31491	2	2.820998
25000	-91.44469	-196.284	104.8394	0.2	1.668828	0.01789	0.0705353	0.0699875	0.0820816	0.00530257	0.127094	0.111976	0.0328125	0.0228443	0.015598	0.0185607	0.05261	0.0443685	0.0691086	0.0121488	0.0100112	0.0518114	0.0966794	0.00679808	0.0735758	0.149952	0.287162	0.231021	0.0631692	0.366841	0.0520984	0.115591	0.20883	0.0977153	0.127516	0.0817756	0.371242	0.228597	0.000680907	0.0680512	0.250265	0.614441	1.05897	2.07632	2	3.442036
26000	-86.28453	-189.3316	103.0471	0.2	2.695976	0.0473608	0.0111075	0.0782685	0.0193938	0.0419727	0.0168308	0.0413622	0.00501963	0.00478336	0.0244585	0.0656572	0.0257681	0.19334	0.0154637	0.00211055	0.000912769	0.0575624	0.0045095	0.00851294	0.171833	0.00207162	0.0344009	0.133316	0.114157	0.378396	0.0417633	0.107776	0.105427	0.0443186	0.0568515	0.0260237	0.416939	0.607469	0.00557317	0.0192544	0.364283	0.713173	1.08054	1.842	2	2.929966
27000	-82.40758	-196.5833	114.1757	0.2	4.011491	0.259712	0.0660948	0.00400851	0.0445733	0.0883251	0.113268	0.0149253	0.0185191	0.00607494	0.0305214	0.0113555	0.0230645	0.0653824	0.0284932	0.0741816	0.015575	0.0295918	0.0988676	0.0470169	0.735722	0.0671547	0.13619	0.298735	0.0394778	0.486249	0.164005	0.091701	0.00853709	0.209934	0.0855916	0.0504856	0.0748952	0.112061	0.246956	0.0375261	0.454992	0.775606	1.0844	1.685	2	3.884772
28000	-131.9696	-197.8476	65.87799	0.2	1.879603	0.0237914	0.101148	0.156013	0.00272262	0.0733702	0.128975	0.0541938	0.00170229	0.0680481	0.0195847	0.0634003	0.0140336	0.0212331	0.16153	0.0104301	0.0529053	0.145968	0.00338891	0.0445068	0.131102	0.137113	0.0170875	0.232309	0.523212	0.0628407	0.0682904	0.110733	0.114871	0.0228994	0.437835	0.0680859	0.104075	0.118323	0.0131538	0.194982	0.278467	0.641568	1.06666	2.0133	2	3.50386
29000	-111.9629	-193.5481	81.58524	0.2	2.256174	0.0107224	0.0809047	0.0104236	0.0747816	0.0478528	0.19242	0.0744088	0.0181298	0.0228916	0.0337614	0.0115122	0.138447	0.00313536	0.00432841	0.0300644	0.198491	0.0180478	0.00373173	0.0424285	0.020117	0.0776185	0.794772	0.403852	0.335342	0.0833456	0.147239	0.029701	0.0386062	0.0621904	0.0747464	0.0174849	0.0932278	0.144796	0.0632211	0.0656723	0.32205	0.679755	1.07525	1.92294	2	3.468414
30000	-95.53105	-188.8932	93.36216	0.2	0.619908	0.0399131	0.205691	0.00566517	0.0274596	0.00365643	0.293465	0.0285913	0.00108287	0.00234933	0.019638	0.00364403	0.00189467	0.0254419	0.0340112	0.0109996	0.0292863	0.00689019	0.00809584	0.0140609	0.0179399	0.00662324	0.0174742	0.0994901	0.149677	0.0606042	0.105007	0.0241935	0.0186818	0.240986	0.0364458	0.140383	0.0354447	0.0558977	0.504101	0.122617	0.0572383	0.323159	0.891145	2.72846	2	2.397402
